Type,MRT,ITYP,IA,FSET,RD,ID,CD,CTYP,C,BTYP,AOS,CompName
48998L,Ba1,CORP,,1/03/2005,1032015,24/02/2005,1030109,FIX,5.95,STR,200000,ANIXTER INCORPORATED
84902Q,B3,CORP,,31/01/2007,15022017,25/01/2007,15021508,FIX,8.625,STR,550000,BALDOR ELECTRIC COMPANY
81359Q,B3,CORP,,24/10/2006,1112016,19/10/2006,1050111,FIX,8.25,STR,200000,BERRY PETROLEUM COMPANY
46389R,B2,CORP,,9/08/2004,1082012,4/08/2004,1020108,FIX,8.875,STR,175000,BLOUNT INCORPORATED
1778UC,Aa3,CORP,,1/11/2007,15112017,29/10/2007,15051511,FIX,5.35,STR,1750000,COCA-COLA COMPANY (THE)
38875H,B2,CORP,,25/02/2004,1032012,18/02/2004,1030109,FIX,6.875,STR,175000,COMSTOCK RESOURCES INCORPORATED
66291F,B3,CORP,,1/06/2016,1062016,11/05/2006,1060112,FIX,7,STR,500000,DEAN FOODS COMPANY
37413V,B1,CORP,,24/11/2003,1122013,19/11/2003,1060112,FIX,10,STR,550000,MILLICOM INTERNATIONAL CELLULAR SA
466164,A3,CORP,,19/08/2004,15082014,16/08/2004,15021508,FIX,5,STR,250000,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED
37390T,A1,CORP,,20/11/2003,1122013,17/11/2003,1060112,FIX,4.75,STR,200000,ROCKWELL COLLINS INCORPORATED
21022K,A2,CORP,,11/04/2002,15042012,4/04/2002,15041510,FIX,6.5,STR,1000000,SCHLUMBERGER TECHNOLOGY CORPORATION
39405M,A2,CORP,,1/04/2004,1042011,23/03/2004,1040110,FIX,4.25,STR,300000,SK TELECOM COMPANY LIMITED
97716L,B3,CORP,,13/06/2007,15062014,8/06/2007,13061312,FIX,8.25,STR,450000,W&T OFFSHORE INCORPORATED
83106D,B3,CORP,,2/12/2006,15062014,1/11/2006,15061512,FIX,9.25,STR,150000,WCA WASTE CORPORATION
