Company Name,Moodys Rating,Year,PP.mu,PP.sigma,PP.rho,M.mu,M.sigma,M.rho,LS.mu,LS.sigma,LS.rho
ROCKWELL COLLINS INCORPORATED,A1,2002,0.11116,0.31469,0.31692,0.17615,0.34759,0.30779,0.17616,0.34757,0.30779
ROCKWELL COLLINS INCORPORATED,A1,2003,0.18572,0.18232,-0.78543,0.20956,0.19949,-0.78707,0.20956,0.19949,-0.78707
ROCKWELL COLLINS INCORPORATED,A1,2004,0.23827,0.17596,0.93725,0.26055,0.19938,0.93779,0.26055,0.19938,0.93779
ROCKWELL COLLINS INCORPORATED,A1,2005,0.15222,0.15512,0.43506,0.17374,0.17527,0.45943,0.17374,0.17527,0.45943
ROCKWELL COLLINS INCORPORATED,A1,2006,0.2496,0.15116,0.61402,0.27635,0.17137,0.62587,0.27635,0.17137,0.62587
ROCKWELL COLLINS INCORPORATED,A1,2007,0.11206,0.17543,-0.50871,0.1425,0.20069,-0.50543,0.1425,0.20069,-0.50543
,,,,,,,,,,,
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2001,-0.30721,0.3365,0.84319,-0.22848,0.37398,0.8367,-0.22845,0.37398,0.8367
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2002,-0.14996,0.26186,0.21512,-0.10394,0.29068,0.20975,-0.10395,0.29068,0.20975
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2003,0.17926,0.16722,-0.72668,0.20177,0.18841,-0.73094,0.20177,0.18841,-0.73094
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2004,0.15239,0.16981,0.59968,0.17347,0.19139,0.6072,0.17347,0.19139,0.6072
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2005,0.34878,0.20621,0.90516,0.38353,0.23267,0.90674,0.38353,0.23267,0.90674
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2006,0.18053,0.31179,0.45297,0.24775,0.34308,0.47026,0.24775,0.34308,0.47026
SCHLUMBERGER TECHNOLOGY CORPORATION,A2,2007,0.43554,0.2839,-0.20017,0.50082,0.32146,-0.20184,0.50082,0.32146,-0.20184
,,,,,,,,,,,
SK TELECOM COMPANY LIMITED,A2,2003,-0.078627,0.23933,-0.43756,-0.040213,0.2643,-0.45053,-0.040177,0.26432,-0.45053
SK TELECOM COMPANY LIMITED,A2,2004,0.11102,0.18277,-0.1205,0.13437,0.20282,-0.11053,0.13437,0.20282,-0.11053
SK TELECOM COMPANY LIMITED,A2,2005,-0.02363,0.13294,0.20692,-0.0040446,0.15229,0.29052,-0.0040446,0.15229,0.29052
