Name,COCA-COLA CO.(THE) 2007 5.35% 15/11/17 S - GROSS PRICE
Code,1778UC(GP)
30/10/2007,
31/10/2007,99.3671
1/11/2007,99.9937
2/11/2007,100.5472
5/11/2007,100.2535
6/11/2007,100.0378
7/11/2007,100.2354
8/11/2007,100.6348
9/11/2007,100.8812
12/11/2007,100.896
13/11/2007,100.6786
14/11/2007,100.6454
15/11/2007,101.511
16/11/2007,101.6032
19/11/2007,102.007
20/11/2007,102.255
21/11/2007,102.5343
22/11/2007,102.5492
23/11/2007,102.642
26/11/2007,103.9227
27/11/2007,102.0444
28/11/2007,102.3998
29/11/2007,102.5707
30/11/2007,102.3503
3/12/2007,102.9917
4/12/2007,103.0059
5/12/2007,102.8914
6/12/2007,102.2028
7/12/2007,101.2893
10/12/2007,101.7665
11/12/2007,102.9485
12/12/2007,102.367
13/12/2007,101.6848
14/12/2007,101.2382
17/12/2007,101.56
18/12/2007,102.1145
19/12/2007,102.5456
20/12/2007,102.8708
21/12/2007,101.801
24/12/2007,101.8925
25/12/2007,101.9073
26/12/2007,101.323
27/12/2007,102.0277
28/12/2007,102.8934
31/12/2007,103.3756
1/01/2008,103.3904
2/01/2008,104.4551
3/01/2008,104.4692
4/01/2008,104.6414
7/01/2008,104.9727
8/01/2008,104.9866
9/01/2008,105.0285
10/01/2008,104.2523
11/01/2008,104.8979
14/01/2008,104.6746
15/01/2008,105.4023
16/01/2008,105.3635
17/01/2008,105.6957
18/01/2008,105.7096
21/01/2008,105.7244
22/01/2008,106.6197
23/01/2008,107.1448
24/01/2008,105.3965
25/01/2008,105.8872
28/01/2008,105.8862
29/01/2008,105.266
30/01/2008,104.678
31/01/2008,106.1158
1/02/2008,106.6094
4/02/2008,106.3031
5/02/2008,106.7972
6/02/2008,106.5978
7/02/2008,105.6569
8/02/2008,106.306
11/02/2008,106.639
12/02/2008,106.095
13/02/2008,106.0563
14/02/2008,105.046
15/02/2008,105.3738
18/02/2008,105.3887
19/02/2008,104.6986
20/02/2008,104.4303
21/02/2008,105.459
22/02/2008,105.3947
25/02/2008,104.5508
26/02/2008,104.876
27/02/2008,105.0107
28/02/2008,106.043
29/02/2008,107.5667
3/03/2008,107.5001
4/03/2008,107.274
5/03/2008,106.2843
6/03/2008,105.7485
7/03/2008,106.47
10/03/2008,107.2765
11/03/2008,106.1043
12/03/2008,107.0139
13/03/2008,106.0035
14/03/2008,106.8832
17/03/2008,107.7711
18/03/2008,106.5924
19/03/2008,107.4265
20/03/2008,107.2817
21/03/2008,107.2965
24/03/2008,105.8181
25/03/2008,106.066
26/03/2008,106.0935
27/03/2008,105.7969
28/03/2008,106.3567
31/03/2008,106.6057
1/04/2008,105.6843
2/04/2008,105.4948
3/04/2008,105.4319
4/04/2008,106.2212
7/04/2008,105.6922
8/04/2008,105.9388
9/04/2008,106.9161
10/04/2008,106.3837
11/04/2008,106.8658
14/04/2008,106.5676
15/04/2008,106.1156
16/04/2008,105.4642
17/04/2008,105.3251
18/04/2008,105.2629
21/04/2008,105.4305
22/04/2008,105.5216
23/04/2008,105.4881
24/04/2008,104.7401
25/04/2008,104.4518
28/04/2008,104.7693
29/04/2008,105.6988
30/04/2008,106.4341
1/05/2008,106.9129
2/05/2008,106.1543
5/05/2008,106.1686
6/05/2008,105.7994
7/05/2008,105.8425
8/05/2008,106.24
9/05/2008,106.562
12/05/2008,103.6161
13/05/2008,102.4833
14/05/2008,102.2984
15/05/2008,103.0725
16/05/2008,103.0102
19/05/2008,103.1005
20/05/2008,103.5735
21/05/2008,102.5481
22/05/2008,101.7343
23/05/2008,102.3499
26/05/2008,102.3647
27/05/2008,101.5535
28/05/2008,100.9133
29/05/2008,100.6323
30/05/2008,100.8684
2/06/2008,101.4765
3/06/2008,102.0137
4/06/2008,101.7577
5/06/2008,101.1037
6/06/2008,101.7866
9/06/2008,101.4291
10/06/2008,100.6316
11/06/2008,100.8962
12/06/2008,99.9595
13/06/2008,99.5392
16/06/2008,99.6265
17/06/2008,99.8588
18/06/2008,100.4128
19/06/2008,99.991
20/06/2008,100.2966
23/06/2008,100.0933
24/06/2008,100.6178
25/06/2008,100.5891
26/06/2008,100.6769
27/06/2008,101.0573
30/06/2008,101.5126
1/07/2008,101.3794
2/07/2008,101.7917
3/07/2008,101.5118
4/07/2008,101.5267
7/07/2008,101.9832
8/07/2008,102.0717
9/07/2008,102.4111
10/07/2008,102.4255
11/07/2008,101.3361
14/07/2008,101.864
15/07/2008,101.9521
16/07/2008,101.3366
17/07/2008,100.8423
18/07/2008,100.64
21/07/2008,100.872
22/07/2008,100.6698
23/07/2008,100.3543
24/07/2008,101.309
25/07/2008,100.6721
28/07/2008,101.3237
29/07/2008,101.1208
30/07/2008,101.1653
31/07/2008,101.6886
1/08/2008,102.1414
4/08/2008,102.0098
5/08/2008,101.8784
6/08/2008,101.7042
7/08/2008,102.669
8/08/2008,102.6102
11/08/2008,102.1124
12/08/2008,102.7127
13/08/2008,102.6096
14/08/2008,102.9912
15/08/2008,103.3005
18/08/2008,103.5366
19/08/2008,103.4031
20/08/2008,103.742
21/08/2008,103.4607
22/08/2008,102.7408
25/08/2008,103.0484
26/08/2008,103.0628
27/08/2008,103.2383
28/08/2008,103.0329
29/08/2008,103.1207
1/09/2008,103.1355
2/09/2008,103.738
3/09/2008,104.0765
4/09/2008,104.2387
5/09/2008,104.2531
8/09/2008,104.1934
9/09/2008,104.3557
10/09/2008,104.0293
11/09/2008,104.265
12/09/2008,103.3977
