Name,SCHBG.TECH.CORP. 2002 6 1/2% 15/04/12 144A - GROSS PRICE
Code,21022K(GP)
15/04/2002,
16/04/2002,100.6264
17/04/2002,100.3596
18/04/2002,100.7446
19/04/2002,100.8527
22/04/2002,101.0677
23/04/2002,101.1158
24/04/2002,101.671
25/04/2002,101.764
26/04/2002,101.7731
29/04/2002,101.6481
30/04/2002,101.7422
1/05/2002,101.9334
2/05/2002,101.5884
3/05/2002,101.9095
6/05/2002,101.8046
7/05/2002,101.8826
8/05/2002,100.9317
9/05/2002,101.1318
10/05/2002,101.5128
13/05/2002,101.0979
14/05/2002,100.521
15/05/2002,100.8781
16/05/2002,101.4292
17/05/2002,101.0642
20/05/2002,101.4163
21/05/2002,101.6924
22/05/2002,102.5635
23/05/2002,102.4126
24/05/2002,102.3516
27/05/2002,102.3697
28/05/2002,103.4377
29/05/2002,103.8929
30/05/2002,104.2509
31/05/2002,104.306
3/06/2002,104.341
4/06/2002,104.3921
5/06/2002,104.3352
6/06/2002,104.6933
7/06/2002,104.1974
10/06/2002,104.4604
11/06/2002,104.8505
12/06/2002,105.2126
13/06/2002,105.5557
14/06/2002,106.0898
17/06/2002,105.5378
18/06/2002,105.7689
19/06/2002,106.6711
20/06/2002,106.0071
21/06/2002,106.5201
24/06/2002,105.6302
25/06/2002,105.6322
26/06/2002,106.0614
27/06/2002,105.6425
28/06/2002,105.6905
1/07/2002,105.7376
2/07/2002,106.1706
3/07/2002,106.2398
4/07/2002,106.2579
5/07/2002,105.3829
8/07/2002,105.754
9/07/2002,106.43
10/07/2002,107.2822
11/07/2002,107.3913
12/07/2002,107.7633
15/07/2002,107.3203
16/07/2002,106.5844
17/07/2002,107.1116
18/07/2002,107.4826
19/07/2002,107.8077
22/07/2002,108.2077
23/07/2002,108.5928
24/07/2002,107.966
25/07/2002,108.089
26/07/2002,108.378
29/07/2002,107.3961
30/07/2002,107.2291
31/07/2002,108.2273
1/08/2002,108.6724
2/08/2002,109.6984
5/08/2002,109.9905
6/08/2002,109.0005
7/08/2002,109.6307
8/08/2002,108.4908
9/08/2002,109.6288
12/08/2002,110.1389
13/08/2002,110.9169
14/08/2002,111.3681
15/08/2002,110.5791
16/08/2002,109.3872
19/08/2002,109.5392
20/08/2002,110.6163
21/08/2002,110.8025
22/08/2002,110.0845
23/08/2002,110.5816
26/08/2002,110.7636
27/08/2002,109.6537
28/08/2002,110.3178
29/08/2002,110.7818
30/08/2002,110.9799
2/09/2002,110.998
3/09/2002,112.08
4/09/2002,112.3812
5/09/2002,112.6962
6/09/2002,111.7473
9/09/2002,111.6894
10/09/2002,112.1234
11/09/2002,111.5476
12/09/2002,112.3526
13/09/2002,112.9217
16/09/2002,113.1917
17/09/2002,113.7418
18/09/2002,113.85
19/09/2002,114.374
20/09/2002,114.3931
23/09/2002,115.2011
24/09/2002,115.5012
25/09/2002,114.6094
26/09/2002,114.6254
27/09/2002,114.6435
30/09/2002,115.7665
1/10/2002,115.0386
2/10/2002,115.0567
3/10/2002,115.1928
4/10/2002,114.9999
7/10/2002,115.0139
8/10/2002,114.972
9/10/2002,115.5051
10/10/2002,111.288
11/10/2002,110.218
14/10/2002,110.2361
15/10/2002,108.9891
16/10/2002,108.6923
17/10/2002,107.9394
18/10/2002,107.9264
21/10/2002,107.2615
22/10/2002,106.9775
23/10/2002,107.0557
24/10/2002,107.8128
25/10/2002,108.2148
28/10/2002,108.8118
29/10/2002,110.3689
30/10/2002,110.282
31/10/2002,110.8151
1/11/2002,110.2641
4/11/2002,110.0202
5/11/2002,109.9222
6/11/2002,110.2744
7/11/2002,111.7815
8/11/2002,112.0515
11/11/2002,112.0696
12/11/2002,111.9496
13/11/2002,112.1008
14/11/2002,110.7359
15/11/2002,110.5109
18/11/2002,110.603
19/11/2002,110.932
20/11/2002,110.1982
21/11/2002,109.7492
22/11/2002,109.4563
25/11/2002,110.3984
26/11/2002,111.2694
27/11/2002,110.0736
28/11/2002,110.0916
29/11/2002,110.2627
2/12/2002,110.2787
3/12/2002,110.2168
4/12/2002,110.729
5/12/2002,111.135
6/12/2002,111.3851
9/12/2002,111.7141
10/12/2002,111.7292
11/12/2002,112.1684
12/12/2002,112.1054
13/12/2002,111.6505
16/12/2002,111.1975
17/12/2002,111.2906
18/12/2002,111.8837
19/12/2002,112.6858
20/12/2002,112.6989
23/12/2002,112.5559
24/12/2002,112.882
25/12/2002,112.9361
26/12/2002,113.0121
27/12/2002,113.8212
30/12/2002,114.0753
31/12/2002,113.7653
1/01/2003,113.8195
2/01/2003,111.8675
3/01/2003,111.8056
6/01/2003,111.5876
7/01/2003,111.9147
8/01/2003,112.3509
9/01/2003,111.0489
10/01/2003,111.065
13/01/2003,111.235
14/01/2003,111.5591
15/01/2003,111.7603
16/01/2003,111.7763
17/01/2003,112.1794
20/01/2003,112.1974
21/01/2003,112.4435
22/01/2003,113.0356
23/01/2003,112.8167
24/01/2003,113.1448
27/01/2003,112.7698
28/01/2003,112.6118
29/01/2003,112.274
30/01/2003,113.066
31/01/2003,113.1591
3/02/2003,113.0962
4/02/2003,113.5812
5/02/2003,113.0804
6/02/2003,113.4854
7/02/2003,113.7355
10/02/2003,113.2825
11/02/2003,113.4536
12/02/2003,113.8098
