Name,REDDY ICE GROUP 2003 8 7/8% 01/08/11 144A S - GROSS PRICE
Code,25321E(GP)
17/07/2003,
18/07/2003,100
21/07/2003,100
22/07/2003,100
23/07/2003,100
24/07/2003,100
25/07/2003,100
28/07/2003,100
29/07/2003,100.0246
30/07/2003,100.0986
31/07/2003,100.1232
1/08/2003,100.1479
4/08/2003,101.6725
5/08/2003,101.4472
6/08/2003,101.5211
7/08/2003,101.2958
8/08/2003,101.3205
11/08/2003,101.8451
12/08/2003,101.8698
13/08/2003,101.9437
14/08/2003,101.7184
15/08/2003,101.743
18/08/2003,102.0177
19/08/2003,103.0424
20/08/2003,103.1163
21/08/2003,103.1409
22/08/2003,103.1656
25/08/2003,103.1902
26/08/2003,103.8399
27/08/2003,103.8892
28/08/2003,104.2889
29/08/2003,104.3135
1/09/2003,104.3382
2/09/2003,104.8628
3/09/2003,104.9368
4/09/2003,105.9615
5/09/2003,105.9861
8/09/2003,106.0107
9/09/2003,106.0354
10/09/2003,106.1093
11/09/2003,106.134
12/09/2003,106.1587
15/09/2003,106.4333
16/09/2003,106.458
17/09/2003,105.7819
18/09/2003,105.8066
19/09/2003,105.8312
22/09/2003,105.8559
23/09/2003,105.8805
24/09/2003,105.9545
25/09/2003,105.9791
26/09/2003,106.0038
29/09/2003,106.1534
30/09/2003,106.1781
1/10/2003,106.2521
2/10/2003,106.2767
3/10/2003,106.3014
6/10/2003,106.326
7/10/2003,106.3507
8/10/2003,106.4246
9/10/2003,106.4493
10/10/2003,106.4739
13/10/2003,106.4986
14/10/2003,105.8982
15/10/2003,105.9722
16/10/2003,106.4969
17/10/2003,106.5215
20/10/2003,106.5462
21/10/2003,106.5708
22/10/2003,106.8948
23/10/2003,106.9194
24/10/2003,106.9441
27/10/2003,106.9687
28/10/2003,106.7187
29/10/2003,106.7927
30/10/2003,106.8173
31/10/2003,106.842
3/11/2003,106.8666
4/11/2003,107.3913
5/11/2003,107.4653
6/11/2003,107.4899
7/11/2003,107.5146
10/11/2003,107.5392
11/11/2003,108.0639
12/11/2003,108.1378
