Name,ROCKWELL COLLINS 2003 4 3/4% 01/12/13 S - GROSS PRICE
Code,37390T(GP)
17/11/2003,
18/11/2003,
19/11/2003,
20/11/2003,100.3799
21/11/2003,100.4722
24/11/2003,99.8529
25/11/2003,100.1811
26/11/2003,99.8267
27/11/2003,99.8399
28/11/2003,99.2271
1/12/2003,98.6966
2/12/2003,98.7874
3/12/2003,98.5956
4/12/2003,98.9183
5/12/2003,100.1021
8/12/2003,99.6451
9/12/2003,99.1134
10/12/2003,99.3863
11/12/2003,100.0239
12/12/2003,99.9588
15/12/2003,99.7376
16/12/2003,100.1417
17/12/2003,100.4949
18/12/2003,100.8229
19/12/2003,100.9938
22/12/2003,100.6913
23/12/2003,99.9215
24/12/2003,100.5079
25/12/2003,100.5211
26/12/2003,100.9138
29/12/2003,100.2995
30/12/2003,99.923
31/12/2003,100.1182
1/01/2004,100.1314
2/01/2004,99.216
5/01/2004,99.1525
6/01/2004,100.0157
7/01/2004,100.2886
8/01/2004,100.3018
9/01/2004,101.569
12/01/2004,101.6609
13/01/2004,102.0697
14/01/2004,102.4261
15/01/2004,102.5185
16/01/2004,102.2132
19/01/2004,102.2264
20/01/2004,101.9222
21/01/2004,102.119
22/01/2004,102.6875
23/01/2004,101.9079
26/01/2004,101.3707
27/01/2004,101.7762
28/01/2004,100.9415
29/01/2004,100.9547
30/01/2004,101.436
2/02/2004,101.3708
3/02/2004,101.6971
4/02/2004,101.6577
5/02/2004,101.2025
6/02/2004,101.919
9/02/2004,102.089
10/02/2004,101.8665
11/02/2004,102.5342
12/02/2004,102.2322
13/02/2004,102.4811
16/02/2004,102.4943
17/02/2004,102.3498
18/02/2004,102.3887
19/02/2004,102.4015
20/02/2004,102.0227
23/02/2004,102.4274
24/02/2004,102.5975
25/02/2004,102.7277
26/02/2004,102.5051
27/02/2004,102.9897
1/03/2004,103.0025
2/03/2004,102.544
3/03/2004,102.5046
4/03/2004,102.7525
5/03/2004,104.2684
8/03/2004,104.761
9/03/2004,105.256
10/03/2004,105.132
11/03/2004,105.0641
12/03/2004,104.9962
15/03/2004,104.9284
16/03/2004,105.5845
17/03/2004,105.6214
18/03/2004,105.151
19/03/2004,104.8432
22/03/2004,105.3364
23/03/2004,105.5096
24/03/2004,105.4662
25/03/2004,105.3181
26/03/2004,104.5197
29/03/2004,104.1367
30/03/2004,104.0704
31/03/2004,104.5833
1/04/2004,104.1213
2/04/2004,102.2622
5/04/2004,101.6608
6/04/2004,102.0577
7/04/2004,102.0974
8/04/2004,101.8805
9/04/2004,101.8937
12/04/2004,101.6776
13/04/2004,100.8555
14/04/2004,100.5946
15/04/2004,100.4578
16/04/2004,100.8477
19/04/2004,100.7106
20/04/2004,100.3488
21/04/2004,100.3151
22/04/2004,100.7786
23/04/2004,100.1932
26/04/2004,100.3562
27/04/2004,100.5195
28/04/2004,100.113
29/04/2004,99.6078
30/04/2004,99.9178
3/05/2004,99.9317
4/05/2004,99.6495
5/05/2004,99.4702
6/05/2004,99.1904
7/05/2004,98.0401
10/05/2004,97.9822
11/05/2004,98.0687
12/05/2004,97.8955
13/05/2004,97.5509
14/05/2004,97.9962
17/05/2004,98.661
18/05/2004,98.3855
19/05/2004,97.996
20/05/2004,98.5871
21/05/2004,98.3125
24/05/2004,98.4712
25/05/2004,98.5576
26/05/2004,98.6595
27/05/2004,96.7333
28/05/2004,96.2394
31/05/2004,96.2526
1/06/2004,95.9779
2/06/2004,95.8041
3/06/2004,95.9617
4/06/2004,95.6171
7/06/2004,95.7028
8/06/2004,95.7168
9/06/2004,95.4733
10/06/2004,95.6301
11/06/2004,95.6433
14/06/2004,95.0894
15/06/2004,96.3891
16/06/2004,96.1436
17/06/2004,96.4447
18/06/2004,96.3149
21/06/2004,96.4726
22/06/2004,96.3429
23/06/2004,96.4566
24/06/2004,96.9023
25/06/2004,96.844
28/06/2004,96.2121
29/06/2004,96.5125
30/06/2004,97.1304
1/07/2004,97.5058
2/07/2004,98.2474
5/07/2004,98.2606
6/07/2004,98.2012
7/07/2004,98.2421
8/07/2004,98.3286
9/07/2004,98.3423
12/07/2004,98.502
13/07/2004,98.2966
14/07/2004,98.2647
15/07/2004,98.2784
16/07/2004,99.1699
19/07/2004,99.257
20/07/2004,98.6109
21/07/2004,98.3605
22/07/2004,98.5923
23/07/2004,98.7518
26/07/2004,98.4742
27/07/2004,97.6203
28/07/2004,97.7199
29/07/2004,97.8057
30/07/2004,98.5425
2/08/2004,98.7015
3/08/2004,99.0065
4/08/2004,98.9744
5/08/2004,99.2068
6/08/2004,100.5452
9/08/2004,100.3362
10/08/2004,100.0542
11/08/2004,100.168
12/08/2004,100.4028
13/08/2004,100.712
16/08/2004,100.3555
17/08/2004,100.7385
18/08/2004,100.6303
19/08/2004,100.7915
20/08/2004,100.6569
23/08/2004,100.3017
24/08/2004,100.2416
25/08/2004,100.5023
26/08/2004,100.7235
27/08/2004,100.7367
30/08/2004,101.0456
31/08/2004,101.504
1/09/2004,101.5432
2/09/2004,101.0378
3/09/2004,100.3892
6/09/2004,100.4024
7/09/2004,100.7093
8/09/2004,101.339
9/09/2004,101.1306
10/09/2004,101.2915
13/09/2004,101.4526
14/09/2004,101.6879
15/09/2004,101.4315
16/09/2004,102.1862
17/09/2004,101.7536
20/09/2004,102.2867
21/09/2004,102.4488
22/09/2004,102.8614
23/09/2004,102.5754
24/09/2004,102.5884
27/09/2004,102.8254
28/09/2004,102.8383
29/09/2004,102.2817
30/09/2004,102.0727
1/10/2004,101.5699
4/10/2004,101.6566
5/10/2004,101.7434
6/10/2004,101.4164
7/10/2004,101.2834
8/10/2004,102.104
11/10/2004,102.1172
12/10/2004,102.3518
13/10/2004,102.539
14/10/2004,102.997
15/10/2004,102.7132
18/10/2004,102.8004
19/10/2004,102.8876
20/10/2004,103.298
21/10/2004,103.2366
22/10/2004,103.3239
25/10/2004,103.4857
26/10/2004,103.3497
27/10/2004,102.6357
28/10/2004,102.7225
29/10/2004,103.1049
1/11/2004,103.044
2/11/2004,103.131
3/11/2004,103.244
4/11/2004,103.257
5/11/2004,102.3872
8/11/2004,102.1813
9/11/2004,102.1946
10/11/2004,101.9434
11/11/2004,101.9566
12/11/2004,102.407
15/11/2004,102.4932
16/11/2004,102.3605
17/11/2004,102.8386
18/11/2004,103.0717
19/11/2004,102.4999
22/11/2004,102.732
23/11/2004,102.5995
24/11/2004,102.5664
25/11/2004,102.5796
26/11/2004,99.9275
29/11/2004,99.2909
30/11/2004,99.0887
1/12/2004,98.9853
2/12/2004,98.8557
3/12/2004,99.8021
6/12/2004,100.0319
7/12/2004,100.1174
8/12/2004,100.883
9/12/2004,100.6774
10/12/2004,100.6903
13/12/2004,100.776
14/12/2004,100.9346
15/12/2004,101.3383
16/12/2004,100.5504
17/12/2004,100.4186
20/12/2004,100.504
21/12/2004,100.7343
