Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
19/11/2003,
20/11/2003,101.2778
21/11/2003,101.8055
24/11/2003,101.8333
25/11/2003,102.3611
26/11/2003,102.6944
27/11/2003,102.7222
28/11/2003,102.75
1/12/2003,103.7778
2/12/2003,103.8055
3/12/2003,104.3889
4/12/2003,105.4166
5/12/2003,105.9444
8/12/2003,105.4722
9/12/2003,105.75
10/12/2003,106.0833
11/12/2003,105.8611
12/12/2003,105.8889
15/12/2003,105.9166
16/12/2003,105.9444
17/12/2003,105.7778
18/12/2003,105.8055
19/12/2003,105.8333
22/12/2003,106.3611
23/12/2003,106.3889
24/12/2003,106.4722
25/12/2003,106.5
26/12/2003,106.5
29/12/2003,106.5278
30/12/2003,106.5555
31/12/2003,106.6389
1/01/2004,106.6666
2/01/2004,106.6944
5/01/2004,106.9722
6/01/2004,107.75
7/01/2004,110.3333
8/01/2004,110.1111
9/01/2004,110.3889
12/01/2004,110.4166
13/01/2004,110.1944
14/01/2004,110.0278
15/01/2004,110.0555
16/01/2004,110.0833
19/01/2004,110.1111
20/01/2004,110.6389
21/01/2004,110.7222
22/01/2004,110.25
23/01/2004,110.0278
26/01/2004,110.0555
27/01/2004,108.5833
28/01/2004,108.5139
29/01/2004,108.5416
30/01/2004,106.4444
2/02/2004,106.4722
3/02/2004,106.25
4/02/2004,106.3333
5/02/2004,105.6111
6/02/2004,105.6389
9/02/2004,105.6666
10/02/2004,107.1944
11/02/2004,107.5278
12/02/2004,107.8055
13/02/2004,107.8333
16/02/2004,107.8611
17/02/2004,108.6389
18/02/2004,108.4722
19/02/2004,107.5
20/02/2004,107.5278
23/02/2004,108.0555
24/02/2004,107.5833
25/02/2004,108.1944
26/02/2004,108.9722
27/02/2004,107.75
1/03/2004,108.2778
2/03/2004,108.3055
3/03/2004,108.1389
4/03/2004,108.1666
5/03/2004,108.4444
8/03/2004,108.9722
9/03/2004,109
10/03/2004,109.0833
11/03/2004,108.6111
12/03/2004,108.6389
15/03/2004,108.9166
16/03/2004,107.6944
17/03/2004,107.7778
18/03/2004,107.5555
19/03/2004,107.5833
22/03/2004,107.6111
23/03/2004,107.3889
24/03/2004,107.4722
25/03/2004,106.75
26/03/2004,106.75
29/03/2004,107.5278
30/03/2004,107.0555
31/03/2004,107.6389
1/04/2004,107.6666
2/04/2004,107.6944
5/04/2004,108.2222
6/04/2004,108.25
7/04/2004,108.3333
8/04/2004,108.8611
9/04/2004,108.8889
12/04/2004,108.9166
13/04/2004,108.6944
14/04/2004,108.7778
15/04/2004,108.5555
16/04/2004,108.5833
19/04/2004,108.6111
20/04/2004,108.3889
21/04/2004,109.7222
22/04/2004,109
