Name,COMSTOCK RES.INCO. 2004 6 7/8% 01/03/12 S - GROSS PRICE
Code,38875H(GP)
19/02/2004,
20/02/2004,101
23/02/2004,101.0191
24/02/2004,100.7882
25/02/2004,100.8646
26/02/2004,101.1337
27/02/2004,101.2778
1/03/2004,101.5469
2/03/2004,101.5659
3/03/2004,101.4982
4/03/2004,101.5173
5/03/2004,102.0364
8/03/2004,101.8055
9/03/2004,101.8246
10/03/2004,102.6319
11/03/2004,102.651
12/03/2004,102.6701
15/03/2004,102.8142
16/03/2004,102.7083
17/03/2004,102.7656
18/03/2004,102.7847
19/03/2004,102.5538
22/03/2004,103.0729
23/03/2004,102.592
24/03/2004,102.1493
25/03/2004,102.4184
26/03/2004,102.1684
29/03/2004,102.1875
30/03/2004,102.2066
31/03/2004,102.7639
1/04/2004,102.283
2/04/2004,102.3021
5/04/2004,102.0712
6/04/2004,101.0903
7/04/2004,101.1476
8/04/2004,101.1666
9/04/2004,101.1857
12/04/2004,101.2048
13/04/2004,100.7239
14/04/2004,98.5312
15/04/2004,99.5503
16/04/2004,100.3194
19/04/2004,100.5885
20/04/2004,100.6076
21/04/2004,100.1649
22/04/2004,100.684
23/04/2004,100.5781
26/04/2004,100.4722
27/04/2004,100.4913
28/04/2004,100.5486
29/04/2004,99.3177
30/04/2004,99.3368
3/05/2004,100.3559
4/05/2004,98.375
5/05/2004,100.4323
6/05/2004,98.4514
7/05/2004,96.9705
10/05/2004,95.9896
11/05/2004,96.0087
12/05/2004,96.0659
13/05/2004,96.0851
14/05/2004,94.8541
17/05/2004,94.8732
18/05/2004,95.1423
19/05/2004,94.9496
20/05/2004,96.0938
21/05/2004,96.1128
24/05/2004,96.7569
25/05/2004,96.776
26/05/2004,96.8142
27/05/2004,96.8333
28/05/2004,96.8524
31/05/2004,96.8715
1/06/2004,96.8906
2/06/2004,96.9479
3/06/2004,96.467
4/06/2004,96.4861
7/06/2004,96.5052
8/06/2004,96.5243
9/06/2004,96.5816
10/06/2004,95.6007
11/06/2004,95.6198
14/06/2004,95.6389
15/06/2004,95.658
16/06/2004,96.7153
17/06/2004,96.7344
18/06/2004,96.8784
21/06/2004,97.2726
22/06/2004,98.0416
23/06/2004,98.0989
24/06/2004,98.118
25/06/2004,97.6371
28/06/2004,97.6563
29/06/2004,97.1753
30/06/2004,97.4826
1/07/2004,98.2517
2/07/2004,98.2708
5/07/2004,98.2899
6/07/2004,98.559
7/07/2004,98.6163
8/07/2004,98.6354
9/07/2004,99.6545
12/07/2004,99.1736
13/07/2004,100.1927
14/07/2004,100.75
15/07/2004,101.2691
16/07/2004,101.2882
19/07/2004,101.3073
20/07/2004,101.8264
21/07/2004,101.6337
22/07/2004,100.9028
23/07/2004,100.9218
26/07/2004,102.4409
27/07/2004,101.2101
28/07/2004,100.9982
29/07/2004,101.2673
30/07/2004,101.2864
2/08/2004,101.3055
3/08/2004,101.3246
4/08/2004,101.3819
5/08/2004,101.651
6/08/2004,101.9201
9/08/2004,101.1892
10/08/2004,101.9583
11/08/2004,102.2656
12/08/2004,102.2847
13/08/2004,102.3038
16/08/2004,102.3229
17/08/2004,102.342
18/08/2004,102.3993
19/08/2004,102.6684
20/08/2004,102.9375
23/08/2004,102.9566
24/08/2004,102.9757
25/08/2004,103.033
26/08/2004,103.033
27/08/2004,99.5
30/08/2004,99.5191
31/08/2004,100.5382
1/09/2004,100.5955
2/09/2004,99.6146
3/09/2004,99.6337
6/09/2004,99.6528
7/09/2004,100.1718
8/09/2004,100.4791
9/09/2004,100.7482
10/09/2004,101.2673
13/09/2004,101.2864
14/09/2004,101.3055
15/09/2004,101.8628
16/09/2004,102.3819
17/09/2004,102.401
20/09/2004,102.4201
21/09/2004,101.9392
22/09/2004,102.4965
23/09/2004,102.7656
24/09/2004,102.7847
27/09/2004,103.0538
28/09/2004,102.5729
29/09/2004,102.6302
30/09/2004,103.1493
1/10/2004,102.6684
4/10/2004,103.1875
5/10/2004,103.2066
6/10/2004,103.2639
7/10/2004,103.283
8/10/2004,103.3021
11/10/2004,103.3212
12/10/2004,103.3403
13/10/2004,103.8976
14/10/2004,103.6666
15/10/2004,103.9357
18/10/2004,103.9548
19/10/2004,103.9739
20/10/2004,103.7812
21/10/2004,103.8003
22/10/2004,103.8194
25/10/2004,103.8385
26/10/2004,104.6076
27/10/2004,104.8958
28/10/2004,104.9149
29/10/2004,104.684
1/11/2004,104.2031
2/11/2004,104.2222
3/11/2004,105.7795
4/11/2004,105.7986
5/11/2004,105.8177
8/11/2004,105.8368
9/11/2004,105.3559
10/11/2004,105.4132
11/11/2004,105.4323
12/11/2004,104.9514
15/11/2004,105.4705
16/11/2004,105.7396
17/11/2004,105.5468
18/11/2004,105.5659
19/11/2004,105.5851
22/11/2004,105.6041
23/11/2004,105.7482
24/11/2004,105.8055
25/11/2004,105.8246
26/11/2004,105.8438
29/11/2004,105.8628
30/11/2004,105.2569
1/12/2004,105.3142
2/12/2004,105.3333
3/12/2004,105.3524
6/12/2004,105.3715
7/12/2004,104.8906
8/12/2004,104.9479
9/12/2004,105.217
10/12/2004,105.2361
13/12/2004,105.2552
14/12/2004,105.2743
15/12/2004,105.3316
16/12/2004,105.3507
17/12/2004,105.3698
20/12/2004,105.3889
21/12/2004,105.408
22/12/2004,105.4653
23/12/2004,105.4843
24/12/2004,105.5034
27/12/2004,105.6481
28/12/2004,105.6481
29/12/2004,105.5798
30/12/2004,105.5989
31/12/2004,105.618
3/01/2005,105.6371
4/01/2005,105.6562
5/01/2005,105.7135
6/01/2005,105.7326
7/01/2005,105.5017
10/01/2005,105.5208
11/01/2005,105.0399
12/01/2005,105.0972
13/01/2005,105.1163
14/01/2005,104.6354
17/01/2005,104.6545
18/01/2005,104.9236
19/01/2005,104.9809
20/01/2005,105
21/01/2005,104.7691
24/01/2005,104.7882
25/01/2005,104.8073
26/01/2005,104.8455
27/01/2005,104.8646
28/01/2005,104.8837
31/01/2005,104.9028
1/02/2005,104.9218
2/02/2005,104.9791
3/02/2005,105.4982
4/02/2005,105.5173
7/02/2005,105.5364
8/02/2005,105.5555
9/02/2005,105.6128
10/02/2005,105.6319
11/02/2005,105.651
14/02/2005,105.6701
15/02/2005,106.1892
16/02/2005,106.2465
17/02/2005,106.2656
18/02/2005,106.2847
21/02/2005,106.3038
22/02/2005,106.3229
23/02/2005,105.8802
24/02/2005,102.5
25/02/2005,102.5191
28/02/2005,103.0382
1/03/2005,103.0573
2/03/2005,103.1146
3/03/2005,103.1337
4/03/2005,103.1528
7/03/2005,103.1718
8/03/2005,103.1909
9/03/2005,103.2482
10/03/2005,103.2673
11/03/2005,103.2864
14/03/2005,103.3055
15/03/2005,103.3246
16/03/2005,103.3819
17/03/2005,102.901
18/03/2005,102.9201
21/03/2005,101.6892
22/03/2005,100.7083
23/03/2005,100.7656
24/03/2005,100.7847
25/03/2005,100.8038
28/03/2005,100.0538
29/03/2005,100.0729
30/03/2005,99.1302
31/03/2005,100.1493
1/04/2005,100.1684
4/04/2005,100.6875
5/04/2005,100.7066
6/04/2005,100.7639
7/04/2005,100.783
8/04/2005,100.8021
11/04/2005,101.8212
12/04/2005,101.8403
13/04/2005,101.8976
14/04/2005,101.9166
15/04/2005,101.9357
18/04/2005,101.9548
19/04/2005,99.9739
20/04/2005,99.0312
21/04/2005,98.5503
22/04/2005,100.0694
25/04/2005,100.0885
26/04/2005,100.1076
27/04/2005,99.6649
28/04/2005,99.684
29/04/2005,98.7031
2/05/2005,98.2222
3/05/2005,99.2413
4/05/2005,98.2986
5/05/2005,98.3177
6/05/2005,100.3368
9/05/2005,100.1059
10/05/2005,99.875
11/05/2005,99.4323
12/05/2005,99.2014
13/05/2005,99.2205
16/05/2005,99.2396
17/05/2005,99.5087
18/05/2005,99.5659
19/05/2005,99.5851
20/05/2005,99.1041
23/05/2005,99.1232
24/05/2005,99.6423
25/05/2005,100.1996
26/05/2005,100.1996
27/05/2005,100.2188
30/05/2005,100.2378
31/05/2005,100.2569
1/06/2005,100.3142
2/06/2005,100.3333
3/06/2005,100.3524
6/06/2005,102.3715
7/06/2005,102.1406
8/06/2005,102.1979
9/06/2005,102.217
10/06/2005,102.2361
13/06/2005,102.0052
14/06/2005,102.0243
15/06/2005,102.0816
16/06/2005,102.1007
17/06/2005,102.1198
20/06/2005,102.1389
21/06/2005,102.658
22/06/2005,102.7153
23/06/2005,102.7343
24/06/2005,102.7534
27/06/2005,102.7726
28/06/2005,103.2916
29/06/2005,103.3489
30/06/2005,103.368
1/07/2005,103.3871
4/07/2005,103.4062
5/07/2005,103.4253
6/07/2005,103.9826
7/07/2005,103.5017
8/07/2005,104.0208
11/07/2005,104.5399
12/07/2005,105.059
13/07/2005,105.1163
14/07/2005,104.8854
15/07/2005,104.6545
18/07/2005,105.1736
19/07/2005,105.1927
20/07/2005,105.25
21/07/2005,105.2691
22/07/2005,105.2882
25/07/2005,104.3073
26/07/2005,104.3264
27/07/2005,104.3646
28/07/2005,104.3837
29/07/2005,104.4028
1/08/2005,104.4218
2/08/2005,104.4409
3/08/2005,104.4982
4/08/2005,104.5173
5/08/2005,104.5364
8/08/2005,104.5555
9/08/2005,104.5746
10/08/2005,104.6319
11/08/2005,104.651
12/08/2005,104.6701
15/08/2005,104.6892
16/08/2005,104.7083
17/08/2005,104.7656
18/08/2005,104.7847
19/08/2005,104.8038
22/08/2005,104.8229
23/08/2005,104.842
24/08/2005,104.8993
25/08/2005,104.9184
26/08/2005,104.9184
29/08/2005,101.25
30/08/2005,101.2691
31/08/2005,101.3264
1/09/2005,101.3455
2/09/2005,101.4896
5/09/2005,101.5087
6/09/2005,101.5278
7/09/2005,101.5851
8/09/2005,101.6041
9/09/2005,101.7482
12/09/2005,101.7673
13/09/2005,101.7864
14/09/2005,101.8437
15/09/2005,101.6128
16/09/2005,101.6319
19/09/2005,101.651
20/09/2005,101.1701
21/09/2005,101.2274
22/09/2005,101.2465
23/09/2005,100.7656
26/09/2005,100.7847
27/09/2005,101.5538
28/09/2005,101.6111
29/09/2005,101.3802
30/09/2005,101.3993
3/10/2005,101.5434
4/10/2005,101.5625
5/10/2005,101.6198
6/10/2005,101.0139
7/10/2005,101.033
10/10/2005,101.0521
11/10/2005,101.0712
12/10/2005,100.1284
13/10/2005,99.6476
14/10/2005,100.4166
17/10/2005,100.6857
18/10/2005,100.9548
19/10/2005,101.0121
20/10/2005,100.5312
21/10/2005,100.5503
24/10/2005,100.5694
25/10/2005,100.5885
26/10/2005,100.3767
27/10/2005,99.8958
28/10/2005,99.9149
31/10/2005,99.934
1/11/2005,99.9531
2/11/2005,99.5104
3/11/2005,100.0295
4/11/2005,100.2986
7/11/2005,100.3177
8/11/2005,100.3368
9/11/2005,100.3941
10/11/2005,99.6632
11/11/2005,99.4323
14/11/2005,99.4514
15/11/2005,99.4705
16/11/2005,99.7778
17/11/2005,100.0468
18/11/2005,100.0659
21/11/2005,100.0851
22/11/2005,99.7291
23/11/2005,99.7864
24/11/2005,99.8055
25/11/2005,99.8246
28/11/2005,100.7188
29/11/2005,100.7378
30/11/2005,100.7951
1/12/2005,101.3142
2/12/2005,101.3333
5/12/2005,100.1024
6/12/2005,99.6215
7/12/2005,100.5538
8/12/2005,100.5729
9/12/2005,99.967
12/12/2005,100.9861
13/12/2005,100.0052
14/12/2005,100.0625
15/12/2005,99.9566
16/12/2005,100.6007
19/12/2005,100.6198
20/12/2005,100.1389
21/12/2005,100.1962
22/12/2005,100.2153
23/12/2005,100.2343
26/12/2005,100.2534
27/12/2005,100.2726
28/12/2005,100.1857
29/12/2005,100.2048
30/12/2005,100.2239
2/01/2006,100.243
3/01/2006,100.2621
4/01/2006,100.3194
5/01/2006,100.9635
6/01/2006,100.9826
9/01/2006,101.0017
10/01/2006,101.0208
11/01/2006,101.0781
12/01/2006,101.0972
13/01/2006,101.1163
16/01/2006,101.1354
17/01/2006,101.1545
18/01/2006,101.4618
19/01/2006,101.2309
20/01/2006,101.25
23/01/2006,101.2691
24/01/2006,101.7882
25/01/2006,101.8455
26/01/2006,101.8455
27/01/2006,101.8646
30/01/2006,101.8837
31/01/2006,102.0278
1/02/2006,102.0851
2/02/2006,102.1041
3/02/2006,101.9982
6/02/2006,101.7673
7/02/2006,102.0364
8/02/2006,101.8437
9/02/2006,102.1128
10/02/2006,102.1319
13/02/2006,102.151
14/02/2006,101.9201
15/02/2006,102.4774
16/02/2006,102.4965
17/02/2006,102.5156
20/02/2006,102.5347
21/02/2006,102.8038
22/02/2006,102.8611
23/02/2006,103.1302
24/02/2006,99.75
