Name,WH HDG.CAYMAN ISL. 2004 9 1/2% 01/04/11 144A S - GROSS PRICE
Code,39069W(GP)
4/03/2004,
5/03/2004,102.5527
8/03/2004,103.5791
9/03/2004,104.1055
10/03/2004,104.3097
11/03/2004,104.3361
12/03/2004,104.2375
15/03/2004,104.5139
16/03/2004,104.5403
17/03/2004,104.6194
18/03/2004,104.6458
19/03/2004,104.6722
22/03/2004,104.6986
23/03/2004,104.85
24/03/2004,104.9291
25/03/2004,104.9555
26/03/2004,104.9555
29/03/2004,104.9819
30/03/2004,105.3833
31/03/2004,105.2125
1/04/2004,105.2389
2/04/2004,105.0153
5/04/2004,105.0416
6/04/2004,105.818
7/04/2004,105.8972
8/04/2004,105.9236
9/04/2004,105.95
12/04/2004,105.9764
13/04/2004,106.0028
14/04/2004,106.0819
15/04/2004,106.3583
16/04/2004,106.3847
19/04/2004,106.6611
20/04/2004,106.6875
21/04/2004,106.7666
22/04/2004,106.793
23/04/2004,106.8194
26/04/2004,106.8458
27/04/2004,107.8722
28/04/2004,107.9514
29/04/2004,107.9778
30/04/2004,107.7542
3/05/2004,107.7805
4/05/2004,107.8069
5/05/2004,107.8861
6/05/2004,107.9125
7/05/2004,107.9389
10/05/2004,107.9653
11/05/2004,104.7416
12/05/2004,104.8208
13/05/2004,104.3472
14/05/2004,104.3736
17/05/2004,104.4
18/05/2004,104.0514
19/05/2004,104.1305
20/05/2004,104.1569
21/05/2004,104.5583
24/05/2004,104.5847
25/05/2004,104.6111
26/05/2004,105.1639
27/05/2004,105.1903
28/05/2004,105.2166
31/05/2004,105.243
1/06/2004,105.2694
2/06/2004,105.3486
3/06/2004,105.375
4/06/2004,105.4014
7/06/2004,105.4277
8/06/2004,105.4541
9/06/2004,105.5333
10/06/2004,105.5597
11/06/2004,105.5861
14/06/2004,106.8625
15/06/2004,106.1389
16/06/2004,106.218
17/06/2004,106.2444
18/06/2004,106.7708
21/06/2004,106.7972
22/06/2004,106.8236
23/06/2004,106.9028
24/06/2004,106.9291
25/06/2004,106.9555
28/06/2004,106.9819
29/06/2004,107.0083
30/06/2004,107.0875
1/07/2004,107.1139
2/07/2004,107.1403
5/07/2004,107.1666
6/07/2004,107.193
7/07/2004,107.2722
8/07/2004,107.2986
9/07/2004,107.325
12/07/2004,107.8514
13/07/2004,107.8778
14/07/2004,107.9569
15/07/2004,107.9833
16/07/2004,108.0097
19/07/2004,108.0361
20/07/2004,108.0625
21/07/2004,108.1416
22/07/2004,108.168
23/07/2004,108.1944
26/07/2004,108.2208
27/07/2004,108.2472
28/07/2004,108.3
29/07/2004,108.3264
30/07/2004,108.3528
2/08/2004,108.8792
3/08/2004,108.9055
4/08/2004,108.9847
5/08/2004,109.0111
6/08/2004,109.0375
9/08/2004,109.0639
10/08/2004,110.0903
11/08/2004,110.1694
12/08/2004,110.1958
13/08/2004,110.2222
16/08/2004,110.7486
17/08/2004,111.025
18/08/2004,111.1041
19/08/2004,111.1305
20/08/2004,111.1569
23/08/2004,111.1833
24/08/2004,111.2097
25/08/2004,111.5389
26/08/2004,111.5389
27/08/2004,111.5653
30/08/2004,111.5916
31/08/2004,111.618
1/09/2004,111.6972
2/09/2004,111.7236
3/09/2004,111.75
6/09/2004,111.7764
7/09/2004,111.8027
8/09/2004,111.8819
9/09/2004,112.1583
10/09/2004,112.1847
13/09/2004,112.2111
14/09/2004,112.2375
15/09/2004,112.3167
16/09/2004,112.343
17/09/2004,112.3694
20/09/2004,112.3958
21/09/2004,112.4222
22/09/2004,112.5014
23/09/2004,112.5278
24/09/2004,112.5541
27/09/2004,112.5805
28/09/2004,107.25
29/09/2004,107.3291
30/09/2004,107.3555
1/10/2004,107.3819
4/10/2004,107.4083
5/10/2004,107.4347
6/10/2004,107.5139
7/10/2004,107.5403
8/10/2004,107.5667
11/10/2004,107.593
12/10/2004,107.6194
13/10/2004,107.6986
14/10/2004,107.725
15/10/2004,107.7514
18/10/2004,107.7778
19/10/2004,107.8041
20/10/2004,107.8833
21/10/2004,107.9097
22/10/2004,107.9361
25/10/2004,107.9625
26/10/2004,107.9889
27/10/2004,108.0416
28/10/2004,108.068
29/10/2004,108.0944
1/11/2004,108.1208
2/11/2004,108.1472
3/11/2004,108.2264
4/11/2004,108.2528
5/11/2004,108.2791
8/11/2004,108.3055
9/11/2004,108.3319
10/11/2004,108.4111
11/11/2004,108.4375
12/11/2004,108.4639
15/11/2004,108.4902
16/11/2004,108.5166
17/11/2004,108.5958
18/11/2004,108.6222
19/11/2004,108.6486
22/11/2004,108.675
23/11/2004,108.7014
24/11/2004,108.7805
25/11/2004,108.8069
26/11/2004,108.8333
29/11/2004,108.8597
30/11/2004,108.8861
1/12/2004,108.9653
2/12/2004,108.9916
3/12/2004,109.018
6/12/2004,109.0444
7/12/2004,109.0708
8/12/2004,109.15
9/12/2004,109.1764
10/12/2004,109.2028
13/12/2004,109.2291
14/12/2004,109.2555
15/12/2004,109.3347
16/12/2004,109.3611
17/12/2004,109.3875
20/12/2004,109.4139
21/12/2004,109.4403
22/12/2004,109.5194
23/12/2004,109.5458
24/12/2004,109.5722
27/12/2004,109.5986
28/12/2004,109.5986
29/12/2004,109.6777
30/12/2004,109.7041
31/12/2004,109.7305
3/01/2005,109.7569
4/01/2005,109.7833
5/01/2005,109.8625
6/01/2005,109.8889
7/01/2005,109.9153
10/01/2005,109.9417
11/01/2005,109.968
12/01/2005,110.0472
13/01/2005,110.0736
14/01/2005,110.1
17/01/2005,110.1264
18/01/2005,110.1528
19/01/2005,110.2319
20/01/2005,110.2583
21/01/2005,110.2847
24/01/2005,110.3111
25/01/2005,110.3375
26/01/2005,110.3903
27/01/2005,110.4166
28/01/2005,110.443
31/01/2005,110.4694
1/02/2005,110.4958
2/02/2005,110.575
3/02/2005,110.6014
4/02/2005,110.6278
7/02/2005,110.6541
8/02/2005,110.6805
9/02/2005,110.7597
10/02/2005,110.7861
11/02/2005,110.8125
14/02/2005,110.8389
15/02/2005,110.8652
16/02/2005,110.9444
17/02/2005,110.9708
18/02/2005,110.9972
21/02/2005,111.0236
22/02/2005,111.05
23/02/2005,111.1292
24/02/2005,111.2083
25/02/2005,111.2347
28/02/2005,111.2611
1/03/2005,111.2875
2/03/2005,111.3666
3/03/2005,111.393
4/03/2005,111.4194
7/03/2005,111.4458
8/03/2005,111.4722
9/03/2005,111.5514
10/03/2005,111.5778
11/03/2005,111.6041
14/03/2005,111.6305
15/03/2005,111.6569
16/03/2005,111.7361
17/03/2005,111.7625
18/03/2005,111.7889
21/03/2005,111.8153
22/03/2005,111.8416
23/03/2005,111.9208
24/03/2005,111.9472
25/03/2005,111.9736
28/03/2005,111.9736
29/03/2005,107.25
30/03/2005,107.3291
31/03/2005,107.3555
1/04/2005,107.3819
4/04/2005,107.4083
5/04/2005,107.4347
6/04/2005,107.5139
7/04/2005,107.5403
8/04/2005,107.5667
11/04/2005,107.593
12/04/2005,107.6194
13/04/2005,107.6986
14/04/2005,107.725
15/04/2005,107.7514
18/04/2005,107.7778
19/04/2005,107.8041
20/04/2005,107.8833
21/04/2005,107.9097
22/04/2005,107.9361
25/04/2005,107.9625
26/04/2005,107.9889
27/04/2005,108.068
28/04/2005,108.0944
29/04/2005,108.1208
2/05/2005,108.1472
3/05/2005,108.1736
4/05/2005,108.2528
5/05/2005,108.2791
6/05/2005,108.3055
9/05/2005,108.3319
10/05/2005,108.3583
11/05/2005,108.4375
12/05/2005,108.4639
13/05/2005,108.4902
16/05/2005,108.5166
17/05/2005,108.543
18/05/2005,108.6222
19/05/2005,108.6486
20/05/2005,108.675
23/05/2005,108.7014
24/05/2005,108.7278
25/05/2005,108.8069
26/05/2005,108.8069
27/05/2005,108.8333
30/05/2005,108.8597
31/05/2005,108.8861
1/06/2005,108.9653
2/06/2005,108.9916
3/06/2005,109.018
6/06/2005,109.0444
7/06/2005,109.0708
8/06/2005,109.15
9/06/2005,109.1764
10/06/2005,109.2028
13/06/2005,109.2291
14/06/2005,109.2555
15/06/2005,109.3347
16/06/2005,109.3611
17/06/2005,109.3875
20/06/2005,109.4139
21/06/2005,109.4403
22/06/2005,109.5194
23/06/2005,109.5458
24/06/2005,109.5722
27/06/2005,109.5986
28/06/2005,109.625
29/06/2005,109.7041
30/06/2005,109.7305
1/07/2005,109.7569
4/07/2005,109.7833
5/07/2005,109.8097
6/07/2005,109.8889
7/07/2005,109.9153
8/07/2005,109.9417
11/07/2005,109.968
12/07/2005,109.9944
13/07/2005,110.0736
14/07/2005,110.1
15/07/2005,110.1264
18/07/2005,110.1528
19/07/2005,110.1791
20/07/2005,110.2583
21/07/2005,110.2847
22/07/2005,110.3111
25/07/2005,110.3375
26/07/2005,110.3639
27/07/2005,110.4166
28/07/2005,110.443
29/07/2005,110.4694
1/08/2005,110.4958
2/08/2005,110.5222
3/08/2005,110.6014
4/08/2005,110.6278
5/08/2005,110.6541
8/08/2005,110.6805
9/08/2005,110.7069
10/08/2005,110.7861
11/08/2005,110.8125
12/08/2005,110.8389
15/08/2005,110.8652
16/08/2005,110.8916
17/08/2005,110.9708
18/08/2005,110.9972
19/08/2005,111.0236
22/08/2005,111.05
23/08/2005,111.0764
24/08/2005,111.1555
25/08/2005,111.1819
26/08/2005,111.1819
29/08/2005,111.2083
30/08/2005,111.2347
31/08/2005,111.3139
1/09/2005,111.3403
2/09/2005,111.3666
5/09/2005,111.393
6/09/2005,111.4194
7/09/2005,111.4986
8/09/2005,111.525
9/09/2005,111.5514
12/09/2005,111.5778
13/09/2005,111.6041
14/09/2005,111.6833
15/09/2005,111.7097
16/09/2005,111.7361
19/09/2005,111.7625
20/09/2005,111.7889
21/09/2005,111.868
22/09/2005,111.8944
23/09/2005,111.9208
26/09/2005,111.9472
27/09/2005,111.9736
28/09/2005,107.3027
29/09/2005,107.3291
30/09/2005,107.3555
3/10/2005,107.3819
4/10/2005,107.4083
5/10/2005,107.4875
6/10/2005,107.5139
7/10/2005,107.5403
10/10/2005,107.5667
11/10/2005,107.593
12/10/2005,107.6722
13/10/2005,107.6986
14/10/2005,107.725
17/10/2005,107.7514
18/10/2005,107.7778
19/10/2005,107.8569
20/10/2005,107.8833
21/10/2005,107.9097
24/10/2005,107.9361
25/10/2005,107.9625
26/10/2005,108.0153
27/10/2005,108.0416
28/10/2005,108.068
31/10/2005,108.0944
1/11/2005,108.1208
2/11/2005,108.2
3/11/2005,108.2264
4/11/2005,108.2528
7/11/2005,108.2791
8/11/2005,108.3055
9/11/2005,108.3847
10/11/2005,108.4111
11/11/2005,108.4375
14/11/2005,108.4639
15/11/2005,108.4902
16/11/2005,108.5694
17/11/2005,108.5958
18/11/2005,108.6222
21/11/2005,108.6486
22/11/2005,108.675
23/11/2005,108.7542
24/11/2005,108.7805
25/11/2005,108.8069
