Name,SK TELECOM CO.LTD. 2004 4 1/4% 01/04/11 S - GROSS PRICE
Code,39405M(GP)
25/03/2004,
26/03/2004,98.7314
29/03/2004,100.264
30/03/2004,100.2159
31/03/2004,100.6118
1/04/2004,100.2623
2/04/2004,98.2218
5/04/2004,97.8253
6/04/2004,96.879
7/04/2004,97.0535
8/04/2004,96.9511
9/04/2004,96.963
12/04/2004,96.8035
13/04/2004,96.1877
14/04/2004,95.8353
15/04/2004,95.7354
16/04/2004,96.0882
19/04/2004,95.9313
20/04/2004,95.7185
21/04/2004,95.6455
22/04/2004,95.8841
23/04/2004,95.3913
26/04/2004,95.5168
27/04/2004,95.6987
28/04/2004,95.4023
29/04/2004,95.0809
30/04/2004,95.3173
3/05/2004,95.3307
4/05/2004,95.177
5/05/2004,94.3492
6/05/2004,94.1434
7/05/2004,92.728
10/05/2004,92.7427
11/05/2004,92.8647
12/05/2004,92.7461
13/05/2004,92.4924
14/05/2004,92.8822
17/05/2004,93.3275
18/05/2004,93.1259
19/05/2004,92.8464
20/05/2004,93.2367
21/05/2004,93.0144
24/05/2004,93.1253
25/05/2004,93.2148
26/05/2004,93.6279
27/05/2004,94.1018
28/05/2004,93.6831
31/05/2004,93.6949
1/06/2004,93.4882
2/06/2004,93.343
3/06/2004,93.4162
4/06/2004,93.4358
7/06/2004,93.5681
8/06/2004,93.7021
9/06/2004,93.6005
10/06/2004,93.738
11/06/2004,93.7498
14/06/2004,93.3043
15/06/2004,94.397
16/06/2004,93.9172
17/06/2004,94.1137
18/06/2004,94.0259
21/06/2004,94.1366
22/06/2004,94.0917
23/06/2004,94.2038
24/06/2004,94.2823
25/06/2004,94.3018
28/06/2004,93.755
29/06/2004,93.9878
30/06/2004,94.4978
1/07/2004,94.8555
2/07/2004,95.4797
5/07/2004,95.4915
6/07/2004,95.3915
7/07/2004,95.7362
8/07/2004,95.8042
9/07/2004,95.8667
12/07/2004,95.9727
13/07/2004,95.7587
14/07/2004,95.7511
15/07/2004,95.7433
16/07/2004,96.457
19/07/2004,96.427
20/07/2004,96.0008
21/07/2004,95.8528
22/07/2004,95.9907
23/07/2004,96.1395
26/07/2004,95.9372
27/07/2004,95.3066
28/07/2004,95.4522
29/07/2004,95.4019
30/07/2004,95.9469
2/08/2004,95.6118
3/08/2004,96.0551
4/08/2004,96.0319
5/08/2004,96.2016
6/08/2004,97.4997
9/08/2004,97.4861
10/08/2004,97.1834
11/08/2004,97.1477
12/08/2004,97.3131
13/08/2004,97.37
16/08/2004,97.1663
17/08/2004,97.5001
18/08/2004,97.3882
19/08/2004,97.4993
20/08/2004,97.5941
23/08/2004,97.5098
24/08/2004,97.5069
25/08/2004,97.6392
26/08/2004,97.8251
27/08/2004,97.8261
30/08/2004,98.1657
31/08/2004,98.5283
1/09/2004,98.5743
2/09/2004,98.1733
3/09/2004,97.7531
6/09/2004,97.7649
7/09/2004,98.0056
8/09/2004,98.6701
9/09/2004,98.5307
10/09/2004,98.7017
13/09/2004,98.8293
14/09/2004,99.2413
15/09/2004,99.0505
16/09/2004,99.5284
17/09/2004,99.2129
20/09/2004,99.6583
21/09/2004,99.715
22/09/2004,99.9621
23/09/2004,99.7771
24/09/2004,99.6695
27/09/2004,99.8685
28/09/2004,98.0307
29/09/2004,97.4877
30/09/2004,97.3641
1/10/2004,97.078
4/10/2004,97.1775
5/10/2004,97.3151
6/10/2004,97.0941
7/10/2004,96.9772
8/10/2004,97.6129
11/10/2004,97.6247
12/10/2004,97.8277
13/10/2004,98.0561
14/10/2004,98.4346
15/10/2004,98.1737
18/10/2004,98.2026
19/10/2004,98.2423
20/10/2004,98.5524
21/10/2004,98.5102
22/10/2004,98.6263
25/10/2004,98.7589
26/10/2004,98.6837
