Name,HORIZON LINES LLC 2004 9% 01/11/12 144A S - GROSS PRICE
Code,46200V(GP)
30/06/2004,
1/07/2004,101.875
2/07/2004,102
5/07/2004,102.025
6/07/2004,102.55
7/07/2004,102.625
8/07/2004,102.775
9/07/2004,102.8
12/07/2004,102.825
13/07/2004,102.85
14/07/2004,102.925
15/07/2004,102.95
16/07/2004,102.975
19/07/2004,103.875
20/07/2004,103.9
21/07/2004,104.475
22/07/2004,104.5
23/07/2004,104.525
26/07/2004,104.55
27/07/2004,103.825
28/07/2004,103.875
29/07/2004,104.15
30/07/2004,104.425
2/08/2004,104.45
3/08/2004,104.6
4/08/2004,104.675
5/08/2004,104.825
6/08/2004,104.85
9/08/2004,104.875
10/08/2004,105.025
11/08/2004,105.1
12/08/2004,105.125
13/08/2004,105.15
16/08/2004,105.175
17/08/2004,105.575
18/08/2004,105.65
19/08/2004,105.675
20/08/2004,105.7
23/08/2004,106.225
24/08/2004,106.25
25/08/2004,106.325
26/08/2004,106.45
27/08/2004,106.475
30/08/2004,106.5
31/08/2004,106.4
1/09/2004,106.475
2/09/2004,106.5
3/09/2004,106.525
6/09/2004,106.55
7/09/2004,106.7
8/09/2004,106.775
9/09/2004,106.8
10/09/2004,106.825
13/09/2004,106.85
14/09/2004,107
15/09/2004,107.075
16/09/2004,107.1
17/09/2004,107.125
20/09/2004,107.15
21/09/2004,107.05
22/09/2004,107.5
23/09/2004,107.525
24/09/2004,107.55
27/09/2004,107.575
28/09/2004,107.725
29/09/2004,107.8
30/09/2004,107.7
1/10/2004,107.725
4/10/2004,108.25
5/10/2004,108.275
6/10/2004,108.35
7/10/2004,108.875
8/10/2004,108.9
11/10/2004,108.925
12/10/2004,109.45
13/10/2004,109.775
14/10/2004,109.8
15/10/2004,109.825
18/10/2004,109.9754
19/10/2004,110.0004
20/10/2004,110.0754
21/10/2004,110.975
22/10/2004,111
25/10/2004,111.025
26/10/2004,111.3
27/10/2004,108.5
28/10/2004,108.525
29/10/2004,108.175
1/11/2004,109.075
2/11/2004,109.1
3/11/2004,109.175
4/11/2004,109.2
5/11/2004,109.35
8/11/2004,109.25
9/11/2004,109.275
10/11/2004,109.6
11/11/2004,109.625
12/11/2004,109.65
15/11/2004,109.8
16/11/2004,109.825
17/11/2004,109.9
18/11/2004,109.8
19/11/2004,109.825
22/11/2004,109.85
23/11/2004,110
24/11/2004,110.075
25/11/2004,110.1
26/11/2004,110.125
29/11/2004,110.15
30/11/2004,110.05
1/12/2004,110.125
