Name,BLOUNT INCO. 2004 8 7/8% 01/08/12 S - GROSS PRICE
Code,46389R(GP)
5/08/2004,
6/08/2004,102.2993
9/08/2004,102.3239
10/08/2004,102.3486
11/08/2004,102.4225
12/08/2004,102.9472
13/08/2004,102.9718
16/08/2004,103.7465
17/08/2004,103.7712
18/08/2004,102.8451
19/08/2004,102.8698
20/08/2004,104.8944
23/08/2004,105.1691
24/08/2004,105.1937
25/08/2004,105.2677
26/08/2004,105.0177
27/08/2004,105.0423
30/08/2004,105.067
31/08/2004,105.0916
1/09/2004,105.1656
2/09/2004,104.9403
3/09/2004,104.9649
6/09/2004,104.9896
7/09/2004,105.0142
8/09/2004,105.3382
9/09/2004,105.1128
10/09/2004,105.1375
13/09/2004,105.9121
14/09/2004,105.9368
15/09/2004,105.7607
16/09/2004,106.2854
17/09/2004,107.06
20/09/2004,107.0847
21/09/2004,107.1094
22/09/2004,107.1833
23/09/2004,107.208
24/09/2004,107.2326
27/09/2004,107.2573
28/09/2004,107.5319
29/09/2004,107.6059
30/09/2004,107.6305
1/10/2004,107.6552
4/10/2004,107.6798
5/10/2004,107.4545
6/10/2004,107.5285
7/10/2004,107.8031
8/10/2004,109.0778
11/10/2004,109.1024
12/10/2004,109.1271
13/10/2004,109.201
14/10/2004,109.2257
15/10/2004,109.7503
18/10/2004,109.525
19/10/2004,109.5496
20/10/2004,109.6236
21/10/2004,109.8982
22/10/2004,109.9229
25/10/2004,110.1975
26/10/2004,109.9722
27/10/2004,110.0215
28/10/2004,110.9212
29/10/2004,110.9458
1/11/2004,110.9705
2/11/2004,110.9951
3/11/2004,111.0691
4/11/2004,111.2187
5/11/2004,111.2434
8/11/2004,111.268
9/11/2004,111.5427
10/11/2004,111.1166
11/11/2004,111.1413
12/11/2004,111.916
15/11/2004,111.4406
16/11/2004,111.4653
17/11/2004,111.5392
18/11/2004,111.5639
19/11/2004,111.5885
22/11/2004,111.3632
23/11/2004,111.6378
24/11/2004,111.7118
25/11/2004,111.7364
26/11/2004,111.7611
29/11/2004,111.5357
30/11/2004,111.3104
1/12/2004,110.8844
2/12/2004,110.909
3/12/2004,110.6837
6/12/2004,111.2083
7/12/2004,111.483
8/12/2004,111.5569
9/12/2004,111.8316
10/12/2004,111.8562
13/12/2004,111.8809
14/12/2004,111.9055
15/12/2004,111.9795
16/12/2004,112.0042
17/12/2004,112.0288
20/12/2004,112.0535
21/12/2004,112.0781
22/12/2004,111.6521
23/12/2004,111.6767
24/12/2004,111.7014
27/12/2004,111.726
28/12/2004,111.851
29/12/2004,112.05
30/12/2004,112.0746
31/12/2004,112.0993
3/01/2005,112.6239
4/01/2005,112.6486
5/01/2005,112.7225
6/01/2005,112.2472
7/01/2005,112.0219
10/01/2005,112.0465
11/01/2005,111.8212
12/01/2005,111.8951
13/01/2005,112.6698
14/01/2005,112.6944
17/01/2005,112.7191
18/01/2005,112.2437
19/01/2005,112.5677
20/01/2005,112.0923
21/01/2005,112.117
24/01/2005,112.1416
25/01/2005,112.4163
26/01/2005,112.2156
27/01/2005,108.25
28/01/2005,108.2746
31/01/2005,108.7993
1/02/2005,108.8239
2/02/2005,109.1479
3/02/2005,109.1725
4/02/2005,109.4472
7/02/2005,109.4718
8/02/2005,109.7465
9/02/2005,109.5705
10/02/2005,109.5951
11/02/2005,109.6198
14/02/2005,109.3944
15/02/2005,109.6691
16/02/2005,109.743
17/02/2005,109.7677
18/02/2005,109.7923
21/02/2005,109.817
22/02/2005,109.5916
23/02/2005,110.1656
24/02/2005,109.9896
25/02/2005,110.0142
28/02/2005,110.0389
1/03/2005,109.8135
2/03/2005,109.8875
3/03/2005,109.9121
4/03/2005,109.9368
7/03/2005,109.9614
8/03/2005,109.9861
9/03/2005,109.81
10/03/2005,110.0847
11/03/2005,110.1094
14/03/2005,109.884
15/03/2005,109.6587
16/03/2005,109.7326
17/03/2005,109.7573
18/03/2005,109.7819
21/03/2005,108.3066
22/03/2005,108.3312
23/03/2005,107.9052
24/03/2005,107.9298
25/03/2005,107.9545
28/03/2005,107.9545
29/03/2005,106.9791
30/03/2005,107.0531
31/03/2005,107.0778
1/04/2005,107.1024
4/04/2005,107.1271
5/04/2005,107.6517
6/04/2005,107.7257
7/04/2005,108.2503
8/04/2005,108.275
11/04/2005,108.2997
12/04/2005,107.8243
13/04/2005,107.8982
14/04/2005,107.6729
15/04/2005,107.4475
18/04/2005,107.4722
