Name,PUBLIC SER.ENTER.GP.2004 5% 15/08/14 S - GROSS PRICE
Code,466164(GP)
19/08/2004,
20/08/2004,99.9884
23/08/2004,99.6379
24/08/2004,99.6208
25/08/2004,99.8324
26/08/2004,100.0804
27/08/2004,100.0942
30/08/2004,100.4268
31/08/2004,100.9248
1/09/2004,100.9653
2/09/2004,100.4485
3/09/2004,99.7116
6/09/2004,99.7254
7/09/2004,100.0943
8/09/2004,100.7643
9/09/2004,100.5059
10/09/2004,100.6594
13/09/2004,101.1017
14/09/2004,101.3735
15/09/2004,101.203
16/09/2004,101.9853
17/09/2004,101.5666
20/09/2004,102.1226
21/09/2004,102.3018
22/09/2004,102.7139
23/09/2004,102.458
24/09/2004,102.4161
27/09/2004,102.6984
28/09/2004,102.593
29/09/2004,102.0191
30/09/2004,101.8055
1/10/2004,101.2578
4/10/2004,101.4114
5/10/2004,101.7367
6/10/2004,101.3804
7/10/2004,101.239
8/10/2004,102.1168
11/10/2004,102.1307
12/10/2004,102.3792
13/10/2004,102.4589
14/10/2004,102.952
15/10/2004,102.6035
18/10/2004,102.6327
19/10/2004,102.7325
20/10/2004,103.1584
21/10/2004,103.1244
22/10/2004,103.2324
25/10/2004,103.3483
26/10/2004,103.2276
27/10/2004,102.4858
28/10/2004,102.5696
29/10/2004,102.9666
1/11/2004,102.4951
2/11/2004,102.6335
3/11/2004,102.7131
4/11/2004,102.7422
5/11/2004,101.8398
8/11/2004,101.6145
9/11/2004,101.6203
10/11/2004,101.4393
11/11/2004,101.4532
12/11/2004,102.4539
15/11/2004,102.5218
16/11/2004,102.4114
17/11/2004,102.9413
18/11/2004,103.1731
19/11/2004,102.5647
22/11/2004,102.8106
23/11/2004,102.6763
24/11/2004,102.6404
25/11/2004,102.6543
26/11/2004,102.3437
29/11/2004,101.6366
30/11/2004,101.4598
1/12/2004,101.3495
2/12/2004,101.2193
3/12/2004,102.1863
6/12/2004,102.438
7/12/2004,102.5594
8/12/2004,103.3266
9/12/2004,103.1001
10/12/2004,103.1679
13/12/2004,103.2202
14/12/2004,103.3809
15/12/2004,103.53
16/12/2004,102.718
17/12/2004,102.563
20/12/2004,102.6228
21/12/2004,103.1044
22/12/2004,102.9075
23/12/2004,102.7756
24/12/2004,102.7895
27/12/2004,102.2461
28/12/2004,102.2613
29/12/2004,102.0676
30/12/2004,102.7589
31/12/2004,103.1249
3/01/2005,103.1308
4/01/2005,102.6476
5/01/2005,102.7348
6/01/2005,102.7791
7/01/2005,102.7015
10/01/2005,102.7687
11/01/2005,103.0341
12/01/2005,103.1439
13/01/2005,103.525
14/01/2005,103.3319
17/01/2005,103.3458
18/01/2005,103.5049
19/01/2005,103.6149
20/01/2005,103.7972
21/01/2005,103.9874
24/01/2005,104.1395
25/01/2005,103.6696
26/01/2005,103.6662
27/01/2005,103.5579
28/01/2005,104.0845
31/01/2005,104.1441
1/02/2005,104.1347
2/02/2005,104.1372
3/02/2005,103.99
4/02/2005,104.6949
7/02/2005,104.8627
8/02/2005,104.9998
9/02/2005,105.4739
