Name,ANIXTER INCO. 2005 5.95% 01/03/15 S - DEFAULT PRICE
Code,48998L(GP)
23/02/2005,
24/02/2005,
25/02/2005,
28/02/2005,100.7558
1/03/2005,100.6502
2/03/2005,100.6041
3/03/2005,100.4838
4/03/2005,100.6484
7/03/2005,101.0919
8/03/2005,100.5577
9/03/2005,99.5078
10/03/2005,99.9449
11/03/2005,99.3452
14/03/2005,98.9773
15/03/2005,98.8015
16/03/2005,98.7577
17/03/2005,99.0948
18/03/2005,98.809
21/03/2005,98.7068
22/03/2005,98.0959
23/03/2005,97.9665
24/03/2005,98.0897
25/03/2005,98.0897
28/03/2005,97.8154
29/03/2005,98.0826
30/03/2005,98.3223
31/03/2005,98.7734
1/04/2005,99.0072
4/04/2005,98.978
5/04/2005,98.8831
6/04/2005,99.1318
7/04/2005,98.8835
8/04/2005,98.7524
11/04/2005,99.0661
12/04/2005,99.3809
13/04/2005,99.3003
14/04/2005,99.4029
15/04/2005,100.1836
18/04/2005,100.3686
19/04/2005,100.7102
20/04/2005,100.635
21/04/2005,100.0055
22/04/2005,100.3231
25/04/2005,100.3377
26/04/2005,100.2414
27/04/2005,100.4407
28/04/2005,97.497
29/04/2005,97.2905
2/05/2005,97.3479
3/05/2005,97.2701
4/05/2005,97.25
5/05/2005,97.4428
6/05/2005,96.9889
9/05/2005,96.8976
10/05/2005,97.3162
11/05/2005,97.4314
12/05/2005,97.5742
13/05/2005,97.8671
16/05/2005,98.0249
17/05/2005,98.0539
18/05/2005,98.4137
19/05/2005,98.1198
20/05/2005,97.9843
23/05/2005,99.1001
24/05/2005,99.347
25/05/2005,99.1082
26/05/2005,99.0359
27/05/2005,99.0795
30/05/2005,99.0795
31/05/2005,97.4259
1/06/2005,98.1173
2/06/2005,98.9721
3/06/2005,98.3469
6/06/2005,98.4548
7/06/2005,98.8287
8/06/2005,98.7504
9/06/2005,98.5712
10/06/2005,97.9929
13/06/2005,97.7163
14/06/2005,97.4266
15/06/2005,97.5131
16/06/2005,97.7756
17/06/2005,97.7761
20/06/2005,97.6067
