Name,DEAN FOODS CO. 2006 7% 01/06/16 S - GROSS PRICE
Code,66291F(GP)
11/05/2006,
12/05/2006,
15/05/2006,99.0194
16/05/2006,98.0389
17/05/2006,97.8472
18/05/2006,97.9916
19/05/2006,97.8861
22/05/2006,97.9055
23/05/2006,97.925
24/05/2006,97.9833
25/05/2006,97.5027
26/05/2006,98.0027
29/05/2006,98.0222
30/05/2006,98.0416
31/05/2006,98.35
1/06/2006,98.1194
2/06/2006,98.1389
5/06/2006,98.1583
6/06/2006,97.6777
7/06/2006,97.7361
8/06/2006,97.7555
9/06/2006,97.9
12/06/2006,97.7944
13/06/2006,97.6889
14/06/2006,97.3722
15/06/2006,97.3916
16/06/2006,97.4111
19/06/2006,97.6805
20/06/2006,97.45
21/06/2006,97.3833
22/06/2006,97.4028
23/06/2006,97.2972
26/06/2006,97.6916
27/06/2006,97.5861
28/06/2006,97.5194
29/06/2006,97.6639
30/06/2006,97.6833
3/07/2006,97.9528
4/07/2006,97.9722
5/07/2006,97.9055
6/07/2006,97.8
7/07/2006,97.8194
10/07/2006,97.9639
11/07/2006,97.8583
12/07/2006,98.0416
13/07/2006,97.6861
14/07/2006,97.7055
17/07/2006,97.725
18/07/2006,97.7444
19/07/2006,97.3027
20/07/2006,97.5722
21/07/2006,97.9666
24/07/2006,97.9861
25/07/2006,98.2555
26/07/2006,98.2944
27/07/2006,98.1889
28/07/2006,98.2083
31/07/2006,98.2278
1/08/2006,98.6222
2/08/2006,98.8055
3/08/2006,98.575
4/08/2006,99.5944
7/08/2006,99.6139
8/08/2006,99.1333
9/08/2006,99.1916
10/08/2006,98.7111
11/08/2006,98.7305
14/08/2006,99.125
15/08/2006,99.1444
16/08/2006,99.8278
17/08/2006,100.0972
18/08/2006,100.1166
21/08/2006,100.3861
22/08/2006,99.9055
23/08/2006,99.9639
24/08/2006,100.4833
25/08/2006,100.2527
28/08/2006,100.5027
29/08/2006,100.7722
30/08/2006,100.8305
31/08/2006,101.1
1/09/2006,101.1194
4/09/2006,101.1389
5/09/2006,101.5333
6/09/2006,101.2166
7/09/2006,100.9861
8/09/2006,101.5055
11/09/2006,101.775
12/09/2006,101.5444
13/09/2006,101.8528
14/09/2006,101.9972
15/09/2006,102.0166
18/09/2006,101.9111
19/09/2006,101.9305
20/09/2006,102.3639
21/09/2006,102.2583
22/09/2006,102.2778
25/09/2006,102.2972
26/09/2006,102.4416
27/09/2006,102.625
28/09/2006,102.5194
29/09/2006,102.6639
2/10/2006,102.6833
3/10/2006,102.7028
4/10/2006,103.2611
5/10/2006,103.0305
6/10/2006,103.55
9/10/2006,103.5694
10/10/2006,103.5889
11/10/2006,103.8972
12/10/2006,103.7916
13/10/2006,103.8111
16/10/2006,103.4555
17/10/2006,103.6
18/10/2006,103.7833
19/10/2006,103.5527
20/10/2006,103.5722
23/10/2006,103.5916
24/10/2006,103.6111
25/10/2006,103.6694
26/10/2006,103.6694
27/10/2006,103.6889
30/10/2006,104.0833
31/10/2006,104.3528
1/11/2006,104.5361
2/11/2006,104.8055
3/11/2006,104.825
6/11/2006,104.8444
7/11/2006,105.7389
8/11/2006,105.7972
9/11/2006,105.8166
10/11/2006,105.7111
13/11/2006,105.8555
14/11/2006,106.25
15/11/2006,105.9333
16/11/2006,105.9528
17/11/2006,105.8472
20/11/2006,105.6166
21/11/2006,104.8861
22/11/2006,104.9444
23/11/2006,104.9639
24/11/2006,104.9833
27/11/2006,105.7527
28/11/2006,102
29/11/2006,102.3083
30/11/2006,102.2028
1/12/2006,102.4722
4/12/2006,102.4916
5/12/2006,102.5111
6/12/2006,102.5694
7/12/2006,102.5889
8/12/2006,102.2333
11/12/2006,102.2528
12/12/2006,102.0222
13/12/2006,102.4555
14/12/2006,102.475
15/12/2006,102.4944
18/12/2006,101.8889
19/12/2006,101.7833
20/12/2006,101.8416
21/12/2006,101.7361
22/12/2006,101.7555
25/12/2006,101.775
26/12/2006,101.7944
27/12/2006,101.8333
28/12/2006,101.6028
29/12/2006,101.6222
1/01/2007,101.6416
2/01/2007,102.0361
3/01/2007,102.3444
4/01/2007,102.4889
5/01/2007,102.7583
8/01/2007,102.6528
9/01/2007,102.7972
10/01/2007,103.1055
11/01/2007,102.625
12/01/2007,102.3944
15/01/2007,102.4139
16/01/2007,102.5583
