Name,BERRY PETROLEUM CO. 2006 8 1/4% 01/11/16 S - GROSS PRICE
Code,81359Q(GP)
19/10/2006,
20/10/2006,100.3979
23/10/2006,100.1708
24/10/2006,100.1937
25/10/2006,100.1375
26/10/2006,100.2625
27/10/2006,100.2854
30/10/2006,100.4333
31/10/2006,100.4563
1/11/2006,100.525
2/11/2006,100.2979
3/11/2006,99.8208
6/11/2006,100.3437
7/11/2006,100.1167
8/11/2006,99.9354
9/11/2006,100.4583
10/11/2006,100.4812
13/11/2006,100.5042
14/11/2006,100.7771
15/11/2006,100.8458
16/11/2006,100.8687
17/11/2006,100.6416
20/11/2006,100.6646
21/11/2006,100.4375
22/11/2006,100.5062
23/11/2006,100.5291
24/11/2006,100.5521
27/11/2006,100.325
28/11/2006,100.3479
29/11/2006,100.6666
30/11/2006,100.9396
1/12/2006,100.9625
4/12/2006,101.2354
5/12/2006,101.2583
6/12/2006,101.3271
7/12/2006,101.1
8/12/2006,101.3729
11/12/2006,101.3958
12/12/2006,101.4187
13/12/2006,100.9875
14/12/2006,101.0104
15/12/2006,101.2833
18/12/2006,101.3062
19/12/2006,101.3291
20/12/2006,101.5229
21/12/2006,101.5458
22/12/2006,101.5687
25/12/2006,101.5916
26/12/2006,101.6146
27/12/2006,101.6604
28/12/2006,101.6833
29/12/2006,101.7062
1/01/2007,101.7291
2/01/2007,101.7521
3/01/2007,101.4458
4/01/2007,101.2187
5/01/2007,100.9917
8/01/2007,100.5146
9/01/2007,100.7875
10/01/2007,100.8562
11/01/2007,100.8792
12/01/2007,100.9021
15/01/2007,100.925
16/01/2007,100.9479
17/01/2007,100.5166
18/01/2007,100.5396
19/01/2007,100.8125
22/01/2007,101.0854
23/01/2007,100.6083
24/01/2007,100.9271
25/01/2007,100.95
26/01/2007,100.7
29/01/2007,100.7229
30/01/2007,100.4958
31/01/2007,100.8146
1/02/2007,101.0875
2/02/2007,101.1104
5/02/2007,101.1333
6/02/2007,101.1562
7/02/2007,101.475
8/02/2007,101.7479
9/02/2007,101.7708
12/02/2007,101.7937
13/02/2007,101.8167
14/02/2007,102.3854
15/02/2007,102.6583
16/02/2007,102.9312
19/02/2007,102.9541
20/02/2007,102.9771
21/02/2007,103.2958
22/02/2007,103.3187
23/02/2007,103.0916
26/02/2007,103.1604
27/02/2007,102.9333
28/02/2007,102.7521
1/03/2007,102.275
2/03/2007,102.0479
5/03/2007,101.5708
6/03/2007,101.5937
7/03/2007,102.1625
8/03/2007,102.1854
9/03/2007,102.2083
12/03/2007,101.9812
13/03/2007,101.7542
14/03/2007,101.3229
15/03/2007,101.5958
16/03/2007,101.6187
19/03/2007,101.6416
20/03/2007,101.9146
21/03/2007,101.9833
22/03/2007,102.5062
23/03/2007,102.5291
26/03/2007,102.5521
27/03/2007,102.825
28/03/2007,102.9958
29/03/2007,102.8938
30/03/2007,103.1666
2/04/2007,102.9396
3/04/2007,102.9625
4/04/2007,102.7812
5/04/2007,102.8042
6/04/2007,102.8271
9/04/2007,102.85
10/04/2007,103.3729
11/04/2007,103.4417
12/04/2007,103.4646
13/04/2007,103.7375
16/04/2007,104.0104
17/04/2007,104.0333
18/04/2007,104.1021
19/04/2007,104.125
20/04/2007,104.3979
23/04/2007,104.4208
24/04/2007,104.4437
25/04/2007,104.5125
26/04/2007,100.25
27/04/2007,100.0229
30/04/2007,100.2958
1/05/2007,100.3187
2/05/2007,100.6375
3/05/2007,100.6604
4/05/2007,100.9333
7/05/2007,100.7062
8/05/2007,101.2291
9/05/2007,101.2979
10/05/2007,102.0708
11/05/2007,102.0937
14/05/2007,102.3666
15/05/2007,102.1396
16/05/2007,102.2083
17/05/2007,102.2312
18/05/2007,102.2542
21/05/2007,102.5271
22/05/2007,102.55
23/05/2007,102.6187
24/05/2007,103.0166
25/05/2007,103.1646
28/05/2007,103.1646
29/05/2007,103.1875
30/05/2007,103.0062
31/05/2007,103.0291
1/06/2007,103.1771
4/06/2007,103.075
5/06/2007,103.0979
6/06/2007,103.1666
7/06/2007,102.9396
8/06/2007,102.7125
11/06/2007,102.4854
12/06/2007,101.5083
13/06/2007,101.5771
14/06/2007,102.35
15/06/2007,102.6229
18/06/2007,102.5208
19/06/2007,102.5437
20/06/2007,102.4875
21/06/2007,102.2604
22/06/2007,102.2833
25/06/2007,101.8062
26/06/2007,101.8291
27/06/2007,101.3979
28/06/2007,101.9208
29/06/2007,102.1937
2/07/2007,102.2166
3/07/2007,102.7396
4/07/2007,102.8083
5/07/2007,102.4562
6/07/2007,102.4791
9/07/2007,102.3771
10/07/2007,101.9
11/07/2007,101.7187
12/07/2007,102.2416
13/07/2007,102.0146
16/07/2007,102.5375
17/07/2007,102.0604
18/07/2007,101.8792
19/07/2007,101.4021
20/07/2007,100.925
23/07/2007,100.9479
24/07/2007,99.9708
25/07/2007,100.0396
26/07/2007,98.0396
27/07/2007,97.5625
30/07/2007,98.0854
31/07/2007,98.6083
1/08/2007,98.1771
2/08/2007,99.2
3/08/2007,99.9729
6/08/2007,98.7458
7/08/2007,99.5187
8/08/2007,100.8375
9/08/2007,100.3604
10/08/2007,99.1333
13/08/2007,99.1562
14/08/2007,99.5541
15/08/2007,99.4979
16/08/2007,99.2708
17/08/2007,99.5437
20/08/2007,99.5667
21/08/2007,99.8396
22/08/2007,100.4083
23/08/2007,101.1812
24/08/2007,100.4541
27/08/2007,100.9771
28/08/2007,100.9771
29/08/2007,101.0458
30/08/2007,101.1937
31/08/2007,101.3416
3/09/2007,101.3646
4/09/2007,101.3875
5/09/2007,101.4562
6/09/2007,101.2291
7/09/2007,101.7521
10/09/2007,101.525
11/09/2007,101.5479
12/09/2007,101.8666
13/09/2007,101.8896
14/09/2007,101.6625
17/09/2007,102.4354
18/09/2007,102.7083
19/09/2007,103.5271
20/09/2007,103.05
21/09/2007,104.0729
24/09/2007,104.3458
25/09/2007,104.3687
26/09/2007,104.6875
27/09/2007,104.0854
28/09/2007,104.4833
1/10/2007,104.0062
2/10/2007,104.5291
3/10/2007,104.4729
4/10/2007,104.2458
5/10/2007,104.2687
8/10/2007,104.2916
9/10/2007,104.6896
10/10/2007,105.0083
11/10/2007,105.7812
12/10/2007,105.8041
15/10/2007,106.0771
16/10/2007,105.6
17/10/2007,106.0437
