Name,WCA WASTE CORP. 2006 9 1/4% 15/06/14 S - GROSS PRICE
Code,83106D(GP)
5/12/2006,
6/12/2006,108.2583
7/12/2006,108.284
8/12/2006,108.3097
11/12/2006,108.3354
12/12/2006,104.25
13/12/2006,104.5771
14/12/2006,104.3528
15/12/2006,104.3784
18/12/2006,104.4041
19/12/2006,104.6798
20/12/2006,104.7569
21/12/2006,104.7826
22/12/2006,104.8083
25/12/2006,104.834
26/12/2006,104.8597
27/12/2006,104.9111
28/12/2006,104.9368
29/12/2006,104.9625
1/01/2007,104.9882
2/01/2007,105.0139
3/01/2007,105.0909
4/01/2007,105.1166
5/01/2007,105.1423
8/01/2007,104.918
9/01/2007,104.9437
10/01/2007,105.0208
11/01/2007,105.0465
12/01/2007,105.3222
15/01/2007,105.3479
16/01/2007,105.3736
17/01/2007,105.4507
18/01/2007,105.4764
19/01/2007,105.5021
22/01/2007,105.5278
23/01/2007,105.5535
24/01/2007,105.6305
25/01/2007,105.6563
26/01/2007,105.6563
29/01/2007,105.6819
30/01/2007,105.7076
31/01/2007,105.2847
1/02/2007,105.8104
2/02/2007,105.8361
5/02/2007,105.8618
6/02/2007,105.8875
7/02/2007,106.2146
8/02/2007,106.2402
9/02/2007,106.2659
12/02/2007,106.2916
13/02/2007,106.3173
14/02/2007,106.3944
15/02/2007,106.4201
16/02/2007,106.9458
19/02/2007,106.9715
20/02/2007,106.9972
21/02/2007,107.0743
22/02/2007,107.1
23/02/2007,107.1257
26/02/2007,107.2028
27/02/2007,107.4785
28/02/2007,108.0555
1/03/2007,108.0812
2/03/2007,108.1069
5/03/2007,108.1326
6/03/2007,108.1583
7/03/2007,108.2354
8/03/2007,108.2611
9/03/2007,108.2868
12/03/2007,108.3125
13/03/2007,108.3382
14/03/2007,108.4153
15/03/2007,108.4409
16/03/2007,108.4666
19/03/2007,108.4923
20/03/2007,108.518
21/03/2007,108.5951
22/03/2007,108.8708
23/03/2007,108.8965
26/03/2007,108.9222
27/03/2007,108.9479
28/03/2007,108.9993
29/03/2007,109.025
30/03/2007,109.0507
2/04/2007,109.0764
3/04/2007,109.1021
4/04/2007,109.1791
5/04/2007,109.2048
6/04/2007,109.2305
9/04/2007,109.2562
10/04/2007,109.2819
11/04/2007,109.359
12/04/2007,109.3847
13/04/2007,109.4104
16/04/2007,109.1861
17/04/2007,109.2118
18/04/2007,109.2889
19/04/2007,109.3146
20/04/2007,109.5903
23/04/2007,109.616
24/04/2007,109.6416
25/04/2007,109.7188
26/04/2007,109.7444
27/04/2007,109.7701
30/04/2007,110.0458
1/05/2007,110.0715
2/05/2007,109.6486
3/05/2007,109.6743
4/05/2007,109.7
7/05/2007,109.7257
8/05/2007,109.7514
9/05/2007,109.8284
10/05/2007,109.8541
11/05/2007,109.8798
14/05/2007,109.9055
15/05/2007,109.9312
16/05/2007,110.0083
17/05/2007,110.034
18/05/2007,110.5597
21/05/2007,110.5854
22/05/2007,110.7361
23/05/2007,110.8132
24/05/2007,110.8389
25/05/2007,110.8646
28/05/2007,110.8646
29/05/2007,110.8903
30/05/2007,110.9673
31/05/2007,110.993
1/06/2007,111.0187
4/06/2007,111.0444
5/06/2007,110.6951
6/06/2007,110.7722
7/06/2007,110.7979
8/06/2007,110.8236
11/06/2007,110.5993
12/06/2007,106
13/06/2007,106.0771
14/06/2007,106.1028
15/06/2007,106.1284
18/06/2007,106.1541
19/06/2007,106.1798
20/06/2007,106.2569
21/06/2007,105.7826
22/06/2007,105.5583
25/06/2007,105.209
26/06/2007,105.2347
27/06/2007,105.3118
28/06/2007,105.7125
29/06/2007,104.4882
2/07/2007,104.5139
3/07/2007,104.5396
4/07/2007,104.6166
5/07/2007,104.6423
6/07/2007,104.668
9/07/2007,104.6937
10/07/2007,104.7194
11/07/2007,104.7965
12/07/2007,103.8222
13/07/2007,103.8479
16/07/2007,103.8736
17/07/2007,103.8993
18/07/2007,103.4764
19/07/2007,103.5021
20/07/2007,103.0278
23/07/2007,103.0535
24/07/2007,103.0791
25/07/2007,102.6563
26/07/2007,101.1563
27/07/2007,101.1819
30/07/2007,101.2076
31/07/2007,101.7333
1/08/2007,101.8104
2/08/2007,101.8361
3/08/2007,101.8618
6/08/2007,101.8875
7/08/2007,101.9132
8/08/2007,102.4902
9/08/2007,102.5159
10/08/2007,102.5416
13/08/2007,102.5673
14/08/2007,102.593
15/08/2007,102.6701
16/08/2007,102.1958
17/08/2007,102.2215
20/08/2007,102.2472
21/08/2007,102.2729
22/08/2007,102.35
23/08/2007,102.3757
24/08/2007,102.4014
27/08/2007,102.4271
28/08/2007,102.4271
29/08/2007,102.5042
30/08/2007,102.5298
31/08/2007,102.5555
3/09/2007,102.5812
4/09/2007,102.6069
5/09/2007,102.684
6/09/2007,103.2097
7/09/2007,102.7354
10/09/2007,102.7611
11/09/2007,102.7868
12/09/2007,102.8639
13/09/2007,102.8896
14/09/2007,102.9153
17/09/2007,102.9409
18/09/2007,103.2166
19/09/2007,103.5437
20/09/2007,103.5694
21/09/2007,105.5951
24/09/2007,105.6208
25/09/2007,105.6465
26/09/2007,105.7236
27/09/2007,105.7493
28/09/2007,105.775
1/10/2007,105.8007
2/10/2007,105.8264
3/10/2007,105.9034
4/10/2007,105.9291
5/10/2007,105.9548
8/10/2007,105.9805
9/10/2007,106.0062
10/10/2007,106.0833
11/10/2007,106.109
12/10/2007,106.1347
15/10/2007,106.1604
16/10/2007,106.1861
17/10/2007,106.2632
18/10/2007,106.2889
19/10/2007,106.3146
22/10/2007,106.3403
23/10/2007,106.866
24/10/2007,106.943
25/10/2007,106.9688
26/10/2007,106.9688
29/10/2007,106.9944
30/10/2007,107.0201
31/10/2007,107.0972
1/11/2007,107.1229
2/11/2007,107.1486
5/11/2007,107.1743
6/11/2007,107.2
7/11/2007,107.2771
8/11/2007,107.3027
9/11/2007,107.3284
12/11/2007,107.3541
13/11/2007,107.3798
14/11/2007,107.4569
15/11/2007,107.4826
16/11/2007,107.5083
19/11/2007,107.534
20/11/2007,107.5597
21/11/2007,107.6368
22/11/2007,107.6625
23/11/2007,107.6882
26/11/2007,107.7139
27/11/2007,107.7396
28/11/2007,107.3167
29/11/2007,107.3423
30/11/2007,107.368
3/12/2007,107.3937
4/12/2007,106.1694
5/12/2007,106.2465
6/12/2007,106.3972
7/12/2007,106.2979
10/12/2007,106.3236
11/12/2007,106.3493
12/12/2007,101.8014
13/12/2007,101.8271
14/12/2007,101.8528
17/12/2007,101.8784
18/12/2007,101.9041
19/12/2007,101.9812
20/12/2007,102.0069
21/12/2007,102.0326
24/12/2007,102.0583
25/12/2007,102.084
26/12/2007,102.1354
27/12/2007,102.1611
28/12/2007,102.1868
31/12/2007,102.2125
1/01/2008,102.2382
2/01/2008,102.3153
3/01/2008,102.0909
4/01/2008,102.1166
7/01/2008,102.1423
8/01/2008,102.168
9/01/2008,102.2451
10/01/2008,102.2708
11/01/2008,102.2965
14/01/2008,102.3222
15/01/2008,102.3479
16/01/2008,102.175
17/01/2008,102.2007
18/01/2008,102.2264
21/01/2008,102.2521
22/01/2008,102.2778
23/01/2008,102.3548
24/01/2008,102.3805
25/01/2008,102.4063
28/01/2008,102.4063
29/01/2008,102.4319
30/01/2008,102.509
31/01/2008,102.5347
1/02/2008,102.5604
4/02/2008,102.5861
5/02/2008,101.3618
6/02/2008,101.4389
7/02/2008,101.4646
8/02/2008,101.4902
11/02/2008,101.5159
12/02/2008,101.5416
13/02/2008,101.1187
14/02/2008,101.1444
15/02/2008,101.1701
18/02/2008,101.1958
19/02/2008,101.2215
20/02/2008,101.2986
21/02/2008,101.3243
22/02/2008,101.35
25/02/2008,101.3757
26/02/2008,101.4014
27/02/2008,101.5042
28/02/2008,101.5298
29/02/2008,101.5555
3/03/2008,101.5812
4/03/2008,101.6069
5/03/2008,101.934
6/03/2008,101.9597
7/03/2008,101.9854
10/03/2008,102.0111
11/03/2008,102.0368
12/03/2008,102.1139
13/03/2008,102.1396
14/03/2008,102.1653
17/03/2008,102.1909
18/03/2008,102.2166
19/03/2008,102.2937
20/03/2008,102.3194
21/03/2008,102.3451
24/03/2008,102.3708
25/03/2008,102.3965
26/03/2008,102.4479
27/03/2008,102.4736
28/03/2008,102.4993
31/03/2008,102.525
1/04/2008,102.5507
2/04/2008,102.6278
3/04/2008,102.6534
4/04/2008,102.6791
7/04/2008,102.7048
8/04/2008,102.7305
9/04/2008,102.8076
10/04/2008,102.8333
11/04/2008,102.859
14/04/2008,102.8847
15/04/2008,102.9104
16/04/2008,102.9875
17/04/2008,104.2632
18/04/2008,104.2889
21/04/2008,104.3146
22/04/2008,104.3403
23/04/2008,104.4173
24/04/2008,104.443
25/04/2008,104.4688
28/04/2008,104.4944
29/04/2008,104.5201
30/04/2008,104.5972
1/05/2008,104.6229
2/05/2008,104.6486
5/05/2008,104.6743
6/05/2008,104.7
7/05/2008,104.7771
8/05/2008,104.8027
9/05/2008,104.8284
12/05/2008,104.8541
13/05/2008,104.8798
14/05/2008,104.9569
15/05/2008,104.9826
16/05/2008,105.0083
19/05/2008,105.034
20/05/2008,105.0597
21/05/2008,105.1368
22/05/2008,105.1625
23/05/2008,105.1882
26/05/2008,105.2139
27/05/2008,105.2396
28/05/2008,105.291
29/05/2008,105.3167
30/05/2008,105.3423
2/06/2008,105.368
3/06/2008,105.3937
4/06/2008,105.4708
5/06/2008,104.7465
6/06/2008,104.7722
9/06/2008,104.7979
10/06/2008,104.8236
11/06/2008,100.2757
12/06/2008,100.3014
13/06/2008,100.3271
16/06/2008,100.3528
17/06/2008,100.3784
18/06/2008,100.4555
19/06/2008,100.4812
20/06/2008,100.5069
23/06/2008,100.5326
24/06/2008,100.5583
25/06/2008,100.6354
26/06/2008,100.6611
27/06/2008,100.6868
30/06/2008,100.7125
1/07/2008,100.7382
2/07/2008,100.8153
3/07/2008,99.5909
4/07/2008,99.6166
7/07/2008,99.6423
8/07/2008,99.668
9/07/2008,99.7451
10/07/2008,99.7708
11/07/2008,99.7965
14/07/2008,99.8222
15/07/2008,99.8479
16/07/2008,99.925
17/07/2008,99.9507
18/07/2008,99.9764
21/07/2008,100.0021
22/07/2008,100.0278
23/07/2008,100.1048
24/07/2008,100.1305
25/07/2008,100.1563
28/07/2008,99.6563
29/07/2008,99.6819
30/07/2008,100.259
31/07/2008,100.2847
1/08/2008,100.3104
4/08/2008,100.3361
5/08/2008,100.3618
6/08/2008,100.4389
7/08/2008,100.7146
8/08/2008,100.7402
11/08/2008,100.7659
12/08/2008,100.7916
13/08/2008,100.6187
14/08/2008,100.6444
15/08/2008,100.6701
18/08/2008,100.6958
19/08/2008,100.7215
20/08/2008,100.7986
21/08/2008,100.8243
22/08/2008,100.85
25/08/2008,100.8757
26/08/2008,100.9014
27/08/2008,100.9528
28/08/2008,100.9785
29/08/2008,101.0042
1/09/2008,101.0298
2/09/2008,101.0555
3/09/2008,101.1326
4/09/2008,101.1583
