Name,BALDOR ELEC.CO. 2007 8 5/8% 15/02/17 S - GROSS PRICE
Code,84902Q(GP)
26/01/2007,
29/01/2007,103.1489
30/01/2007,103.2979
31/01/2007,103.3698
1/02/2007,103.3937
2/02/2007,103.9177
5/02/2007,104.3167
6/02/2007,105.4656
7/02/2007,106.2875
8/02/2007,105.5614
9/02/2007,105.5854
12/02/2007,105.3594
13/02/2007,105.8833
14/02/2007,106.4552
15/02/2007,106.4792
16/02/2007,106.5031
19/02/2007,106.5271
20/02/2007,106.676
21/02/2007,107.1229
22/02/2007,106.6469
23/02/2007,106.6708
26/02/2007,106.7427
27/02/2007,106.5166
28/02/2007,105.9635
1/03/2007,105.6125
2/03/2007,105.6364
5/03/2007,105.1604
6/03/2007,105.6844
7/03/2007,106.5063
8/03/2007,106.7802
9/03/2007,106.3042
12/03/2007,106.5781
13/03/2007,106.6021
14/03/2007,106.1739
15/03/2007,106.4479
16/03/2007,106.3469
19/03/2007,106.2458
20/03/2007,106.6448
21/03/2007,106.7166
22/03/2007,106.9906
23/03/2007,107.0146
26/03/2007,106.9135
27/03/2007,107.1875
28/03/2007,106.8604
29/03/2007,107.2594
30/03/2007,107.2833
2/04/2007,106.8073
3/04/2007,107.0812
4/04/2007,107.1531
5/04/2007,107.1771
6/04/2007,107.201
9/04/2007,106.975
10/04/2007,106.9989
11/04/2007,107.4458
12/04/2007,107.4698
13/04/2007,107.1187
16/04/2007,108.0177
17/04/2007,108.1667
18/04/2007,108.2385
19/04/2007,108.2625
20/04/2007,108.5364
23/04/2007,108.5604
24/04/2007,108.7094
25/04/2007,108.7812
26/04/2007,108.6802
27/04/2007,108.9541
30/04/2007,108.9781
1/05/2007,109.0021
2/05/2007,109.3239
3/05/2007,109.4729
4/05/2007,109.7469
7/05/2007,109.8958
8/05/2007,109.9198
9/05/2007,109.9917
10/05/2007,110.0156
11/05/2007,110.0396
14/05/2007,110.0635
15/05/2007,110.3375
16/05/2007,110.4094
17/05/2007,110.5583
18/05/2007,110.2073
21/05/2007,110.2312
22/05/2007,110.3802
23/05/2007,110.5771
24/05/2007,110.601
25/05/2007,110.375
28/05/2007,110.375
29/05/2007,110.3989
30/05/2007,109.9708
31/05/2007,110.4948
1/06/2007,110.3937
4/06/2007,110.2927
5/06/2007,110.6917
6/06/2007,110.1385
7/06/2007,109.9125
8/06/2007,109.4364
11/06/2007,109.9604
12/06/2007,109.7344
13/06/2007,109.8062
14/06/2007,109.8302
15/06/2007,110.1042
18/06/2007,110.0031
19/06/2007,109.4021
20/06/2007,109.9739
21/06/2007,109.9979
22/06/2007,109.6469
25/06/2007,109.2958
26/06/2007,109.3198
27/06/2007,108.8916
28/06/2007,109.4156
29/06/2007,109.4396
2/07/2007,109.2135
3/07/2007,109.7375
4/07/2007,109.8094
5/07/2007,109.8333
6/07/2007,109.8573
9/07/2007,109.8812
10/07/2007,109.4052
11/07/2007,109.9771
12/07/2007,109.751
13/07/2007,109.775
16/07/2007,109.2989
17/07/2007,109.3229
18/07/2007,109.3948
19/07/2007,109.4187
20/07/2007,109.4427
23/07/2007,108.7166
24/07/2007,107.2406
25/07/2007,107.5625
26/07/2007,104.8125
27/07/2007,105.5864
30/07/2007,105.8604
31/07/2007,106.8844
1/08/2007,106.4562
2/08/2007,106.7302
3/08/2007,106.7542
6/08/2007,106.2781
7/08/2007,106.8021
8/08/2007,107.374
9/08/2007,106.7729
10/08/2007,101.25
13/08/2007,101.5239
14/08/2007,101.5479
15/08/2007,102.2448
16/08/2007,100.6437
17/08/2007,101.4177
20/08/2007,101.9417
21/08/2007,101.9656
22/08/2007,102.7875
23/08/2007,102.8114
24/08/2007,102.8354
27/08/2007,102.8593
