Name,W & T OFFSHORE INC 2007 8 1/4% 15/06/14 144A S - GROSS PRICE
Code,97716L(GP)
19/06/2007,
20/06/2007,99.9791
21/06/2007,99.5021
22/06/2007,99.4
25/06/2007,98.7979
26/06/2007,99.0708
27/06/2007,98.6396
28/06/2007,98.6625
29/06/2007,99.1854
2/07/2007,98.7083
3/07/2007,98.9812
4/07/2007,99.05
5/07/2007,98.8229
6/07/2007,98.5958
9/07/2007,99.1187
10/07/2007,98.8916
11/07/2007,98.4604
12/07/2007,98.9833
13/07/2007,99.1312
16/07/2007,99.2791
17/07/2007,98.8021
18/07/2007,97.8708
19/07/2007,98.3937
20/07/2007,97.9166
23/07/2007,97.9396
24/07/2007,96.9625
25/07/2007,97.0313
26/07/2007,95.0313
27/07/2007,94.5541
30/07/2007,95.0771
31/07/2007,95.1
1/08/2007,95.1687
2/08/2007,95.6917
3/08/2007,95.2146
6/08/2007,95.2375
7/08/2007,95.2604
8/08/2007,96.3291
9/08/2007,96.3521
10/08/2007,96.375
13/08/2007,95.3979
14/08/2007,97.4208
15/08/2007,97.4896
16/08/2007,97.0125
17/08/2007,97.5354
20/08/2007,97.8083
21/08/2007,98.0812
22/08/2007,98.65
23/08/2007,96.9229
24/08/2007,96.6958
27/08/2007,96.4687
28/08/2007,95.2187
29/08/2007,95.2875
30/08/2007,94.9354
31/08/2007,95.0833
3/09/2007,95.1062
4/09/2007,95.3792
5/09/2007,95.6979
6/09/2007,95.4708
7/09/2007,95.4937
10/09/2007,96.5166
11/09/2007,96.5396
12/09/2007,96.6083
13/09/2007,96.8812
14/09/2007,96.9041
17/09/2007,97.1771
18/09/2007,97.45
19/09/2007,98.7687
20/09/2007,97.7916
21/09/2007,97.8146
24/09/2007,99.8375
25/09/2007,99.8604
26/09/2007,99.1791
27/09/2007,98.7021
28/09/2007,98.725
1/10/2007,98.4979
2/10/2007,98.5208
3/10/2007,98.8396
4/10/2007,98.8625
5/10/2007,98.6354
8/10/2007,98.6583
9/10/2007,99.9312
10/10/2007,100
11/10/2007,100.2729
12/10/2007,100.0458
15/10/2007,100.0687
16/10/2007,100.3416
17/10/2007,100.4104
18/10/2007,100.1833
19/10/2007,99.9562
22/10/2007,99.7291
23/10/2007,99.7521
24/10/2007,99.8208
25/10/2007,99.8438
26/10/2007,100.0938
29/10/2007,100.1166
30/10/2007,99.8896
31/10/2007,100.2083
1/11/2007,99.9812
2/11/2007,100.0042
5/11/2007,100.0271
6/11/2007,100.3
7/11/2007,100.1187
8/11/2007,99.8916
9/11/2007,99.6646
12/11/2007,99.6875
13/11/2007,99.4604
14/11/2007,99.5291
15/11/2007,99.3021
16/11/2007,100.575
19/11/2007,98.5979
20/11/2007,98.6208
21/11/2007,98.1896
22/11/2007,98.2125
23/11/2007,98.2354
26/11/2007,97.2583
27/11/2007,96.7813
28/11/2007,97.35
29/11/2007,97.3729
30/11/2007,97.8958
3/12/2007,97.6687
4/12/2007,97.9417
5/12/2007,97.5104
6/12/2007,97.5333
7/12/2007,97.0562
10/12/2007,97.3291
11/12/2007,97.3521
12/12/2007,93.0916
13/12/2007,93.1146
14/12/2007,93.1375
17/12/2007,93.4104
18/12/2007,93.3083
19/12/2007,93.2521
20/12/2007,94.025
21/12/2007,94.0479
24/12/2007,94.0708
25/12/2007,94.0937
26/12/2007,94.1396
27/12/2007,94.1625
28/12/2007,94.1854
31/12/2007,94.2083
1/01/2008,94.2312
2/01/2008,94.3
3/01/2008,94.0729
4/01/2008,94.0958
7/01/2008,94.1187
8/01/2008,94.3916
9/01/2008,94.2104
10/01/2008,93.2333
11/01/2008,94.2562
14/01/2008,94.2791
15/01/2008,94.0521
16/01/2008,95.3708
17/01/2008,94.8937
18/01/2008,94.9166
21/01/2008,94.9396
22/01/2008,94.4625
23/01/2008,94.0313
24/01/2008,95.5541
25/01/2008,95.5771
28/01/2008,96.0771
29/01/2008,96.1
30/01/2008,95.6687
31/01/2008,95.1917
1/02/2008,95.7146
4/02/2008,95.4875
5/02/2008,95.3854
6/02/2008,94.8291
7/02/2008,94.8521
8/02/2008,94.875
11/02/2008,94.3979
12/02/2008,95.4208
13/02/2008,95.9896
14/02/2008,95.2625
15/02/2008,95.2854
