COCA-COLA CO,,,,,,,,,
TICKER:,KO,,,,,,,,
SIC:,2080,,,,,,,,
GICS:,30201030,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,1892,1934,2345,3482,6768,4767,2590,@NA,@NA
Receivables,1757,1882,2097,2091,2171,2281,2587,@NA,@NA
Bad Debt Reserve,3.408,3.04,2.556,2.835,3.08,3.06,2.377,@NA,@NA
Inventory,1066,1055,1294,1252,1420,1424,1641,@NA,@NA
Total Current Assets,6620,7171,7352,8396,12094,10250,8441,@NA,@NA
PP&E,4168,4453,5911,6097,6091,5786,6903,@NA,@NA
Intangibles,1917,2579,3553,3989,3836,3821,5135,@NA,@NA
Deferred Charges,0,0,0,0,0,0,0,@NA,@NA
Equity Investments,5246,5128,4737,5224,5897,6562,6310,@NA,@NA
Other Investments,@NA,@NA,@NA,@NA,355,360,473,@NA,@NA
Total Assets,20834,22417,24501,27342,31327,29427,29963,@NA,@NA
Debt - Current Portion ,21,156,180,323,1490,28,33,@NA,@NA
Notes Payable,4795,3743,2475,2583,4531,4518,3235,@NA,@NA
Accounts Payable,2123,2026,2002,4058,2238,2315,929,@NA,@NA
Taxes Payable,600,851,994,922,667,797,567,@NA,@NA
Total Current Liabilities,9321,8429,7341,7886,10971,9836,8890,@NA,@NA
Total Long Term Debt,835,1219,2701,2517,1157,1154,1314,@NA,@NA
Deferred LT Taxes,358,442,399,337,450,352,608,@NA,@NA
Minority Interests,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@NA,@NA
Total Liabilities,11518,11051,12701,13252,15392,13072,13043,@NA,@NA
Preferred Stock - Total,0,0,0,0,0,0,0,@NA,@NA
Common Equity,9316,11366,11800,14090,15935,16355,16920,@NA,@NA
Total Stockholders' Equity,9316,11366,11800,14090,15935,16355,16920,@NA,@NA
Common Shares O/S,2484.762,2486.227,2470.979,2441.532,2409.339,2369,2318,@NA,@NA
