SCHLUMBERGER LTD,,,,,,,,,
TICKER:,SLB,,,,,,,,
SIC:,1389,,,,,,,,
GICS:,10101020,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,3040.15,1617.701,1736.016,3108.973,2997.425,3495.681,2998.873,@NA,@NA
Receivables,2768.848,4028.45,3489.406,2568.425,2663.642,3383.803,4242,@NA,@NA
Bad Debt Reserve,3.704,3.481,4.72,4.754,4.118,2.951,2.639,@NA,@NA
Inventory,1111.585,1204.263,1043.057,796.559,819.745,1010.448,1246.887,@NA,@NA
Total Current Assets,7493.211,7704.89,7185.44,10369.121,7059.749,8553.913,9185.662,@NA,@NA
PP&E,5370.289,5856.833,5682.239,4305.495,4108.251,4422.744,5802.722,@NA,@NA
Intangibles,1575.71,7072.318,4494.657,3687.573,2864.881,3001.394,5710.432,@NA,@NA
Deferred Charges,0,0,0,0,0,0,0,@NA,@NA
Equity Investments,654.516,820.806,687.524,776.965,883.598,988.781,1208.323,@NA,@NA
Other Investments,1547.132,576,407.5,223.3,203.75,359.75,153,@NA,@NA
Total Assets,17172.73,22326.367,19435.195,20041.326,16000.777,18077.492,22832.139,@NA,@NA
Debt - Current Portion ,36.201,31.99,452.577,889.678,143.385,269.158,602.919,@NA,@NA
Notes Payable,556.02,983.191,682.956,521.49,572.487,527.42,718.61,@NA,@NA
Accounts Payable,946,1184,999,800,813,1070,1311,@NA,@NA
Taxes Payable,379.916,587.328,625.058,807.938,858.785,1028.571,1136.529,@NA,@NA
Total Current Liabilities,3990.905,6217.785,6450.918,6794.73,4701.2,5514.736,6454.795,@NA,@NA
Total Long Term Debt,3573.047,6215.709,6028.549,6097.418,3944.18,3591.338,4663.942,@NA,@NA
Deferred LT Taxes,@CF,@CF,0,0,0,0,0,@NA,@NA
Minority Interests,605.313,636.899,553.527,398.33,416.438,505.182,0,@NA,@NA
Total Liabilities,8877.515,13947.886,13829.057,14160.037,9884.04,10485.907,12412.255,@NA,@NA
Preferred Stock - Total,0,0,0,0,0,0,0,@NA,@NA
Common Equity,8295.216,8378.481,5606.138,5881.289,6116.737,7591.585,10419.883,@NA,@NA
Total Stockholders' Equity,8295.216,8378.481,5606.138,5881.289,6116.737,7591.585,10419.883,@NA,@NA
Common Shares O/S,1145.45,1151.78,1164.346,1171.896,1177.004,1177.604,1177.893,@NA,@NA
