REDDY ICE HOLDINGS INC,,,,,,,,,
TICKER:,FRZ,,,,,,,,
SIC:,2090,,,,,,,,
GICS:,30202030,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,@NA,@NA,6.5,12.801,4.478,33.997,39.434,@NA,@NA
Receivables,@NA,@NA,15.025,18.032,21.861,23.376,25.723,@NA,@NA
Bad Debt Reserve,@NA,@NA,3.221,0.552,2.913,2.503,2.101,@NA,@NA
Inventory,@NA,@NA,7.244,7.846,9.435,10.087,11.455,@NA,@NA
Total Current Assets,@NA,@NA,32.504,41.421,41.389,72.556,80.951,@NA,@NA
PP&E,@NA,@NA,164.842,233.44,233.661,231.816,230.242,@NA,@NA
Intangibles,@NA,@NA,@CF,@CF,220.451,214.968,216.37,@NA,@NA
Deferred Charges,@NA,@NA,@CF,@CF,@CF,@CF,@CF,@NA,@NA
Equity Investments,@NA,@NA,0,0,0,0,0,@NA,@NA
Other Investments,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Assets,@NA,@NA,347.573,614.336,588.62,603.764,610.272,@NA,@NA
Debt - Current Portion ,@NA,@NA,0.067,1.859,1.869,0.065,0.051,@NA,@NA
Notes Payable,@NA,@NA,0,0,5.805,0,0,@NA,@NA
Accounts Payable,@NA,@NA,10.032,11.237,15.509,12.962,14.09,@NA,@NA
Taxes Payable,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Current Liabilities,@NA,@NA,38.583,33.77,39.181,39.473,41.628,@NA,@NA
Total Long Term Debt,@NA,@NA,305.147,329.088,429.392,352.895,364.844,@NA,@NA
Deferred LT Taxes,@NA,@NA,0,60.16,37.114,28.213,36.152,@NA,@NA
Minority Interests,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Liabilities,@NA,@NA,343.73,423.018,505.687,420.581,442.624,@NA,@NA
Preferred Stock - Total,@NA,@NA,40.992,0.001,0,0,0,@NA,@NA
Common Equity,@NA,@NA,-37.149,191.317,82.933,183.183,167.648,@NA,@NA
Total Stockholders' Equity,@NA,@NA,3.843,191.318,82.933,183.183,167.648,@NA,@NA
Common Shares O/S,@NA,@NA,20.656,0.099,0.099,21.69,21.809,@NA,@NA
