SK TELECOM LTD  -ADR,,,,,,,,,
TICKER:,SKM,,,,,,,,
SIC:,4812,,,,,,,,
GICS:,50102010,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,1085.726,1473.719,1366.636,1217.691,1006.519,1249.991,@NA,@NA,@NA
Receivables,1096.792,1734.081,1934.594,2087.792,3020.726,3088.465,@NA,@NA,@NA
Bad Debt Reserve,8.295,6.4,3.527,3.193,2.698,4.104,@NA,@NA,@NA
Inventory,27.14,50.673,23.148,26.44,50.547,7.707,@NA,@NA,@NA
Total Current Assets,2209.658,3309.285,3408.461,3414.032,4241.805,4553.049,@NA,@NA,@NA
PP&E,3585.776,3178.322,3851.822,3893.915,4544.414,4617.197,@NA,@NA,@NA
Intangibles,@CF,@CF,@CF,@CF,3301.08,3353.364,@NA,@NA,@NA
Deferred Charges,@CF,@CF,@CF,@CF,@CF,@CF,@NA,@NA,@NA
Equity Investments,55.392,80.18,68.488,154.118,293.718,467.207,@NA,@NA,@NA
Other Investments,417.538,442.29,1279.465,772.117,945.361,1226.375,@NA,@NA,@NA
Total Assets,8716.789,10145.622,11994.192,11592.465,13799.012,14559.18,@NA,@NA,@NA
Debt - Current Portion ,952.642,506.64,777.383,1144.517,481.381,801.557,@NA,@NA,@NA
Notes Payable,165.719,888.732,579.361,659.477,411.068,0.962,@NA,@NA,@NA
Accounts Payable,845.016,788.121,1430.921,1105.002,1164.797,1037.405,@NA,@NA,@NA
Taxes Payable,243.992,283.198,323.611,337.717,264.221,367.15,@NA,@NA,@NA
Total Current Liabilities,2543.312,2844.192,3627.57,3801.1,2962.895,2835.023,@NA,@NA,@NA
Total Long Term Debt,1236.599,2052.039,2460.508,1898.91,2793.781,2301.551,@NA,@NA,@NA
Deferred LT Taxes,0,11.549,88.317,189.622,295.674,397.184,@NA,@NA,@NA
Minority Interests,104.077,536.235,611.571,130.86,94.868,@CF,@NA,@NA,@NA
Total Liabilities,4010.646,6043.837,7352.539,6611.037,6932.481,6314.091,@NA,@NA,@NA
Preferred Stock - Total,0,0,0,0,0,0,@NA,@NA,@NA
Common Equity,4706.143,4101.785,4641.653,4981.428,6866.531,8245.089,@NA,@NA,@NA
Total Stockholders' Equity,4706.143,4101.785,4641.653,4981.428,6866.531,8245.089,@NA,@NA,@NA
Common Shares O/S,801.711,746.941,718.579,747.015,662.595,662.595,@NA,@NA,@NA
