HORIZON LINES INC,,,,,,,,,
TICKER:,HRZ,,,,,,,,
SIC:,4400,,,,,,,,
GICS:,20303010,,,,,,,,
,@NA,@NA,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,@NA,@NA,@NA,41.811,56.766,41.45,93.949,@NA,@NA
Receivables,@NA,@NA,@NA,106.428,120.155,120.308,120.732,@NA,@NA
Bad Debt Reserve,@NA,@NA,@NA,9.405,6.196,4.798,@NA,@NA,@NA
Inventory,@NA,@NA,@NA,19.179,21.68,26.355,24.658,@NA,@NA
Total Current Assets,@NA,@NA,@NA,172.106,211.3,210.462,259.191,@NA,@NA
PP&E,@NA,@NA,@NA,179.713,190.123,200.597,188.652,@NA,@NA
Intangibles,@NA,@NA,@NA,66.401,368.39,306.724,306.724,@NA,@NA
Deferred Charges,@NA,@NA,@NA,5.248,23.703,@CF,@CF,@NA,@NA
Equity Investments,@NA,@NA,@NA,0,0,0,0,@NA,@NA
Other Investments,@NA,@NA,@NA,0,0,0,0,@NA,@NA
Total Assets,@NA,@NA,@NA,492.554,1019.974,927.319,945.029,@NA,@NA
Debt - Current Portion ,@NA,@NA,@NA,0,2.661,2.67,6.938,@NA,@NA
Notes Payable,@NA,@NA,@NA,0,0,0,0,@NA,@NA
Accounts Payable,@NA,@NA,@NA,22.921,25.275,22.368,28.322,@NA,@NA
Taxes Payable,@NA,@NA,@NA,1.145,0,0,0,@NA,@NA
Total Current Liabilities,@NA,@NA,@NA,125.914,144.048,143.351,161.628,@NA,@NA
Total Long Term Debt,@NA,@NA,@NA,214.302,610.201,527.905,503.864,@NA,@NA
Deferred LT Taxes,@NA,@NA,@NA,4.201,136.538,61.88,31.339,@NA,@NA
Minority Interests,@NA,@NA,@NA,0,0,0,0,@NA,@NA
Total Liabilities,@NA,@NA,@NA,395.694,937.658,775.559,736.752,@NA,@NA
Preferred Stock - Total,@NA,@NA,@NA,0,56.708,0,0,@NA,@NA
Common Equity,@NA,@NA,@NA,96.86,25.608,151.76,208.277,@NA,@NA
Total Stockholders' Equity,@NA,@NA,@NA,96.86,82.316,151.76,208.277,@NA,@NA
Common Shares O/S,@NA,@NA,@NA,0.8,16.345,33.544,33.591,@NA,@NA
