BERRY PETROLEUM  -CL A,,,,,,,,,
TICKER:,BRY,,,,,,,,
SIC:,1311,,,,,,,,
GICS:,10102020,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,3.313,7.832,10.526,11.321,17.349,2.651,1.081,@NA,@NA
Receivables,26.42,17.577,15.582,23.506,34.621,59.672,67.905,@NA,@NA
Bad Debt Reserve,@NA,@NA,@NA,@NA,@NA,@NA,0,@NA,@NA
Inventory,0,0,0,0,0,0,0,@NA,@NA
Total Current Assets,34.923,28.201,28.705,43.286,61.001,74.886,98.809,@NA,@NA
PP&E,201.643,203.413,228.475,295.151,338.706,552.984,1080.631,@NA,@NA
Intangibles,0,0,0,0,0,0,0,@NA,@NA
Deferred Charges,0,0,0,0,0,0,0,@NA,@NA
Equity Investments,0,0,0,0,0,0,0,@NA,@NA
Other Investments,0,0,0,0,0,0,0,@NA,@NA
Total Assets,238.359,232.526,258.073,340.377,412.104,635.051,1198.997,@NA,@NA
Debt - Current Portion ,0,0,0,0,0,0,16,@NA,@NA
Notes Payable,0,0,0,0,0,11.5,0,@NA,@NA
Accounts Payable,28.678,11.197,19.189,32.49,51.695,92.703,69.914,@NA,@NA
Taxes Payable,5.11,4.078,2.612,4.412,1.067,1.237,0,@NA,@NA
Total Current Liabilities,36.076,22.364,32.394,46.826,64.841,129.643,215.403,@NA,@NA
Total Long Term Debt,25,25,15,50,28,75,390,@NA,@NA
Deferred LT Taxes,32.059,32.009,33.866,38.559,47.963,55.804,103.515,@NA,@NA
Minority Interests,0,0,0,0,0,0,0,@NA,@NA
Total Liabilities,93.135,79.373,86.015,143.039,149.018,300.841,771.297,@NA,@NA
Preferred Stock - Total,0,0,0,0,0,0,0,@NA,@NA
Common Equity,145.224,153.153,172.058,197.338,263.086,334.21,427.7,@NA,@NA
Total Stockholders' Equity,145.224,153.153,172.058,197.338,263.086,334.21,427.7,@NA,@NA
Common Shares O/S,44.068,43.464,43.464,43.606,43.918,43.998,43.896,@NA,@NA
