W&T OFFSHORE INC,,,,,,,,,
TICKER:,WTI,,,,,,,,
SIC:,1311,,,,,,,,
GICS:,10102020,,,,,,,,
,Dec-00,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08
Cash,@NA,@NA,18.954,4.016,64.975,187.698,39.235,@NA,@NA
Receivables,@NA,@NA,43.964,63.291,71.714,83.623,239.899,@NA,@NA
Bad Debt Reserve,@NA,@NA,@NA,@NA,@NA,@NA,0,@NA,@NA
Inventory,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Current Assets,@NA,@NA,66.846,74.223,145.982,283.824,328.693,@NA,@NA
PP&E,@NA,@NA,263.316,459.622,604.213,769.282,2265.786,@NA,@NA
Intangibles,@NA,@NA,0,0,0,0,0,@NA,@NA
Deferred Charges,@NA,@NA,1.281,0.958,0.517,1.066,@CF,@NA,@NA
Equity Investments,@NA,@NA,0,0,0,0,0,@NA,@NA
Other Investments,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Assets,@NA,@NA,341.194,546.729,760.784,1064.52,2609.685,@NA,@NA
Debt - Current Portion ,@NA,@NA,0,0,0,0,271.38,@NA,@NA
Notes Payable,@NA,@NA,0,0,0,0,0,@NA,@NA
Accounts Payable,@NA,@NA,50.3,57.213,107.22,143.049,247.324,@NA,@NA
Taxes Payable,@NA,@NA,2.242,16.288,0,31.609,0,@NA,@NA
Total Current Liabilities,@NA,@NA,58.098,103.318,156.447,231.692,644.076,@NA,@NA
Total Long Term Debt,@NA,@NA,99.6,67,35,40,413.617,@NA,@NA
Deferred LT Taxes,@NA,@NA,50.166,51.904,92.093,134.395,232.835,@NA,@NA
Minority Interests,@NA,@NA,0,0,0,0,0,@NA,@NA
Total Liabilities,@NA,@NA,207.864,332.274,400.906,521.137,1566.768,@NA,@NA
Preferred Stock - Total,@NA,@NA,45.435,45.435,45.435,0,0,@NA,@NA
Common Equity,@NA,@NA,87.895,169.02,314.443,543.383,1042.917,@NA,@NA
Total Stockholders' Equity,@NA,@NA,133.33,214.455,359.878,543.383,1042.917,@NA,@NA
Common Shares O/S,@NA,@NA,50.696,52.517,52.612,65.98,75.9,@NA,@NA
