Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,53.85,54.55,53.55,54.5,10182100,54.5
11/09/2008,53.19,54.58,53.05,54.15,13704600,54.15
10/09/2008,54.07,54.1,53.31,53.81,12304500,53.43
9/09/2008,53.17,54.52,53.17,53.88,14731800,53.5
8/09/2008,52.72,53.53,52.3,53.38,11153400,53
5/09/2008,51.69,52.11,51.48,51.93,9142100,51.56
4/09/2008,51.74,52.28,51.2,51.71,12949500,51.34
3/09/2008,51.66,52.04,51.27,51.66,11224400,51.3
2/09/2008,52.22,52.96,51.91,51.96,12861900,51.59
29/08/2008,53.09,53.09,52.04,52.07,8920600,51.7
28/08/2008,53.25,53.57,52.9,53.12,10430500,52.74
27/08/2008,53.59,54.01,53.22,53.79,6797700,53.41
26/08/2008,53.57,53.89,53.15,53.52,4730700,53.14
25/08/2008,54.14,54.59,53.37,53.57,6164600,53.19
22/08/2008,53.62,54.51,53.41,54.37,7406300,53.99
21/08/2008,54.19,54.24,53.22,53.51,5835400,53.13
20/08/2008,54.55,54.74,53.9,54.35,5516600,53.97
19/08/2008,54.23,54.59,53.98,54.33,8282100,53.95
18/08/2008,55.07,55.36,53.94,54.33,10568800,53.95
15/08/2008,55.22,55.62,54.75,55.06,11946000,54.67
14/08/2008,55.05,55.84,54.75,55.02,7705900,54.63
13/08/2008,54.56,55.44,54.4,55.21,9518400,54.82
12/08/2008,55.19,55.82,54.12,54.79,8345400,54.4
11/08/2008,55.14,55.83,54.85,55.35,7091800,54.96
8/08/2008,54,55.53,53.71,55.41,9829100,55.02
7/08/2008,55.16,55.16,53.84,54.01,9964400,53.63
6/08/2008,54.87,55.48,54.6,55.36,10190000,54.97
5/08/2008,54.1,55,54.05,54.91,12741600,54.52
4/08/2008,53.12,54.08,52.9,53.9,11139500,53.52
1/08/2008,51.94,53.22,51.74,53.14,16578000,52.76
31/07/2008,51.5,51.85,51.22,51.5,10608400,51.14
30/07/2008,51.85,52,51,51.31,9743500,50.95
29/07/2008,51.21,51.81,51.12,51.57,8122400,51.21
28/07/2008,52,52.06,51.11,51.15,7020000,50.79
25/07/2008,52.25,52.25,51.53,52.06,8426800,51.69
24/07/2008,52.43,52.89,51.53,51.86,10670200,51.49
23/07/2008,51.52,52.55,51.02,52.5,12912100,52.13
