Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,87.04,89.5,87.03,88.68,10643400,88.68
11/09/2008,84.22,87.55,83.4,87.03,13031500,87.03
10/09/2008,82,85.69,81.73,84.61,15809400,84.61
9/09/2008,85.23,85.55,80.68,80.9,16508800,80.9
8/09/2008,88.27,89,84.9,86.01,13473800,86.01
5/09/2008,86.86,87.45,83.89,85.79,10966600,85.79
4/09/2008,88.6,89.98,85.75,86.74,10907500,86.74
3/09/2008,89.95,91.48,86.22,88.65,12478800,88.65
2/09/2008,92.08,92.08,90.08,90.46,11913200,90.46
29/08/2008,97.39,97.54,94.22,94.22,7504100,94.22
28/08/2008,99.05,99.24,96.12,96.68,6871500,96.47
27/08/2008,98.89,99.32,97.13,98.52,8770000,98.31
26/08/2008,97.22,98.81,96.85,98,5324400,97.79
25/08/2008,96.99,98.29,95.72,96.18,4987000,95.97
22/08/2008,98.1,99.05,96.71,97.26,5937400,97.05
21/08/2008,96.86,100,96.85,98.96,11120300,98.75
20/08/2008,93.9,96.1,92.92,95.62,8891200,95.41
19/08/2008,89,93.68,88.86,92.88,8571500,92.68
18/08/2008,92.05,93,89.28,89.37,8870800,89.18
15/08/2008,93.29,93.37,90.1,91.47,11430900,91.27
14/08/2008,94.84,95.5,92.22,94.05,7929400,93.85
13/08/2008,92.87,96.37,92.69,95.91,9984000,95.7
12/08/2008,93.5,94.99,92.02,92.65,10076600,92.45
11/08/2008,93.67,93.67,90.05,92.69,9763100,92.49
8/08/2008,95.11,95.41,91.02,92.28,11414300,92.08
7/08/2008,98,99.09,95.6,95.77,7660600,95.56
6/08/2008,96.18,97.91,94.75,97.45,8535200,97.24
5/08/2008,94.42,96.5,93.78,95.91,10407100,95.7
4/08/2008,99.93,100,93.82,94.41,11627300,94.2
1/08/2008,100.9,103.07,99.03,100.2,8657600,99.98
31/07/2008,100.69,103,100.14,101.6,11811200,101.38
30/07/2008,96.18,102.41,95.5,102.41,13150800,102.19
29/07/2008,97.86,98.13,95.54,96.23,10652000,96.02
28/07/2008,99,99.8,97.51,97.64,8029400,97.43
25/07/2008,99.96,100.96,97.72,98.96,9898500,98.75
24/07/2008,101,102.36,97.51,99.27,17255900,99.05
23/07/2008,103.92,104.1,99.08,100.54,16185400,100.32
22/07/2008,106.17,108,103.12,104.09,11349800,103.86
21/07/2008,101.49,106.08,101.2,106.08,12308100,105.85
18/07/2008,99.86,102.7,98.8,100.55,19957500,100.33
17/07/2008,97.77,99.89,94.56,96.78,19265400,96.57
