Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,36.44,36.67,35.92,36.07,6915700,36.07
11/09/2008,35.61,36.71,35.49,36.67,7945400,36.67
10/09/2008,35.33,36.05,35.3,35.75,7120700,35.75
9/09/2008,36.15,36.32,35.13,35.23,8508200,35.23
8/09/2008,35.5,36.09,34.73,36,9512300,36
5/09/2008,34.8,35.09,34.04,34.59,7470900,34.59
4/09/2008,35.81,35.9,34.86,34.94,8326600,34.94
3/09/2008,35.97,36.02,35.22,35.92,9278700,35.92
2/09/2008,36.66,37.24,35.98,36,8682000,36
29/08/2008,36.01,36.76,36.01,36.43,5373500,36.43
28/08/2008,35.65,36.6,35.45,36.52,7003600,36.52
27/08/2008,35.58,35.7,34.98,35.28,5362300,35.28
26/08/2008,35.62,35.75,35.13,35.58,4218100,35.58
25/08/2008,36.26,36.52,35.41,35.56,5168400,35.56
22/08/2008,36.32,36.73,36.17,36.47,4045600,36.47
21/08/2008,35.58,36.37,35.4,36.23,3927300,36.23
20/08/2008,36.48,36.48,35.58,35.83,5702700,35.83
19/08/2008,36.86,37,36.19,36.39,4291800,36.39
18/08/2008,37.27,37.5,36.82,37.12,4336700,37.12
15/08/2008,37.3,37.85,36.99,37.27,5181300,37.16
14/08/2008,36.66,37.5,36.25,37.16,5289000,37.05
13/08/2008,37.11,37.24,36.42,36.91,6360600,36.8
12/08/2008,36.52,37.5,36.21,37.1,6331800,36.99
11/08/2008,36.44,37.3,36.3,36.72,6630600,36.61
8/08/2008,35.33,36.75,35.05,36.55,6958500,36.44
7/08/2008,35.58,35.76,35.09,35.24,5054900,35.13
6/08/2008,35.61,35.9,35.4,35.81,6247900,35.7
5/08/2008,34.42,35.52,34.38,35.47,6503100,35.36
4/08/2008,34.01,34.61,33.53,34.34,6614400,34.24
1/08/2008,34.52,34.58,33.66,33.93,4866800,33.83
31/07/2008,34.47,34.84,33.88,34.34,6474200,34.24
30/07/2008,34.02,34.86,33.83,34.15,7337800,34.05
29/07/2008,33.33,33.9,33.15,33.84,5322000,33.74
28/07/2008,33.55,33.88,32.91,33.18,5713600,33.08
25/07/2008,33.89,34.29,33.41,33.56,5423100,33.46
24/07/2008,34.55,34.81,33.72,33.78,7364800,33.68
23/07/2008,34.5,35.31,34.17,34.68,7775800,34.57
22/07/2008,33.61,34.6,33.51,34.39,5735300,34.29
21/07/2008,34.25,34.43,33.5,33.84,4681900,33.74
18/07/2008,34.33,34.61,33.79,34.18,6855400,34.08
17/07/2008,33.66,34.54,32.78,34.31,7982400,34.21
16/07/2008,32.55,33.63,32.26,33.51,8283300,33.41
15/07/2008,32.28,32.84,31.69,32.33,9889900,32.23
14/07/2008,32.98,33.07,32.25,32.5,7469300,32.4
11/07/2008,32.89,33.21,32.24,32.72,9960900,32.62
10/07/2008,32.34,33.72,32.3,33.29,15635700,33.19
9/07/2008,31.99,32.33,31.79,32.09,7835500,31.99
8/07/2008,31.66,32.25,31.56,31.89,9939200,31.79
7/07/2008,31.46,31.95,31.34,31.7,10331300,31.6
3/07/2008,31.26,31.91,31.25,31.45,4882200,31.35
2/07/2008,32.47,32.47,31.34,31.39,12544100,31.29
1/07/2008,32.37,32.75,31.99,32.43,10090700,32.33
30/06/2008,32.96,33.05,32.41,32.51,9262000,32.41
27/06/2008,32.8,33.41,32.64,32.97,13174100,32.87
26/06/2008,33.82,33.88,32.85,32.88,8303100,32.78
25/06/2008,34.06,34.74,33.8,33.95,9152000,33.85
24/06/2008,34.64,34.64,33.75,33.99,7802000,33.89
23/06/2008,35.41,36.05,34.27,34.7,10536500,34.59
20/06/2008,35.36,35.6,34.81,35.07,9062800,34.96
19/06/2008,35.2,35.68,35.01,35.44,5580200,35.33
18/06/2008,35.5,35.7,34.95,35.13,6608900,35.02
17/06/2008,36.36,36.4,35.66,35.73,3961600,35.62
16/06/2008,36.32,36.4,35.75,36.25,4684500,36.14
13/06/2008,35.75,36.29,35.45,36.26,5118000,36.15
12/06/2008,35.56,36.07,35.2,35.45,4690400,35.34
11/06/2008,35.69,35.83,35.12,35.32,6441600,35.21
10/06/2008,35.41,36.04,35.4,35.7,5884600,35.59
9/06/2008,35.52,35.85,35.25,35.62,4757500,35.51
6/06/2008,36.33,36.7,35.5,35.53,5968800,35.42
5/06/2008,36.5,37.2,36.2,36.7,6126500,36.59
4/06/2008,36.17,36.72,36,36.34,4705500,36.23
3/06/2008,36.29,36.55,35.91,36.34,7881000,36.23
2/06/2008,35.9,36.25,35.5,36.11,5998400,36
30/05/2008,35.9,36.19,35.81,36.02,4219400,35.91
29/05/2008,35.45,36.2,35.4,36.03,6757400,35.92
28/05/2008,35.66,36.07,35.4,35.58,4763900,35.47
27/05/2008,35.17,35.86,35.03,35.64,4982300,35.53
23/05/2008,35.58,35.59,35.09,35.09,4015500,34.98
22/05/2008,35.39,35.84,35.14,35.68,4140400,35.57
21/05/2008,36.19,36.34,35.23,35.28,5153500,35.17
20/05/2008,36.18,36.72,35.79,36.08,5304000,35.97
19/05/2008,36.48,36.62,36.08,36.18,4411100,36.07
16/05/2008,36.55,36.7,35.8,36.37,4378400,36.17
15/05/2008,36.19,36.7,35.81,36.56,4501900,36.35
14/05/2008,35.55,36.38,35.34,36.1,4422800,35.9
13/05/2008,35.53,35.84,35.23,35.46,3674400,35.26
12/05/2008,35.01,35.54,35.01,35.5,4043400,35.3
9/05/2008,35.05,35.26,34.9,34.99,3078100,34.79
8/05/2008,35.4,35.49,35.07,35.17,4016600,34.97
7/05/2008,35.35,35.94,35.31,35.34,5601300,35.14
6/05/2008,35.33,35.45,34.84,35.39,5541100,35.19
5/05/2008,35.3,35.71,35,35.4,4631200,35.2
2/05/2008,35.69,35.9,35,35.28,6186200,35.08
1/05/2008,34.93,36,34.59,35.69,6238200,35.49
30/04/2008,35.72,35.75,34.7,34.85,5923600,34.65
29/04/2008,35.36,35.77,35.3,35.61,3055700,35.41
28/04/2008,35.5,35.8,35.32,35.48,4724800,35.28
25/04/2008,36,36.12,34.97,35.49,6665500,35.29
24/04/2008,35.66,36.2,35.48,35.82,4614300,35.62
23/04/2008,35.34,35.9,35.06,35.67,4482200,35.47
22/04/2008,35.61,35.72,34.97,35.27,4216100,35.07
21/04/2008,35.69,36.08,35.63,35.79,2653600,35.59
18/04/2008,36,36.43,35.78,35.96,4910800,35.76
17/04/2008,35.7,35.95,35.6,35.73,3641300,35.53
16/04/2008,35.72,36,35.57,35.78,4235000,35.58
15/04/2008,35.6,35.86,35.23,35.62,5871800,35.42
14/04/2008,36.08,36.32,35.13,35.44,6423200,35.24
11/04/2008,36.28,36.59,35.9,36.08,6750800,35.88
10/04/2008,36.84,36.89,36.4,36.62,6807200,36.41
9/04/2008,37.57,37.62,36.65,36.91,5655300,36.7
8/04/2008,38,38.17,37.39,37.62,6441700,37.41
7/04/2008,38.2,38.64,37.88,38.05,5094000,37.84
4/04/2008,38.17,38.41,37.6,37.9,4877000,37.69
3/04/2008,37.93,38.4,37.93,38.19,3888600,37.97
2/04/2008,38.8,38.83,37.68,38.14,5737500,37.93
1/04/2008,38.17,39,37.7,38.93,6197000,38.71
31/03/2008,37.43,38.26,37.24,38.09,6295000,37.88
28/03/2008,37.29,37.76,37.15,37.43,3882000,37.22
27/03/2008,38.12,38.35,37.16,37.26,5696200,37.05
26/03/2008,37.75,38.31,37.56,37.96,4524300,37.75
25/03/2008,38.66,38.75,37.64,38.01,5740700,37.8
24/03/2008,38.25,38.89,37.79,38.61,9976500,38.39
20/03/2008,36.42,36.94,36,36.78,10100800,36.57
19/03/2008,36.99,37.33,36.3,36.38,8394800,36.17
18/03/2008,35.77,36.87,35.77,36.85,6731000,36.64
17/03/2008,35.16,36.25,35.16,35.74,7109000,35.54
14/03/2008,36.72,36.72,35.48,35.96,6648000,35.76
13/03/2008,36.24,36.74,36,36.53,5407900,36.32
12/03/2008,36.37,37.21,36.26,36.46,5104300,36.25
