Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,7.89,7.95,7.67,7.84,126600,7.84
11/09/2008,8,8,7.62,7.86,115900,7.86
10/09/2008,7.81,7.87,7.71,7.82,120800,7.82
9/09/2008,8,8.26,7.78,7.85,113500,7.85
8/09/2008,7.7,8.04,7.56,7.98,236400,7.98
5/09/2008,7.49,7.68,7.4,7.58,176800,7.58
4/09/2008,7.84,7.84,7.59,7.59,115700,7.59
3/09/2008,8.06,8.06,7.83,7.89,239900,7.89
2/09/2008,8.7,8.7,8.05,8.07,207700,8.07
29/08/2008,8.84,8.92,8.39,8.42,146500,8.42
28/08/2008,8.69,9,8.53,8.89,181500,8.89
27/08/2008,8.84,8.88,8.5,8.73,191300,8.73
26/08/2008,8.98,8.99,8.55,8.87,120400,8.87
25/08/2008,8.91,9.15,8.63,8.99,202900,8.99
22/08/2008,9.41,9.46,9.17,9.22,140700,9.22
21/08/2008,9.74,9.74,9.34,9.34,153200,9.34
20/08/2008,9.62,10.04,9.52,9.84,153100,9.84
19/08/2008,10.5,10.52,9.65,9.67,194800,9.67
18/08/2008,10.65,10.68,10.46,10.55,130200,10.55
15/08/2008,10.72,10.76,10.44,10.57,173200,10.57
14/08/2008,10.6,10.69,10.25,10.6,147800,10.6
13/08/2008,10.6,10.84,10.51,10.63,189000,10.63
12/08/2008,10.69,10.99,10.6,10.61,196800,10.61
11/08/2008,10.78,10.9,10.56,10.68,161100,10.68
8/08/2008,10.93,11.1,10.12,10.93,354200,10.93
7/08/2008,11.32,11.45,10.06,10.99,830600,10.99
6/08/2008,12.88,13.46,12.62,13.39,112500,13.39
5/08/2008,12.48,12.89,12.24,12.83,174700,12.83
4/08/2008,12.78,12.78,12.18,12.38,131500,12.38
1/08/2008,12.78,12.83,12.42,12.76,84500,12.76
31/07/2008,12.9,13.02,12.58,12.83,65800,12.83
30/07/2008,13.15,13.15,12.86,13.04,65700,13.04
29/07/2008,12.51,13.2,12.39,12.99,160600,12.99
28/07/2008,12.26,12.44,12.11,12.41,119000,12.41
25/07/2008,12.86,12.96,12.24,12.34,193900,12.34
24/07/2008,12.64,12.74,12.2,12.68,199200,12.68
23/07/2008,12.9,12.97,12.57,12.7,169200,12.7
22/07/2008,12.31,13,12.31,12.93,120400,12.93
21/07/2008,12.51,12.69,12.42,12.64,41200,12.64
18/07/2008,12.4,12.86,12.22,12.58,83100,12.58
17/07/2008,12.44,12.69,12.26,12.36,86400,12.36
16/07/2008,12.28,12.42,12.07,12.29,161600,12.29
15/07/2008,12.28,12.5,12.09,12.25,123200,12.25
14/07/2008,12.71,12.85,12.25,12.4,101500,12.4
11/07/2008,12.6,12.71,12.15,12.51,209700,12.51
10/07/2008,12.58,12.87,12.58,12.75,195300,12.75
9/07/2008,13.18,13.18,12.57,12.57,139900,12.57
8/07/2008,12.77,13.25,12.6,13.22,126100,13.22
7/07/2008,13.92,13.92,12.61,12.78,102900,12.78
3/07/2008,12.85,13.01,12.79,12.87,55500,12.87
2/07/2008,13.03,13.15,12.66,12.91,133000,12.91
1/07/2008,13.51,13.51,12.9,13.07,134100,13.07
30/06/2008,13.99,14.42,13.68,13.68,152100,13.68
27/06/2008,13.85,13.95,13.13,13.46,504100,13.46
26/06/2008,13.98,13.98,13.13,13.84,339600,13.84
25/06/2008,14.07,14.26,13.97,14.17,118800,13.75
24/06/2008,14.23,14.23,13.93,14.02,124700,13.6
23/06/2008,14.02,14.32,13.7,13.96,133700,13.55
20/06/2008,13.67,14.15,13.61,14.02,247900,13.6
19/06/2008,14.55,14.7,13.43,13.74,136000,13.33
18/06/2008,13.62,15.65,13.46,14.55,898500,14.12
17/06/2008,12.93,13.7,12.89,13.56,152600,13.16
16/06/2008,12.82,13.13,12.5,12.93,149800,12.55
13/06/2008,12.16,13.1,12.16,13.02,358400,12.63
12/06/2008,11.91,12.21,11.91,12.15,227200,11.79
11/06/2008,12.23,12.35,11.89,11.9,149300,11.55
10/06/2008,12.18,12.38,12.11,12.32,93300,11.95
9/06/2008,12.35,12.5,12.06,12.32,102000,11.95
6/06/2008,12.89,12.89,12.23,12.23,70500,11.87
5/06/2008,12.63,13,12.63,12.95,196800,12.57
4/06/2008,12.47,12.86,12.4,12.73,125800,12.35
3/06/2008,12.32,12.85,12.32,12.5,99100,12.13
2/06/2008,12.26,12.5,12.26,12.32,368400,11.95
30/05/2008,12.45,12.64,12.38,12.45,234500,12.08
29/05/2008,12.51,12.92,12.44,12.47,85500,12.1
28/05/2008,12.66,12.71,12.34,12.56,65700,12.19
27/05/2008,12.44,13,12.44,12.73,77800,12.35
23/05/2008,12.68,12.97,12.43,12.47,113600,12.1
22/05/2008,12.18,13.23,12.16,12.7,99900,12.32
21/05/2008,12.54,12.74,12.13,12.17,117700,11.81
20/05/2008,12.71,12.71,12.47,12.53,105600,12.16
19/05/2008,13.31,13.5,12.75,12.78,132700,12.4
16/05/2008,12.83,13.5,12.74,13.42,121500,13.02
15/05/2008,12.65,12.79,12.51,12.78,151000,12.4
14/05/2008,12.72,12.72,12.59,12.69,104800,12.31
13/05/2008,12.32,12.77,12.27,12.72,125000,12.34
12/05/2008,12.47,12.65,12.27,12.33,173700,11.96
9/05/2008,12.44,12.6,12.35,12.4,101300,12.03
8/05/2008,12.6,12.63,12.35,12.48,141900,12.11
7/05/2008,12.94,13.04,12.56,12.6,145100,12.23
6/05/2008,12.53,12.96,12.43,12.87,157800,12.49
5/05/2008,12.89,12.89,12.57,12.63,107600,12.26
2/05/2008,13,13.01,12.71,12.82,128600,12.44
1/05/2008,13.2,13.24,12.85,12.98,155000,12.6
30/04/2008,14.09,14.09,13.18,13.24,266200,12.85
29/04/2008,13.92,14.09,13.72,13.96,142800,13.55
28/04/2008,13.56,14.1,13.52,14.06,142100,13.64
25/04/2008,13.96,13.97,13.2,13.64,83700,13.24
24/04/2008,13.44,14,13.21,13.88,105000,13.47
23/04/2008,13.19,13.44,12.92,13.42,86500,13.02
22/04/2008,13.21,13.33,12.97,13.29,164200,12.9
21/04/2008,13.46,13.58,13.21,13.28,86800,12.89
18/04/2008,13.58,14.06,13.53,13.55,166200,13.15
17/04/2008,13.34,13.51,13.27,13.4,65200,13
16/04/2008,13.51,13.61,13.26,13.42,114100,13.02
15/04/2008,13.65,13.65,13.36,13.4,65200,13
14/04/2008,13.5,13.67,13.13,13.42,86600,13.02
11/04/2008,13.46,13.68,13.26,13.36,83400,12.96
10/04/2008,13.81,14.68,13.58,13.59,246400,13.19
9/04/2008,14.38,14.38,13.58,13.81,163900,13.4
8/04/2008,14.7,14.97,14.02,14.23,175400,13.81
7/04/2008,13.83,14.64,13.83,14.23,242900,13.81
4/04/2008,13.34,13.8,13.01,13.77,154600,13.36
3/04/2008,12.63,13.44,12.63,13.3,261500,12.91
2/04/2008,12.5,13.07,12.4,12.77,230800,12.39
1/04/2008,12.78,12.8,12.26,12.64,348500,12.27
31/03/2008,13.37,13.37,12.92,13.03,148800,12.64
28/03/2008,14.08,14.08,13.2,13.35,147800,12.95
27/03/2008,14.09,14.24,13.76,13.93,109200,13.52
26/03/2008,14.24,14.31,13.95,14.3,118600,13.47
25/03/2008,14.16,14.2,13.95,14.2,111900,13.37
24/03/2008,14.03,14.17,13.9,14.17,107900,13.35
20/03/2008,14.16,14.19,13.97,14,350500,13.19
19/03/2008,14.47,14.5,13.87,13.95,155400,13.14
18/03/2008,14.31,14.54,13.94,14.5,210000,13.66
17/03/2008,14.31,14.31,13.81,13.9,142800,13.09
14/03/2008,14.74,14.9,14.39,14.45,123300,13.61
13/03/2008,14.97,15,14.37,14.59,403600,13.74
12/03/2008,14.85,15.2,14.37,14.91,283600,14.04
11/03/2008,14.95,15.19,14.34,14.8,452900,13.94
10/03/2008,15.33,15.69,14.27,14.71,835700,13.85
7/03/2008,16.19,17.06,12,15.38,2873100,14.49
6/03/2008,23.49,24,23.07,23.11,140800,21.77
5/03/2008,23.87,24.19,23.46,23.65,134300,22.27
4/03/2008,23.35,24,23.35,23.99,132100,22.6
3/03/2008,23.43,23.63,22.89,23.63,193900,22.26
29/02/2008,23.9,24.25,23.45,23.57,186700,22.2
28/02/2008,23.25,24.52,22.89,24.13,187100,22.73
27/02/2008,26.27,26.27,23.06,23.35,229200,21.99
26/02/2008,24.4,24.94,24.19,24.78,129600,23.34
25/02/2008,24.46,24.9,24.31,24.79,258900,23.35
22/02/2008,23.56,24.43,23.55,24.36,163500,22.94
21/02/2008,24.59,25.05,23.6,23.7,176900,22.32
20/02/2008,23.95,24.48,23.28,24.47,218900,23.05
19/02/2008,24.51,24.87,23.93,24.07,109700,22.67
15/02/2008,23.6,24.43,23.19,24.33,135400,22.92
14/02/2008,23.85,24.4,23.3,23.68,147100,22.3
13/02/2008,22.99,23.97,22.99,23.96,194000,22.57
12/02/2008,23.1,23.48,22.64,22.93,384700,21.6
11/02/2008,22.77,23.32,22.58,23.04,165200,21.7
8/02/2008,22.8,23.36,22.65,22.8,156000,21.47
7/02/2008,22.09,22.93,22.05,22.93,170700,21.6
6/02/2008,22.11,22.37,21.7,22.14,294200,20.85
5/02/2008,21.18,22.04,21.11,22,155500,20.72
4/02/2008,21.98,22.09,21.47,21.7,183100,20.44
1/02/2008,22.47,22.47,19.35,22.1,2626900,20.82
31/01/2008,22.11,22.54,21.63,22.43,127100,21.13
30/01/2008,22.61,22.61,21.68,22.04,155700,20.76
29/01/2008,23.2,23.24,22.57,22.73,62400,21.41
28/01/2008,22.91,23.05,22.78,23.03,78700,21.69
25/01/2008,23.47,23.69,22.76,22.92,122500,21.59
24/01/2008,22.98,23.33,22.92,22.99,157000,21.65
23/01/2008,21.17,23.04,20.04,22.86,232300,21.53
22/01/2008,22,22.71,21.55,21.63,152000,20.37
18/01/2008,22.42,23.87,22.42,22.74,176100,21.42
17/01/2008,22.42,23.21,22.07,22.34,171400,21.04
16/01/2008,21.91,22.65,21.7,22.31,175500,21.01
15/01/2008,22.4,22.49,21.65,22,226900,20.72
14/01/2008,22.76,22.77,22.46,22.57,127000,21.26
11/01/2008,22.35,23,22.25,22.55,333000,21.24
10/01/2008,21.74,22.64,21.74,22.5,366700,21.19
9/01/2008,21.69,21.69,20.54,21.24,356600,20.01
8/01/2008,23.67,23.83,21.59,21.81,313800,20.54
7/01/2008,23.3,23.7,23.14,23.52,231400,22.15
4/01/2008,24.14,24.3,22.42,23.14,484300,21.79
3/01/2008,25,25.13,24.24,24.54,576700,23.11
2/01/2008,25.25,25.48,24.98,25.25,175800,23.78
31/12/2007,25.37,25.46,24.81,25.31,105300,23.84
28/12/2007,25.25,25.59,25.17,25.59,128200,24.1
27/12/2007,25.35,25.35,24.78,25.02,86600,23.57
26/12/2007,25.6,25.62,25.38,25.62,91300,23.73
24/12/2007,25.1,25.55,25.1,25.52,50500,23.64
21/12/2007,25.2,25.32,24.79,25.1,337900,23.25
20/12/2007,24.85,24.85,24.45,24.85,66800,23.02
19/12/2007,24.05,24.64,23.9,24.57,150200,22.76
18/12/2007,24.16,24.41,23.91,24.17,158000,22.39
17/12/2007,24.2,24.31,24,24.01,111000,22.24
14/12/2007,24.81,25.27,23.92,24.21,129600,22.43
13/12/2007,24.77,25.75,24.77,25.07,199500,23.23
12/12/2007,25.46,25.46,24.75,24.96,104300,23.12
11/12/2007,26.02,26.16,24.74,24.83,287900,23
10/12/2007,26.79,26.8,25.91,25.98,138200,24.07
7/12/2007,27.04,27.04,26.49,26.77,105600,24.8
