Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,51.36,53.3,51.32,53.02,1555800,53.02
11/09/2008,49.49,51.88,49.41,51.85,1995400,51.85
10/09/2008,52,52,49.52,49.7,2219200,49.7
9/09/2008,52.49,52.7,51.39,51.56,1679500,51.56
8/09/2008,52.9,53.18,51.16,52.24,1851800,52.24
5/09/2008,51.41,52.26,50.93,51.75,929300,51.75
4/09/2008,52.33,52.33,51.32,51.73,1542800,51.73
3/09/2008,53.33,53.51,52.5,52.88,640300,52.88
2/09/2008,53.38,54.5,52.7,52.94,746400,52.94
29/08/2008,53.12,53.54,52.34,52.59,625600,52.59
28/08/2008,52.18,53.42,51.97,53.22,817500,53.22
27/08/2008,51.62,52.09,51.39,51.97,1336800,51.97
26/08/2008,51.01,51.9,51.01,51.81,1162700,51.81
25/08/2008,51.92,52.03,50.92,51.25,1240600,51.25
22/08/2008,51.18,52.34,51.18,52.28,844800,52.28
21/08/2008,50.79,51.04,49.85,50.77,1165600,50.77
20/08/2008,51.89,52.22,51.2,51.35,2108500,51.35
19/08/2008,52.83,52.83,51.35,52,1483700,52
18/08/2008,54.49,54.49,52.94,53.21,1072700,53.21
15/08/2008,53.17,54.05,52.87,53.68,781400,53.68
14/08/2008,52.25,53.53,51.82,53.17,626000,53.17
13/08/2008,53.13,53.21,51.62,52.84,921500,52.84
12/08/2008,52.9,53.47,52.68,53.21,767600,53.21
11/08/2008,52.7,53.33,52.15,53.2,1311100,53.2
8/08/2008,49.92,52.72,49.84,52.7,1334800,52.7
7/08/2008,50.62,50.89,49.93,50,1197000,50
6/08/2008,50.92,51.3,50.27,51.25,803000,51.01
5/08/2008,50.01,51.17,49.59,51.17,1226100,50.93
4/08/2008,49.58,50.03,49.44,49.73,1086300,49.5
1/08/2008,49.74,49.92,48.76,49.74,1672800,49.51
31/07/2008,49.18,50.61,48.52,49.69,2684500,49.46
30/07/2008,49,50.19,48.59,49.2,1487900,48.97
29/07/2008,47.51,48.75,47.4,48.64,927100,48.41
28/07/2008,48.31,48.31,47.44,47.44,946300,47.22
25/07/2008,48.1,48.75,47.88,48.25,983700,48.02
24/07/2008,49.51,49.6,47.64,47.71,1319500,47.49
23/07/2008,48.23,49.17,47.36,49.17,2258600,48.94
22/07/2008,46.07,48.29,45.85,48.23,2002400,48
21/07/2008,46.79,46.87,45.85,46.45,2311100,46.23
18/07/2008,46.74,47.24,46.24,46.79,2058200,46.57
17/07/2008,47.6,48.03,45.83,46.64,2764000,46.42
16/07/2008,45.61,47.4,44.53,47.27,3976200,47.05
15/07/2008,46.76,47.38,45.36,45.47,5084200,45.26
14/07/2008,47.76,47.9,46.83,47.23,3955300,47.01
11/07/2008,50.6,50.65,46.73,47.16,5257800,46.94
10/07/2008,50.77,51.69,50.5,51.46,2698600,51.22
9/07/2008,51.27,51.86,50.82,51,2723600,50.76
8/07/2008,48.09,51.43,48,51.27,3429900,51.03
7/07/2008,48.75,49.5,47.71,48.16,2089800,47.93
3/07/2008,47.94,48.93,47.87,48.64,981700,48.41
2/07/2008,49.52,49.58,47.82,47.85,2549200,47.63
1/07/2008,47.75,49.66,47.7,49.5,3949400,49.27
30/06/2008,47.98,48.38,47.49,47.96,3045200,47.74
27/06/2008,47.99,48.23,47.69,47.81,2480000,47.59
26/06/2008,47.82,49.24,47.76,47.84,2912400,47.62
25/06/2008,49.03,49.28,47.26,48.02,4626900,47.8
24/06/2008,49.77,50.11,49.02,49.36,2484700,49.13
23/06/2008,50.41,50.62,49.91,49.99,1574300,49.76
20/06/2008,51.31,51.5,50.09,50.3,3240300,50.06
19/06/2008,51.65,51.88,51.25,51.6,2001500,51.36
18/06/2008,51.8,52.54,51.46,51.65,2087000,51.41
17/06/2008,53.82,54.01,51.75,52.02,2641000,51.78
16/06/2008,53.95,54.48,53.81,53.98,1654200,53.73
13/06/2008,54.26,54.7,53.75,54.2,2187000,53.95
