Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,51.86,54.25,51.84,53.4,1440600,53.4
11/09/2008,51.42,53.45,48.28,51.64,1684800,51.64
10/09/2008,48.29,52.22,48.18,51.88,1616300,51.88
9/09/2008,54,54.15,47.5,47.75,2513600,47.75
8/09/2008,59.31,59.89,54.65,55.01,1402700,55.01
5/09/2008,56,57.75,53.69,57.32,1319300,57.32
4/09/2008,57.03,58.79,54.28,55.92,1982300,55.92
3/09/2008,57.5,60.31,55.07,57.1,2148000,57.1
2/09/2008,62.45,63.07,57.85,58.87,1544400,58.87
29/08/2008,67.16,67.4,64.4,64.94,671800,64.94
28/08/2008,67.07,68.37,62.1,65.83,1274600,65.83
27/08/2008,67.79,68.64,65.75,66.61,992900,66.61
26/08/2008,63.25,67.99,63.25,66,1237900,66
25/08/2008,63,64.75,61.27,62.82,1106600,62.82
22/08/2008,63.85,64.45,60.88,63.1,721700,63.1
21/08/2008,64.98,66.28,62.37,65.02,1418900,65.02
20/08/2008,60.67,64.5,59.52,63.01,1616700,63.01
19/08/2008,54.9,60.23,54.9,60.23,1285100,60.23
18/08/2008,57.86,58.37,54.34,54.87,881400,54.87
15/08/2008,59.5,60,55.45,56.92,1305400,56.92
14/08/2008,57.45,59.68,56.26,58.51,1303500,58.51
13/08/2008,54.24,59.17,53.51,57.79,1397400,57.79
12/08/2008,53.61,55.38,53,54.09,1223700,54.09
11/08/2008,54.84,55.75,49.75,52.31,1288800,52.31
8/08/2008,55.18,56.07,53.14,54.63,1014900,54.63
7/08/2008,58.18,60.36,56.12,56.43,1612200,56.43
6/08/2008,54.14,58.32,54.14,57.93,1330900,57.93
5/08/2008,55.37,56.36,52.69,54.35,2331100,54.35
4/08/2008,61.06,61.38,54.82,55.5,1542200,55.5
1/08/2008,60.55,64.26,59.84,60.45,1180000,60.45
31/07/2008,63.77,64.2,60.47,61.01,1282200,61.01
30/07/2008,59.64,65.74,59.55,64.83,1524200,64.83
29/07/2008,59.85,60.91,56.97,60.6,2024100,60.6
28/07/2008,60.99,62.75,59.33,61.6,1678700,61.6
25/07/2008,59.67,62.49,58.52,60.3,1500900,60.3
24/07/2008,60.74,63.54,57.26,60.14,3595100,60.14
23/07/2008,63.58,64.8,58,60.26,3202000,60.26
22/07/2008,70.43,70.93,64.01,64.83,1483300,64.83
21/07/2008,69.29,72.69,66.85,72.56,1125300,72.56
18/07/2008,68.63,71.79,67.05,69.1,2004100,69.1
17/07/2008,79.78,80.66,66.21,68.31,3196100,68.31
16/07/2008,82.08,83.07,78.35,80.48,1159500,80.48
15/07/2008,86.69,86.7,81.25,81.57,1460500,81.57
14/07/2008,86.74,87.94,84.7,86.7,1486400,86.7
11/07/2008,83.5,85.47,80.78,85.43,1755700,85.43
10/07/2008,74.54,82.85,74.54,82.42,1860000,82.42
9/07/2008,76.5,79.4,74.4,74.48,1291100,74.48
8/07/2008,75.06,76.1,70.33,75.72,1801800,75.72
7/07/2008,78.29,80.52,74.65,76.7,1835900,76.7
3/07/2008,81.6,82.12,75.42,78.76,1743800,78.76
2/07/2008,87.5,90.61,82.59,83.53,3115600,83.53
