Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,43.35,43.86,42.4,42.67,838600,42.67
11/09/2008,43.41,44.36,43.23,43.57,751500,43.57
10/09/2008,44.28,44.77,43.73,44.24,1470000,44.24
9/09/2008,45.51,45.51,44.17,44.17,1115200,44.17
8/09/2008,45,45.47,44.01,45.3,1052200,45.3
5/09/2008,45.4,45.5,43.5,44.73,1306400,44.73
4/09/2008,45.71,46.18,45.23,45.76,662100,45.76
3/09/2008,46.47,46.5,45.35,46.08,999200,46.08
2/09/2008,47.33,48.44,46.61,46.78,1160400,46.78
29/08/2008,46.5,47.39,46.27,47.1,687300,47.1
28/08/2008,46.66,47.17,45.6,46.88,739700,46.88
27/08/2008,45.84,46.58,45.84,46.5,675000,46.5
26/08/2008,46.82,46.99,45.65,46.08,1561300,46.08
25/08/2008,48.6,48.75,46.79,47.05,1071400,47.05
22/08/2008,47.5,48.8,47.2,48.58,1828500,48.38
21/08/2008,45.43,46.91,44.8,46.64,1685100,46.45
20/08/2008,44.65,45.57,44.11,45.41,754300,45.22
19/08/2008,45.73,46.4,44.54,44.81,1272600,44.63
18/08/2008,46.38,47,45.39,46.05,764900,45.86
15/08/2008,46.54,46.57,44.96,46.08,737700,45.89
14/08/2008,46.36,46.48,45.76,46.39,579400,46.2
13/08/2008,46.97,47.29,45.85,46.42,848100,46.23
12/08/2008,45.66,46.99,45.55,46.75,1476900,46.56
11/08/2008,45.63,46.05,45.47,45.64,906100,45.45
8/08/2008,44.98,45.94,44.5,45.47,697200,45.28
7/08/2008,46.12,46.13,43.71,44.77,1563400,44.59
6/08/2008,44.79,46,43.6,46,2993500,45.81
5/08/2008,43.8,44.72,43.37,43.41,1414600,43.23
4/08/2008,43.1,44.37,43,43.83,1155200,43.65
1/08/2008,43.23,43.57,42.62,43.03,638200,42.85
31/07/2008,43.23,43.93,42.76,43.19,811300,43.01
30/07/2008,43.84,44.75,43.18,43.57,848100,43.39
29/07/2008,43.11,44.17,42.81,43.7,692900,43.52
28/07/2008,43.23,43.77,42.84,42.95,563000,42.77
25/07/2008,43.02,43.25,42.75,42.96,571200,42.78
24/07/2008,42.9,43.31,42.78,43,915100,42.82
23/07/2008,43.45,44.41,42.78,43.13,1269400,42.95
22/07/2008,41.76,44,41,43.78,2012300,43.6
21/07/2008,40.6,41.97,40.46,41.55,1449100,41.38
18/07/2008,41.22,41.29,39.94,40.05,894000,39.89
17/07/2008,39.32,41.07,39.32,41.07,1302500,40.9
16/07/2008,38.35,39.8,38.07,39.56,981100,39.4
15/07/2008,37.5,38.5,37.31,38.14,694100,37.98
14/07/2008,38.18,38.23,37.36,37.69,684600,37.53
11/07/2008,37.4,38.38,37.2,37.79,831900,37.63
10/07/2008,38.4,38.4,37,37.75,1044800,37.59
9/07/2008,38.72,38.8,37.64,38.24,1037700,38.08
8/07/2008,37.45,37.96,37.27,37.73,1400600,37.57
7/07/2008,38.02,38.1,36.94,37.32,902500,37.17
3/07/2008,38.35,38.75,37.87,38.21,383500,38.05
2/07/2008,39.01,39.16,37.75,37.94,872800,37.78
1/07/2008,38.34,39.48,38.25,38.69,1127400,38.53
30/06/2008,39,39.2,37.51,38.75,1180700,38.59
27/06/2008,38.68,39.25,38.06,38.63,2077900,38.47
26/06/2008,38.55,39.54,38.29,38.67,1298700,38.51
25/06/2008,38.24,38.5,37.55,38.06,814600,37.9
24/06/2008,37.41,39.54,36.84,37.94,1164200,37.78
23/06/2008,36.6,37.68,36.6,37.34,785300,37.19
20/06/2008,36.5,37.51,36.16,36.6,1024100,36.45
19/06/2008,37.4,37.91,37.06,37.48,700700,37.33
18/06/2008,38.4,38.42,36.84,37.31,1276200,37.16
17/06/2008,37.63,38.57,37.03,38.47,1103200,38.31
16/06/2008,37.88,37.96,36.66,37.76,1160300,37.6
13/06/2008,36.16,37.97,35.7,37.78,1955800,37.62
12/06/2008,38.27,38.42,36.09,36.27,1429300,36.12
11/06/2008,38.34,38.79,37.8,37.99,922500,37.83
10/06/2008,38.33,38.74,38.08,38.6,768700,38.44
9/06/2008,39.5,39.58,38.29,38.33,1104700,38.17
6/06/2008,39.9,40.27,38.17,39.43,604100,39.27
5/06/2008,39,39.99,38.85,39.9,969100,39.74
4/06/2008,38.62,38.97,38.35,38.84,718400,38.68
3/06/2008,39.38,39.38,38.29,39.09,780300,38.93
2/06/2008,38.96,39.65,38.3,38.95,901400,38.79
30/05/2008,38.9,39.25,38.23,38.54,842600,38.38
29/05/2008,39.26,39.39,38.54,38.85,1028700,38.69
28/05/2008,39.4,39.7,38.51,39.17,1248600,39.01
27/05/2008,39.53,39.84,38.56,39.09,1302600,38.73
23/05/2008,39,39.5,38.34,39.07,1159300,38.71
22/05/2008,39.66,40.13,37.64,39.06,4290500,38.7
21/05/2008,39.46,40.98,38.66,39.27,3971600,38.91
20/05/2008,39.66,40.69,38.08,39,3792700,38.64
19/05/2008,40.98,41.51,40.05,40.17,2812000,39.8
16/05/2008,43.97,44.71,41.81,41.93,1126600,41.54
15/05/2008,43.41,44.55,43.4,44.28,845500,43.87
14/05/2008,43.77,43.91,43.04,43.24,1070100,42.84
13/05/2008,43.73,44.74,42.88,43.56,816500,43.16
12/05/2008,43.45,43.63,41.23,43.4,1315800,43
9/05/2008,43.28,43.82,42.84,43.36,630100,42.96
8/05/2008,44,44.84,43.89,44.24,1086100,43.83
7/05/2008,44,44.93,43.82,43.89,1475200,43.49
6/05/2008,43.73,44.21,43.03,43.85,976400,43.45
5/05/2008,42.69,43.76,41.1,43.76,1906500,43.36
2/05/2008,43.5,43.77,40.46,41.9,1938100,41.51
1/05/2008,44.45,44.45,40.52,42.97,3659000,42.57
30/04/2008,43.1,45.23,42.75,43.78,2270600,43.38
29/04/2008,41.54,43.37,41.4,42.42,1698600,42.03
28/04/2008,40.03,41.75,40,41.36,2026600,40.98
25/04/2008,43.99,43.99,38.68,40.08,4739700,39.71
24/04/2008,44.1,44.54,43.08,44.02,788400,43.61
23/04/2008,42.33,45.39,42.33,44.19,1697500,43.78
22/04/2008,47.34,47.34,41.22,43.57,4883900,43.17
21/04/2008,48.48,48.95,46.92,47.3,742700,46.86
18/04/2008,49.56,50.09,48.74,49.01,1049000,48.56
17/04/2008,47.65,49.47,47.65,49.05,1145200,48.6
16/04/2008,46.34,47.91,46.34,47.56,1160500,47.12
15/04/2008,46.77,47.47,46.1,46.31,999400,45.88
14/04/2008,46.14,47.5,46.14,46.75,1343700,46.32
11/04/2008,47.05,47.24,44.33,45.94,3741800,45.52
10/04/2008,48.29,49.6,47.94,48.6,800800,48.15
9/04/2008,50.38,50.38,48.24,48.87,792300,48.42
8/04/2008,49.77,50.45,48.92,50,613100,49.54
7/04/2008,50.29,50.71,49.35,49.9,768000,49.44
4/04/2008,49.6,51.09,49.4,50,1208300,49.54
3/04/2008,48.94,49.5,48.59,49.28,1259100,48.83
2/04/2008,48.92,49.25,48.39,49.02,1219700,48.57
1/04/2008,47.45,49.5,47.26,48.88,1673700,48.43
31/03/2008,46.25,47.79,45.51,47.5,1249900,47.06
28/03/2008,46.94,47.9,45.36,46.1,3244500,45.68
27/03/2008,49.5,49.89,48.59,48.64,998200,48.19
26/03/2008,48.55,49.69,47.84,49.26,1564600,48.81
25/03/2008,48.2,49.1,47.67,48.57,2348200,48.12
24/03/2008,48,48.49,47.44,47.96,1873000,47.52
20/03/2008,47.49,48,46.62,47.99,1324900,47.55
19/03/2008,46.88,47.45,46.72,47.15,865300,46.72
18/03/2008,46.25,46.9,45.87,46.58,1003100,46.15
17/03/2008,46.29,46.4,44.74,45.17,777600,44.75
14/03/2008,47.14,47.34,45.91,46.72,450600,46.29
13/03/2008,46.49,47.21,46.49,46.89,1127100,46.46
12/03/2008,44.91,47.32,44.31,47.05,1697400,46.62
11/03/2008,45.25,45.71,43.76,44.5,1071700,44.09
10/03/2008,46.7,46.7,44.78,44.9,884300,44.49
7/03/2008,44.28,46.68,44.28,46.58,1051900,46.15
6/03/2008,45.46,45.9,44.95,45.05,1015200,44.63
5/03/2008,44.17,46.05,44.07,46.05,1465000,45.63
4/03/2008,44.71,44.87,43.58,44.17,1247800,43.76
3/03/2008,42.24,44.65,41.85,44.5,1120300,44.09
29/02/2008,42.94,43.05,41.77,41.83,804600,41.44
28/02/2008,43.2,44.24,42.66,43.13,1192700,42.73
27/02/2008,44.5,45,43,43,2837500,42.6
26/02/2008,42.91,43.19,42.72,43,578300,42.41
25/02/2008,43,43.01,42.22,42.91,637800,42.32
22/02/2008,42,43,41.95,43,1008000,42.41
21/02/2008,41.75,42.46,41.75,42,645500,41.42
20/02/2008,40.76,41.96,40.5,41.83,1158600,41.25
19/02/2008,39.83,42.4,39.83,41.37,1719100,40.8
15/02/2008,39.16,39.7,39.05,39.46,739000,38.91
14/02/2008,39.58,39.77,39,39.12,409300,38.58
13/02/2008,39.95,40.03,39.38,39.48,338700,38.93
12/02/2008,40.34,40.39,39.73,40,221500,39.45
11/02/2008,40.4,40.5,39.8,40.19,237400,39.63
8/02/2008,39.95,41,39.85,40.59,248000,40.03
7/02/2008,39.6,40.23,39.3,40.05,249100,39.5
6/02/2008,40.72,40.97,39.71,39.92,304700,39.37
5/02/2008,40.95,41.13,40.27,40.8,399900,40.24
4/02/2008,40.82,41.39,40.32,41.28,545600,40.71
1/02/2008,39.6,40.63,39.45,40.42,693300,39.86
31/01/2008,39.25,40.07,39.15,39.61,506000,39.06
30/01/2008,39.65,39.94,38.92,39.36,543500,38.82
29/01/2008,40,40.35,39.57,39.65,479300,39.1
28/01/2008,39.43,40,39,40,424800,39.45
25/01/2008,40.21,40.87,38.69,39.35,917100,38.81
24/01/2008,38.3,40.19,38.3,39.74,784800,39.19
23/01/2008,38,38.64,37.55,38.27,620800,37.74
22/01/2008,38.14,39.34,37.65,38.28,1440300,37.75
18/01/2008,38.58,40.4,38.58,39.81,859600,39.26
17/01/2008,40.22,41.43,38.24,38.93,777200,38.39
16/01/2008,39.07,40.26,39.07,39.85,344500,39.3
15/01/2008,41.24,41.45,39.16,39.36,791600,38.82
14/01/2008,42.25,42.25,40.73,41.13,365900,40.56
11/01/2008,41.01,42.09,39.97,41.95,2171600,41.37
10/01/2008,39.25,40.31,39.02,39.53,402600,38.98
9/01/2008,39.41,40.27,39.25,39.75,1032600,39.2
8/01/2008,38.53,39.76,38.53,39.21,935300,38.67
