Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,20.29,20.82,20.29,20.73,1452600,20.73
11/09/2008,20.15,20.35,19.86,20.14,1251800,20.14
10/09/2008,20.62,20.92,20.62,20.82,1853900,20.82
9/09/2008,20.21,20.49,19.96,19.96,1120400,19.96
8/09/2008,20.42,20.43,20.16,20.38,1332700,20.38
5/09/2008,19.51,19.86,19.46,19.82,1229800,19.82
4/09/2008,19.97,20.19,19.68,19.76,1081100,19.76
3/09/2008,20.53,20.53,20.01,20.13,1288100,20.13
2/09/2008,20.38,20.77,20.38,20.65,1567000,20.65
29/08/2008,20.5,20.5,20.33,20.4,734900,20.4
28/08/2008,20.35,20.52,20.31,20.52,1357500,20.52
27/08/2008,20.46,20.56,20.42,20.49,1804000,20.49
26/08/2008,20.3,20.37,20.1,20.32,1462300,20.32
25/08/2008,20.44,20.44,20.17,20.19,2152400,20.19
22/08/2008,20.13,20.13,19.85,20.11,4913200,20.11
21/08/2008,20.3,20.3,19.86,19.91,6611600,19.91
20/08/2008,19.86,20.28,19.73,19.82,5557800,19.82
19/08/2008,19.84,19.84,19.53,19.6,2859000,19.6
18/08/2008,20.11,20.11,19.77,19.79,1323600,19.79
15/08/2008,20.15,20.32,19.96,20.18,2039600,20.18
14/08/2008,20.38,20.54,20.12,20.19,2320100,20.19
13/08/2008,20.37,20.83,20.17,20.28,1887700,20.28
12/08/2008,20.99,20.99,20.53,20.59,1560900,20.59
11/08/2008,21.13,21.25,20.89,21.18,1034900,21.18
8/08/2008,20.73,21.32,20.73,21.31,2355400,21.31
7/08/2008,21.28,21.36,20.6,20.91,3669200,20.91
6/08/2008,22.09,22.75,22.08,22.29,772500,22.29
5/08/2008,21.27,22.17,21.27,22.15,1112600,22.15
4/08/2008,20.96,21.17,20.85,20.91,578400,20.91
1/08/2008,21.3,21.41,20.98,21.13,566600,21.13
31/07/2008,21.21,21.66,21.17,21.32,701000,21.32
30/07/2008,21.21,21.45,21.12,21.23,736800,21.23
29/07/2008,21.6,21.6,21.09,21.39,936700,21.39
28/07/2008,20.76,21.13,20.76,21.04,792200,21.04
25/07/2008,20.4,20.51,20.16,20.34,1853600,20.34
24/07/2008,20.5,20.58,20.25,20.26,1393300,20.26
23/07/2008,20.33,20.6,20.31,20.46,1218800,20.46
22/07/2008,20.1,20.34,20.1,20.23,2532600,20.23
21/07/2008,20.05,20.37,20.03,20.15,1660400,20.15
18/07/2008,20.2,20.2,19.92,19.97,1055000,19.97
17/07/2008,20.46,20.46,20.17,20.31,1090300,20.31
16/07/2008,20.39,20.66,20.2,20.63,1311800,20.63
15/07/2008,20.76,21.02,20.55,20.57,2071700,20.57
14/07/2008,21.87,21.87,21,21.09,1177500,21.09
11/07/2008,21.9,21.9,21.37,21.47,812400,21.47
10/07/2008,21.99,22.25,21.99,22.2,797900,22.2
9/07/2008,21.88,22.35,21.73,21.92,889000,21.92
8/07/2008,21.57,21.8,21.47,21.74,1104000,21.74
7/07/2008,21.06,21.52,21.05,21.37,855600,21.37
3/07/2008,20.78,20.94,20.72,20.82,654500,20.82
2/07/2008,20.86,20.98,20.72,20.85,1123500,20.85
1/07/2008,20.59,20.99,20.52,20.82,1053600,20.82
30/06/2008,20.55,20.98,20.34,20.77,430200,20.77
27/06/2008,20.85,21.12,20.6,20.67,1060400,20.67
26/06/2008,21.45,21.45,20.85,20.86,593600,20.86
25/06/2008,21.21,21.66,21.12,21.48,791400,21.48
24/06/2008,20.54,21.22,20.54,20.94,986400,20.94
23/06/2008,20.83,20.92,20.66,20.82,587700,20.82
20/06/2008,20.94,21.24,20.73,20.87,801300,20.87
19/06/2008,21.04,21.35,20.98,21.26,886000,21.26
18/06/2008,21.44,21.44,20.93,21.16,572400,21.16
17/06/2008,21.14,21.67,21.14,21.45,518600,21.45
16/06/2008,21.29,21.34,21.11,21.2,535100,21.2
13/06/2008,21.05,21.34,20.98,21.28,746700,21.28
12/06/2008,20.96,21.28,20.79,21.18,1395700,21.18
11/06/2008,20.65,20.88,20.46,20.72,2108800,20.72
10/06/2008,21,21.28,20.86,21.17,1280100,21.17
9/06/2008,21.79,21.79,20.96,21.17,1192100,21.17
6/06/2008,22.07,22.13,21.79,21.79,876600,21.79
5/06/2008,21.84,22.28,21.75,22.24,1200600,22.24
4/06/2008,22.04,22.2,21.97,22.15,796000,22.15
3/06/2008,22.15,22.38,22,22.15,710300,22.15
2/06/2008,22.6,22.6,22.08,22.22,967400,22.22
30/05/2008,22.59,22.87,22.53,22.72,677200,22.72
29/05/2008,22.29,22.71,22.21,22.57,670200,22.57
28/05/2008,22.21,22.49,22.18,22.45,572200,22.45
27/05/2008,22.23,22.3,22,22.13,631000,22.13
23/05/2008,22.14,22.43,22.07,22.3,1032600,22.3
22/05/2008,22.22,22.43,22.22,22.37,470900,22.37
21/05/2008,22.31,22.49,22.1,22.16,646600,22.16
20/05/2008,22.62,22.74,22.27,22.31,1161500,22.31
19/05/2008,23.24,23.38,23.05,23.12,1155000,23.12
16/05/2008,23.31,23.44,23.29,23.37,975800,23.37
15/05/2008,23.09,23.59,23.05,23.47,1460000,23.47
14/05/2008,23.21,23.25,23,23.21,1130600,23.21
13/05/2008,22.99,24.65,22.91,23.27,1137600,23.27
12/05/2008,22.6,22.78,22.5,22.78,579600,22.78
9/05/2008,22.58,22.79,22.13,22.66,1512800,22.66
8/05/2008,22.56,22.74,22.41,22.59,890700,22.59
7/05/2008,22.94,22.97,22.6,22.61,2009600,22.61
6/05/2008,23.09,23.09,22.86,23.05,566600,23.05
5/05/2008,23.23,23.28,22.92,23.07,2372800,23.07
2/05/2008,22.9,23.16,22.89,23.16,1686200,23.16
1/05/2008,22.7,22.84,22.48,22.84,1217100,22.84
30/04/2008,22.45,22.77,22.43,22.57,1543000,22.57
29/04/2008,22.22,22.3,22.03,22.12,832000,22.12
28/04/2008,22.75,22.75,22.42,22.46,2016700,22.46
25/04/2008,22.79,22.95,22.46,22.6,1276000,22.6
24/04/2008,21.81,22.32,21.81,22.24,1832100,22.24
23/04/2008,21.77,22.12,21.63,22.08,1609600,22.08
22/04/2008,22.16,22.16,21.57,21.72,1284600,21.72
21/04/2008,22.05,22.16,21.97,22.12,717600,22.12
18/04/2008,22.02,22.12,21.94,22.05,785600,22.05
17/04/2008,22.31,22.43,21.95,21.99,2268100,21.99
16/04/2008,22.54,22.55,22.29,22.46,1669300,22.46
15/04/2008,22.18,22.28,22.12,22.2,1761600,22.2
14/04/2008,21.7,21.83,21.58,21.74,1098600,21.74
