Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,12.58,12.8,12.22,12.38,174300,12.38
11/09/2008,12.54,12.66,12.3,12.65,247400,12.65
10/09/2008,12.04,13.27,12.04,12.68,551200,12.68
9/09/2008,12.2,13,12.01,12.04,321000,12.04
8/09/2008,12.42,12.45,11.86,12.4,216800,12.4
5/09/2008,11.88,12.01,11.56,11.99,250400,11.99
4/09/2008,12.71,13.04,12.04,12.04,368000,12.04
3/09/2008,12.71,13.22,12.51,12.8,200700,12.8
2/09/2008,13.25,13.78,12.51,12.74,260900,12.74
29/08/2008,13.04,13.24,12.73,12.98,181200,12.98
28/08/2008,13.02,13.17,12.75,13.05,312500,13.05
27/08/2008,12.53,13,12.47,12.82,346800,12.82
26/08/2008,12.37,12.59,12.18,12.5,284900,12.39
25/08/2008,12.09,12.5,11.93,12.33,349500,12.22
22/08/2008,11.34,12.3,11.22,12.13,469800,12.02
21/08/2008,11.42,11.47,11.09,11.34,215100,11.24
20/08/2008,11.58,11.89,11.29,11.53,125600,11.43
19/08/2008,11.95,12.11,11.42,11.51,172500,11.41
18/08/2008,12.21,12.29,11.71,12.02,315300,11.91
15/08/2008,12.82,12.91,12,12.27,419000,12.16
14/08/2008,12.23,12.74,12.17,12.61,787100,12.5
13/08/2008,12.22,12.39,11.92,12.35,686100,12.24
12/08/2008,12.25,12.34,11.94,12.25,271100,12.14
11/08/2008,12.08,12.76,11.92,12.26,1737000,12.15
8/08/2008,11.88,12.43,11.73,12.06,455200,11.95
7/08/2008,12.08,12.13,11.56,11.71,322700,11.61
6/08/2008,12.62,12.65,11.94,12.24,208800,12.13
5/08/2008,11.55,12.5,11.55,12.44,1000600,12.33
4/08/2008,11.9,11.94,11.15,11.42,1549700,11.32
1/08/2008,11.72,12.15,11.43,11.92,287900,11.82
31/07/2008,11.85,12.37,11.69,11.8,287100,11.7
30/07/2008,11.8,12.3,11.78,12.08,847200,11.97
29/07/2008,11.17,11.85,11.17,11.72,780800,11.62
28/07/2008,10.87,11.35,10.87,11.16,320500,11.06
25/07/2008,9.68,11.31,9.07,11.14,1165400,11.04
24/07/2008,9.86,9.93,8.85,8.92,316100,8.84
23/07/2008,9.76,9.86,9.3,9.67,264100,9.58
22/07/2008,9.39,9.8,9.26,9.55,308300,9.47
21/07/2008,9.18,9.73,9.18,9.38,166200,9.3
18/07/2008,9.41,9.5,9.05,9.13,130600,9.05
17/07/2008,9.13,9.48,8.82,9.36,322100,9.28
16/07/2008,8.69,9.15,8.65,8.97,497700,8.89
15/07/2008,8.75,9.17,8.51,8.75,361600,8.67
14/07/2008,9.35,9.4,8.8,8.89,319000,8.81
11/07/2008,8.94,9.44,8.47,9.26,351400,9.18
10/07/2008,9.36,9.4,8.56,9,461500,8.92
9/07/2008,9.73,10.09,9.4,9.43,470300,9.35
8/07/2008,8.65,10.34,8.38,9.58,738500,9.5
7/07/2008,9.17,9.42,8.5,8.65,332000,8.57
3/07/2008,9.08,9.47,8.77,9.08,259000,9
2/07/2008,9.92,9.95,9.01,9.13,428700,9.05
1/07/2008,9.74,9.94,9.41,9.9,387500,9.81
30/06/2008,10.15,10.39,9.95,9.95,259900,9.86
27/06/2008,10.2,10.37,10,10.14,498000,10.05
26/06/2008,10.92,10.92,9.99,10.24,491600,10.15
25/06/2008,10.77,11.25,10.77,10.81,584700,10.71
24/06/2008,11.27,11.31,10.84,10.84,630900,10.74
23/06/2008,12.06,12.37,11.26,11.5,741700,11.4
20/06/2008,11.25,12.28,10.8,11.96,696600,11.85
19/06/2008,11.8,12.1,11.67,12.02,402600,11.91
18/06/2008,11.99,12.08,11.52,11.74,405100,11.64
17/06/2008,11.7,12.43,11.44,12.15,1522000,12.04
16/06/2008,11.61,11.79,11.26,11.69,294100,11.59
13/06/2008,11.13,11.72,11.1,11.62,630500,11.52
12/06/2008,11.18,11.62,11,11.01,443200,10.91
11/06/2008,11.8,12,11.03,11.14,333400,11.04
10/06/2008,11.69,12.42,11.53,11.76,952000,11.66
9/06/2008,11.65,11.85,11.31,11.63,686400,11.53
6/06/2008,12.51,12.61,11.65,11.69,351400,11.59
5/06/2008,13.05,13.31,12.53,12.7,427700,12.59
4/06/2008,13.26,13.63,12.79,12.99,503100,12.88
3/06/2008,12.71,13.37,12.41,13.33,544000,13.21
2/06/2008,12.56,13.31,12.2,12.68,348500,12.57
30/05/2008,13.45,13.49,12.57,12.57,457600,12.46
29/05/2008,12.51,14,11.78,13.07,1016000,12.95
28/05/2008,11.14,12.43,11.1,11.9,717300,11.8
27/05/2008,10.96,11.2,10.9,11.15,294000,10.94
23/05/2008,11.05,11.18,10.88,10.97,325600,10.77
22/05/2008,11.13,11.43,11.01,11.08,363100,10.87
21/05/2008,11.1,11.75,10.87,11.19,769100,10.98
