Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,12,12.32,11.97,12.14,99000,12.14
11/09/2008,11.79,12.14,11.65,12.09,82500,12.09
10/09/2008,11.75,12.2,11.6,11.95,112500,11.95
9/09/2008,12.02,12.39,11.59,11.59,132800,11.59
8/09/2008,12.04,12.29,11.74,11.99,137600,11.99
5/09/2008,11.54,11.74,11.32,11.64,152300,11.64
4/09/2008,11.82,11.85,11.34,11.54,156800,11.54
3/09/2008,12.46,12.58,11.81,11.89,621900,11.89
2/09/2008,12.76,12.89,12.39,12.5,534700,12.5
29/08/2008,12.79,12.85,12.49,12.62,110200,12.62
28/08/2008,12.57,13.06,12.48,12.99,102700,12.99
27/08/2008,12.56,12.64,12.46,12.58,228000,12.58
26/08/2008,12.46,12.62,12.39,12.58,136700,12.58
25/08/2008,12.7,12.7,12.3,12.46,128600,12.46
22/08/2008,12.33,12.79,12.22,12.73,103600,12.73
21/08/2008,12.46,12.59,12.24,12.3,62500,12.3
20/08/2008,12.54,12.9,12.43,12.58,71900,12.58
19/08/2008,12.61,12.84,12.32,12.51,150800,12.51
18/08/2008,12.84,12.96,12.64,12.8,141300,12.8
15/08/2008,13.16,13.51,12.46,12.83,213800,12.83
14/08/2008,12.43,13.06,12.43,13.05,123900,13.05
13/08/2008,12.1,12.67,12.1,12.51,138100,12.51
12/08/2008,12.32,12.4,12.21,12.3,75300,12.3
11/08/2008,11.87,12.7,11.72,12.43,225700,12.43
8/08/2008,11.79,12.09,11.62,11.88,229200,11.88
7/08/2008,11.75,11.9,11.59,11.63,136600,11.63
6/08/2008,11.71,11.9,11.54,11.87,305700,11.87
5/08/2008,11.17,11.89,11.17,11.79,278100,11.79
4/08/2008,11.2,11.25,10.83,11.13,237400,11.13
1/08/2008,11.34,11.4,11.09,11.19,138000,11.19
31/07/2008,11.4,11.54,11.28,11.33,171700,11.33
30/07/2008,11.62,11.79,11.47,11.63,119400,11.63
29/07/2008,11.58,11.73,11.49,11.57,177500,11.57
28/07/2008,11.23,11.51,11.06,11.48,170200,11.48
25/07/2008,10.98,11.33,10.89,11.33,192600,11.33
24/07/2008,11.04,11.08,10.79,10.87,423400,10.87
23/07/2008,11.1,11.1,10.81,10.99,237100,10.99
22/07/2008,10.85,11.17,10.75,11.1,321100,11.1
21/07/2008,10.84,10.92,10.69,10.89,196600,10.89
18/07/2008,10.9,11.07,10.64,10.73,194700,10.73
17/07/2008,11.12,11.15,10.8,10.98,178400,10.98
16/07/2008,10.85,11.14,10.63,11.12,196600,11.12
15/07/2008,10.73,11.06,10.43,10.76,202800,10.76
14/07/2008,11.29,11.29,10.72,10.93,120800,10.93
11/07/2008,10.83,11.21,10.76,11.18,160000,11.18
10/07/2008,10.73,11.15,10.67,11.05,168000,11.05
9/07/2008,11.2,11.2,10.66,10.72,144300,10.72
8/07/2008,10.87,11.2,10.7,11.2,205900,11.2
7/07/2008,11,11.1,10.71,10.86,139300,10.86
3/07/2008,11.05,11.18,10.89,10.94,86000,10.94
2/07/2008,11.56,11.64,11.06,11.08,248500,11.08
1/07/2008,11.47,11.67,11.17,11.59,424300,11.59
30/06/2008,11.72,11.84,11.52,11.61,153400,11.61
27/06/2008,12.05,12.05,11.65,11.82,356900,11.82
26/06/2008,12.4,12.5,11.93,12.03,154000,12.03
25/06/2008,12.7,12.72,12.44,12.62,149600,12.62
24/06/2008,13.01,13.09,12.71,12.72,175700,12.72
23/06/2008,13.28,13.38,13.13,13.15,85300,13.15
20/06/2008,13.52,13.7,13.06,13.17,361600,13.17
19/06/2008,13.32,13.59,13.3,13.59,179600,13.59
18/06/2008,13.33,13.46,13.09,13.32,598300,13.32
17/06/2008,13.14,13.53,13,13.41,578900,13.41
16/06/2008,13.29,13.36,13.03,13.13,612400,13.13
13/06/2008,13.08,13.36,13.04,13.36,308900,13.36
12/06/2008,13,13.18,12.94,12.94,356100,12.94
11/06/2008,13.24,13.28,12.94,12.97,265400,12.97
10/06/2008,13.31,13.4,13.15,13.3,207200,13.3
9/06/2008,13.6,13.72,13.27,13.44,205800,13.44
6/06/2008,14.01,14.08,13.53,13.56,155000,13.56
5/06/2008,13.87,14.15,13.87,14.13,181200,14.13
4/06/2008,14.02,14.36,13.78,13.86,202900,13.86
3/06/2008,14,14.14,13.69,14.05,445300,14.05
2/06/2008,14.06,14.15,13.63,13.88,178000,13.88
30/05/2008,13.83,14.01,13.54,14.01,205300,14.01
29/05/2008,13.66,14,13.56,13.89,140800,13.89
28/05/2008,13.83,13.83,13.54,13.65,98000,13.65
27/05/2008,13.53,13.87,13.39,13.77,115200,13.77
23/05/2008,13.39,13.51,13.14,13.46,116100,13.46
22/05/2008,13.4,13.76,13.24,13.48,122600,13.48
21/05/2008,13.3,13.64,13.25,13.38,142300,13.38
20/05/2008,13.31,13.48,13.19,13.36,111600,13.36
19/05/2008,13.08,13.46,12.85,13.4,296600,13.4
16/05/2008,13.18,13.2,12.92,13.06,270300,13.06
15/05/2008,13.28,13.5,12.88,13.18,362400,13.18
14/05/2008,13.58,13.68,13.3,13.31,175000,13.31
13/05/2008,13.95,13.97,13.34,13.56,346200,13.56
12/05/2008,13.68,14,13.56,13.9,183900,13.9
9/05/2008,13.25,13.65,13.23,13.58,186100,13.58
8/05/2008,13.48,13.56,13.34,13.46,274800,13.46
7/05/2008,13.66,13.75,13.34,13.4,159800,13.4
6/05/2008,13.36,13.67,13.23,13.62,210600,13.62
5/05/2008,13.55,13.67,13.34,13.54,225200,13.54
2/05/2008,13.6,13.6,13.35,13.38,337300,13.38
1/05/2008,12.41,13.55,12.32,13.35,415700,13.35
30/04/2008,12.48,12.86,12.27,12.37,277700,12.37
29/04/2008,12.64,12.67,11.93,12.22,563100,12.22
28/04/2008,12.69,12.73,12.16,12.54,423800,12.54
25/04/2008,12.98,13.05,12.66,12.73,185000,12.73
24/04/2008,12.89,13.12,12.49,12.94,185600,12.94
23/04/2008,12.85,13.08,12.75,12.93,132000,12.93
22/04/2008,13.03,13.26,12.55,12.68,211000,12.68
21/04/2008,13.23,13.31,12.97,13.11,171900,13.11
18/04/2008,13.56,13.59,13.17,13.31,237700,13.31
17/04/2008,12.99,13.43,12.95,13.34,128400,13.34
16/04/2008,13.03,13.39,12.92,13.07,336300,13.07
15/04/2008,12.9,13.22,12.86,12.9,195600,12.9
14/04/2008,12.8,13.04,12.7,12.9,137500,12.9
11/04/2008,13.01,13.19,12.75,12.84,135700,12.84
10/04/2008,13.07,13.37,13.01,13.14,370600,13.14
9/04/2008,13.2,13.26,13.09,13.25,215900,13.25
8/04/2008,13.24,13.5,12.97,13.34,152600,13.34
7/04/2008,13.5,13.57,13.27,13.37,121300,13.37
4/04/2008,13.04,13.5,12.98,13.48,240200,13.48
3/04/2008,12.86,13.2,12.86,13.05,295200,13.05
2/04/2008,13.01,13.2,12.88,13,194700,13
1/04/2008,12.65,13,12.58,12.92,351500,12.92
31/03/2008,12.37,12.8,12.23,12.37,210900,12.37
28/03/2008,12.22,12.51,12.04,12.26,328500,12.26
27/03/2008,11.93,12.4,11.76,12.21,187800,12.21
26/03/2008,12.87,12.9,11.75,11.75,375900,11.75
25/03/2008,12.84,13.09,12.6,12.91,192900,12.91
24/03/2008,11.98,12.83,11.88,12.79,252200,12.79
20/03/2008,12.1,12.22,11.76,11.92,596900,11.92
19/03/2008,12.36,12.65,11.82,11.82,183400,11.82
18/03/2008,11.87,12.48,11.64,12.45,176500,12.45
17/03/2008,11.06,11.86,11.06,11.58,154000,11.58
14/03/2008,11.68,11.79,10.98,11.42,612700,11.42
13/03/2008,11.49,11.77,11.21,11.51,337300,11.51
12/03/2008,12.3,12.4,11.57,11.65,194300,11.65
11/03/2008,11.53,12.26,11.5,12.26,204500,12.26
10/03/2008,11.22,11.47,11.03,11.19,168700,11.19
7/03/2008,11.03,11.44,10.97,11.2,403100,11.2
6/03/2008,12.16,12.21,11.17,11.18,251100,11.18
5/03/2008,12.39,12.71,11.92,12.25,224700,12.25
4/03/2008,12.8,12.8,12.13,12.23,385200,12.23
3/03/2008,11.82,12.23,11.58,12.18,230900,12.18
29/02/2008,12.05,12.34,11.84,11.93,315200,11.93
28/02/2008,12.96,12.96,12.21,12.21,248500,12.21
27/02/2008,11.8,13.09,11.8,13.04,419200,13.04
26/02/2008,11.82,12.17,11.7,11.95,140200,11.95
25/02/2008,11.42,11.97,11.37,11.91,194700,11.91
22/02/2008,11.15,11.47,10.92,11.36,273300,11.36
21/02/2008,11.62,11.82,11.13,11.17,129500,11.17
20/02/2008,11.15,11.62,11.06,11.56,145600,11.56
19/02/2008,11.41,11.41,11.06,11.21,107900,11.21
15/02/2008,11.28,11.33,11.03,11.24,146000,11.24
14/02/2008,11.9,12.04,11.24,11.36,114700,11.36
13/02/2008,11.43,12,11.37,11.98,165000,11.98
12/02/2008,11.2,11.48,11.04,11.28,139300,11.28
11/02/2008,11.25,11.32,10.85,11.12,161500,11.12
8/02/2008,11.37,11.57,11.01,11.26,145400,11.26
7/02/2008,11.09,11.53,11.04,11.38,145500,11.38
6/02/2008,11.21,11.55,11,11.13,187700,11.13
5/02/2008,11.37,11.73,11.08,11.11,168200,11.11
4/02/2008,11.78,11.79,11.51,11.62,165900,11.62
1/02/2008,11.61,11.98,11.45,11.83,196000,11.83
31/01/2008,11.13,11.67,11.02,11.6,394900,11.6
30/01/2008,11.35,11.68,11.24,11.37,283300,11.37
29/01/2008,11.59,12.04,11.17,11.46,139100,11.46
28/01/2008,11.34,11.68,10.98,11.5,119900,11.5
25/01/2008,11.62,11.95,11.27,11.38,111300,11.38
24/01/2008,11.87,12.01,11.4,11.4,166400,11.4
23/01/2008,10.94,11.88,10.65,11.84,316000,11.84
22/01/2008,10.52,11.36,10.1,11.23,271600,11.23
18/01/2008,11.21,11.41,10.74,10.83,309300,10.83
17/01/2008,11.42,11.63,11.05,11.35,410700,11.35
16/01/2008,11.16,11.69,11.12,11.36,165800,11.36
15/01/2008,11.24,11.33,10.91,11.14,146600,11.14
14/01/2008,11.14,11.5,11.02,11.42,160000,11.42
11/01/2008,11.57,11.75,11.05,11.05,149800,11.05
10/01/2008,11.64,11.8,11.29,11.68,240700,11.68
9/01/2008,11.19,11.77,11.12,11.73,251500,11.73
8/01/2008,11.58,11.77,11.31,11.33,264600,11.33
7/01/2008,11.23,11.71,11.1,11.55,426900,11.55
4/01/2008,11.35,11.43,11,11.11,263100,11.11
3/01/2008,11.64,11.71,11.41,11.48,237400,11.48
2/01/2008,12.27,12.28,11.5,11.63,284500,11.63
31/12/2007,12.6,12.7,12.21,12.31,150800,12.31
28/12/2007,12.78,13.22,12.6,12.6,133500,12.6
27/12/2007,13.12,13.15,12.56,12.56,123300,12.56
26/12/2007,13.01,13.11,12.91,13.09,123400,13.09
24/12/2007,13.15,13.25,13.09,13.17,110600,13.17
21/12/2007,13,13.14,12.92,12.97,495200,12.97
20/12/2007,13.13,13.22,12.85,13.07,257200,13.07
19/12/2007,13.05,13.15,12.6,12.98,296000,12.98
18/12/2007,12.85,13.09,12.65,13.02,204000,13.02
17/12/2007,12.69,13.07,12.64,12.65,149200,12.65
14/12/2007,12.85,13.05,12.64,12.71,142700,12.71
13/12/2007,13.02,13.25,12.9,13.1,236100,13.1
12/12/2007,13.18,13.49,12.95,13.19,300700,13.19
11/12/2007,13.07,13.42,12.71,12.84,432800,12.84
10/12/2007,12.91,13.05,12.73,12.95,261300,12.95
7/12/2007,12.74,12.99,12.73,12.91,205700,12.91
6/12/2007,11.78,12.7,11.66,12.7,217400,12.7
5/12/2007,11.52,11.78,11.51,11.78,146400,11.78
4/12/2007,11.55,11.71,11.32,11.45,180900,11.45
3/12/2007,12.12,12.3,11.71,11.74,176000,11.74
30/11/2007,12.44,12.49,12.05,12.27,265300,12.27
29/11/2007,12,12.25,11.94,12.2,299200,12.2
28/11/2007,11.39,12.29,11.39,12.2,290500,12.2
27/11/2007,11.45,11.51,11.06,11.28,321900,11.28
26/11/2007,11.5,11.7,11.2,11.43,296200,11.43
23/11/2007,11.26,11.58,11.11,11.46,124200,11.46
21/11/2007,11.11,11.58,11.04,11.24,254300,11.24
20/11/2007,11.7,11.7,10.98,11.25,282000,11.25
19/11/2007,11.8,11.92,11.37,11.58,360100,11.58
16/11/2007,11.92,12.02,11.55,11.98,400600,11.98
15/11/2007,12.13,12.14,11.81,11.99,200000,11.99
14/11/2007,12.3,12.5,12.02,12.21,247200,12.21
13/11/2007,12.11,12.31,12.01,12.29,230400,12.29
12/11/2007,11.67,12.42,11.5,12.13,378000,12.13
9/11/2007,11.43,12,11.21,11.62,393900,11.62
8/11/2007,10.88,11.65,10.62,11.61,265300,11.61
7/11/2007,11.58,11.58,10.61,10.76,238200,10.76
6/11/2007,11.85,12.25,11.07,11.57,265100,11.57
5/11/2007,11.7,11.85,11.41,11.47,173300,11.47
2/11/2007,11.8,11.98,11.4,11.98,172300,11.98
1/11/2007,11.9,12.07,11.53,11.6,257500,11.6
31/10/2007,12.28,12.35,11.91,12.23,149900,12.23
30/10/2007,12.36,12.46,12.21,12.26,123200,12.26
