Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,36.61,37.73,36.61,37.52,2371300,37.52
11/09/2008,36.46,37.05,35.69,36.96,2735900,36.96
10/09/2008,36.56,37.64,36.16,36.6,3067800,36.6
9/09/2008,38.65,38.83,36.16,36.24,4523600,36.24
8/09/2008,37.77,38.67,37.4,38.43,3213600,38.43
5/09/2008,38.01,38.25,37.01,37.33,3940000,37.33
4/09/2008,39.24,39.24,38.1,38.11,3632500,38.11
3/09/2008,40.3,40.57,39.25,39.25,3756200,38.93
2/09/2008,41.26,41.26,40,40.29,2477100,39.96
29/08/2008,41.42,41.66,40.77,40.77,1580200,40.43
28/08/2008,41.37,41.69,41.16,41.69,1622600,41.35
27/08/2008,40.71,41.32,40.55,41.27,1690500,40.93
26/08/2008,39.88,40.82,39.37,40.77,1882100,40.43
25/08/2008,40.42,40.46,39.68,39.97,1742800,39.64
22/08/2008,40.65,40.77,40.33,40.5,1771700,40.17
21/08/2008,39.38,40.5,39.26,40.5,1909400,40.17
20/08/2008,39.35,39.83,38.97,39.66,2142700,39.33
19/08/2008,38.87,39.49,38.78,39.39,3206600,39.07
18/08/2008,39.2,39.53,38.73,38.97,2310100,38.65
15/08/2008,40.1,40.1,39.08,39.15,3912100,38.83
14/08/2008,40.27,40.57,39.78,40.07,1631100,39.74
13/08/2008,40.24,40.88,40.07,40.69,1914600,40.36
12/08/2008,41.03,41.27,40.15,40.25,2133400,39.92
11/08/2008,40.63,41.32,40.23,41.16,3657500,40.82
8/08/2008,39.93,40.5,39.6,40.44,2052000,40.11
7/08/2008,39.97,40.83,39.66,39.79,3551800,39.46
6/08/2008,39.92,40.62,39.77,40.23,2463000,39.9
5/08/2008,39.71,40.66,38.3,40.12,4084800,39.79
4/08/2008,40.2,40.97,39.46,39.62,3211800,39.29
1/08/2008,41.25,42.6,40.28,40.28,3121300,39.95
31/07/2008,41.45,42,41.33,41.8,4086800,41.46
30/07/2008,41.17,41.72,40.85,41.53,2125100,41.19
29/07/2008,40.68,41.17,40.52,41,1678300,40.66
28/07/2008,41.05,41.49,40.62,40.63,2334500,40.3
25/07/2008,41.74,42.04,41.17,41.32,1592600,40.98
24/07/2008,42.2,42.23,40.91,41.5,3267700,41.16
23/07/2008,43.32,43.41,41.93,42.1,2576700,41.75
22/07/2008,43.42,43.99,43.32,43.53,1825400,43.17
21/07/2008,42.32,43.69,42.25,43.4,1701200,43.04
18/07/2008,42.57,43.5,41.99,42.45,2520100,42.1
17/07/2008,42.85,42.91,41.96,42.45,2096500,42.1
16/07/2008,43.76,44.31,42.74,42.97,2297700,42.62
15/07/2008,43.83,44.51,43.52,43.93,2394600,43.57
14/07/2008,45.29,45.49,43.97,44.09,1766700,43.73
11/07/2008,44.48,45.34,44.08,44.71,1994000,44.34
10/07/2008,44.34,45.12,44.27,44.9,2412400,44.53
9/07/2008,44.6,45.2,44.11,44.56,2944700,44.19
8/07/2008,44.91,45.21,43.88,44.46,5117600,44.09
7/07/2008,46.13,46.63,44.33,45.09,2864700,44.72
3/07/2008,46.6,46.95,45.8,46.18,1267500,45.8
2/07/2008,46.75,47.33,46.29,46.47,2391800,46.09
1/07/2008,45.45,46.72,44.67,46.67,2815700,46.29
30/06/2008,44.72,46.41,44.48,45.93,4794200,45.55
27/06/2008,44.46,44.99,43.79,44.58,6532100,44.21
26/06/2008,45.22,45.74,44.44,44.44,2029700,44.07
25/06/2008,46.03,46.22,45.29,45.93,1852800,45.55
24/06/2008,45.95,46.16,45.77,45.8,1729200,45.42
23/06/2008,45.96,46.26,45.76,45.83,1806100,45.45
20/06/2008,45.47,46.79,45.46,45.78,2678100,45.4
19/06/2008,45.88,46.86,45.77,46.79,2122200,46.4
18/06/2008,46.47,46.81,45.85,45.9,2678800,45.52
17/06/2008,46.5,47.28,46.2,46.86,2289700,46.47
16/06/2008,46.22,46.53,45.67,46.45,1395800,46.07
13/06/2008,46.35,46.75,45.94,46.61,2162900,46.23
12/06/2008,46.53,46.55,45.91,46.14,2328300,45.76
11/06/2008,45.83,46.68,45.31,46.26,3977700,45.88
10/06/2008,45.25,46.17,44.72,46,2782000,45.62
9/06/2008,44.74,46.05,44.26,45.54,2564500,45.17
6/06/2008,44.61,45.13,44.01,44.4,2942800,44.03
5/06/2008,44.37,45.15,43.92,45.07,2091200,44.7
4/06/2008,42.85,44.78,42.85,44.31,2931800,43.63
3/06/2008,43.79,44.2,42.88,43.05,1944500,42.38
2/06/2008,43.92,44.11,43.23,43.89,2378400,43.21
30/05/2008,43.97,44.41,43.74,44.26,1704600,43.58
29/05/2008,43.26,44.12,43.07,43.93,1877500,43.25
28/05/2008,43.07,43.47,42.88,43.26,1476600,42.59
27/05/2008,43.17,43.45,42.77,43.13,1835400,42.46
23/05/2008,44.13,44.27,43.08,43.14,1418800,42.47
22/05/2008,43.57,44.42,43.5,44.25,1504000,43.57
21/05/2008,44.03,44.23,43.46,43.66,2815400,42.99
20/05/2008,44.21,44.7,43.73,43.91,2805900,43.23
19/05/2008,42.49,43.55,42.49,43.35,1684900,42.68
16/05/2008,42.06,42.68,41.99,42.5,1707800,41.84
15/05/2008,42.15,42.33,41.49,42.17,2053400,41.52
14/05/2008,41.95,42.22,41.48,42.04,1770500,41.39
13/05/2008,42.25,42.75,41.58,41.84,1773200,41.19
12/05/2008,42.25,42.47,41.9,42.24,1622300,41.59
9/05/2008,42.11,42.39,41.77,42.23,2198600,41.58
8/05/2008,42.22,42.63,41.79,42.29,2227300,41.64
7/05/2008,42.55,42.62,41.76,41.98,3485800,41.33
6/05/2008,44,44,42.41,42.68,3776300,42.02
5/05/2008,44.9,44.9,43.86,44.15,2003400,43.47
2/05/2008,44.42,45.18,44.15,44.84,1529900,44.15
1/05/2008,43.88,44.5,43.51,44.09,1786800,43.41
