Date,Open,High,Low,Close,Volume,Adj Close
19/08/2008,69.72,69.8,67.27,67.69,520400,67.69
18/08/2008,70.89,70.89,69.05,69.9,327100,69.9
15/08/2008,69.77,70.94,69.43,70.5,578800,70.5
14/08/2008,68.39,70.35,68.39,69.98,339500,69.98
13/08/2008,67.51,69.3,67.51,69.06,516300,69.06
12/08/2008,69.61,69.74,67.47,68.1,407600,68.1
11/08/2008,68.2,70.75,67.9,69.88,443000,69.88
8/08/2008,67.12,68.32,66.71,68.03,438500,68.03
7/08/2008,67.59,67.69,66.92,67.2,353400,67.2
6/08/2008,69.23,69.23,67.6,68.05,412000,68.05
5/08/2008,68.06,69.29,68.06,68.79,426300,68.79
4/08/2008,67.09,68.14,66.17,67.25,587300,67.25
1/08/2008,68.29,68.29,66.55,67.46,366200,67.46
31/07/2008,67.57,68.95,66.78,68.03,541300,68.03
30/07/2008,70.31,70.73,66.28,67.6,828300,67.6
29/07/2008,68.56,70.25,67.94,69.86,825700,69.86
28/07/2008,67.55,68.56,67.11,68,409200,68
25/07/2008,67.25,69.13,66.9,68.07,605400,68.07
24/07/2008,67.81,68.77,66.31,66.58,757000,66.58
23/07/2008,66.02,69.23,65.71,68.07,730700,68.07
22/07/2008,61.5,66.41,61.2,66.37,1697600,66.37
21/07/2008,58.91,59.79,58.59,59.16,495600,59.16
18/07/2008,58.44,59.07,57.81,58.87,406800,58.87
17/07/2008,56.15,58.39,56.15,58.39,552200,58.39
16/07/2008,56.71,57.06,54.86,56,692900,56
15/07/2008,56.98,58.23,55.57,56.95,470000,56.95
14/07/2008,59.46,60.19,57.09,57.58,475100,57.58
11/07/2008,58.38,59.31,57.03,58.65,420000,58.65
10/07/2008,57.07,59.94,57.07,59.02,327900,59.02
9/07/2008,58.74,58.98,57,57.26,198000,57.26
8/07/2008,57.62,58.83,56.15,58.83,450500,58.83
7/07/2008,59.76,59.78,57.07,57.43,542500,57.43
3/07/2008,59.29,59.85,57.76,59.29,208300,59.29
2/07/2008,60.05,60.53,59,59.19,353900,59.19
1/07/2008,58.82,60.73,58.77,60.22,423000,60.22
30/06/2008,59.49,60.27,59.03,59.49,361700,59.49
27/06/2008,59.39,59.84,58.42,59.29,921400,59.29
26/06/2008,61.71,62.33,59.17,59.45,535000,59.45
25/06/2008,62.41,62.95,61.98,62.72,293800,62.72
24/06/2008,63.49,63.6,62.25,62.36,248400,62.36
23/06/2008,64.46,65.02,63.78,64.03,188200,64.03
20/06/2008,63.07,65.18,61.91,63.71,401300,63.71
19/06/2008,62.66,64.13,62.2,63.5,238000,63.5
18/06/2008,63.73,63.73,61.83,62.79,204000,62.79
17/06/2008,63.88,64.09,63.29,63.92,184700,63.92
16/06/2008,63.67,64,62.74,63.81,235000,63.81
13/06/2008,63.27,64.39,62.5,64.09,243800,64.09
12/06/2008,63.18,63.94,62.29,62.65,236800,62.65
11/06/2008,63.96,64.43,62.64,62.68,214800,62.68
10/06/2008,64.85,65.08,64.17,64.29,279800,64.29
9/06/2008,66.4,67.12,65.05,65.55,258400,65.55
6/06/2008,67.98,68.39,66.55,66.55,387300,66.55
5/06/2008,66.36,68.46,66.36,68.46,273400,68.46
4/06/2008,64.25,66.78,63.88,66.37,274900,66.37
3/06/2008,64.91,65.56,63.87,64.38,304100,64.38
2/06/2008,64.68,64.78,63.45,64.53,198300,64.53
30/05/2008,65.37,66.4,64.36,65.01,434500,65.01
29/05/2008,62.37,66.14,62.17,65.37,514400,65.37
28/05/2008,62.59,62.79,61.59,62.44,153300,62.44
27/05/2008,62.75,62.75,60.94,62.35,156000,62.35
23/05/2008,62.75,63.2,61.27,62.03,129600,62.03
22/05/2008,63.05,63.99,61.7,63.5,188800,63.5
21/05/2008,64.68,64.68,62.23,62.84,217100,62.84
20/05/2008,64.38,64.47,63.33,64.16,173500,64.16
19/05/2008,65.37,65.89,64.5,64.81,281000,64.81
16/05/2008,65.32,65.6,64.08,65.52,681600,65.52
15/05/2008,64.61,65.13,64.29,64.83,515000,64.83
14/05/2008,66.05,66.21,64.56,64.75,388400,64.75
13/05/2008,64.2,66.11,63.86,65.9,338400,65.9
12/05/2008,63.14,64.86,62.83,64.2,270700,64.2
9/05/2008,62.4,64.33,62.24,62.78,475700,62.78
8/05/2008,62.79,63.5,61.38,63.35,401000,63.35
7/05/2008,62.57,63.38,62.27,62.41,459700,62.41
6/05/2008,60.83,63.12,60.12,62.38,613500,62.38
5/05/2008,59.98,62.4,59.98,61.31,634100,61.31
2/05/2008,59.86,61.59,58.34,60.84,766400,60.84
1/05/2008,57.05,60.11,57.05,59.66,508600,59.66
30/04/2008,57.92,58.82,56.86,56.97,544800,56.97
29/04/2008,57.01,58.23,56.89,57.5,490500,57.5
28/04/2008,58.53,58.56,56.6,57.1,469800,57.1
25/04/2008,57.83,58.66,56.27,58.49,389500,58.49
24/04/2008,58.54,58.63,55.92,57.5,678500,57.5
23/04/2008,59.9,60.02,57.79,58.39,898200,58.39
22/04/2008,62.26,62.71,57.11,59.85,3164900,59.85
21/04/2008,66.4,68.17,65.93,67.81,756900,67.81
18/04/2008,65.64,67.73,65.29,66.95,411700,66.95
17/04/2008,63.89,65.09,63.61,64.64,520000,64.64
16/04/2008,61.5,64.25,61.5,64.05,446200,64.05
15/04/2008,62.72,63.84,60.22,60.98,602200,60.98
14/04/2008,61.6,63.73,61.43,62.41,404900,62.41
11/04/2008,62.49,62.72,61.4,61.8,372200,61.8
10/04/2008,62.48,63.37,61.92,63.12,313800,63.12
9/04/2008,64.17,64.92,61.75,62.62,613500,62.62
8/04/2008,64.87,65.1,64.3,64.4,384200,64.4
7/04/2008,66.6,67.89,64.96,65.26,410000,65.26
4/04/2008,65.54,66.47,65.13,66.33,288700,66.33
3/04/2008,63.42,65.9,63.42,65.84,401700,65.84
2/04/2008,64.92,65.47,63.24,63.99,489500,63.99
1/04/2008,64.81,65.99,64.32,65.21,330800,65.21
31/03/2008,63.22,64.29,61.61,64.04,491000,64.04
28/03/2008,64.45,64.47,62.65,62.75,590600,62.75
27/03/2008,64.11,64.29,62.92,64,524000,64
26/03/2008,63.26,64.2,62.98,63.94,325300,63.94
25/03/2008,63.46,63.88,62.28,63.69,248000,63.69
24/03/2008,61.43,64.16,61.43,63.73,310000,63.73
20/03/2008,60.75,61.65,60.06,61.3,742600,61.3
19/03/2008,61.7,62.3,59.83,59.92,333800,59.92
18/03/2008,60.51,61.17,59.74,61.17,547000,61.17
17/03/2008,58.56,59.95,58.56,58.86,500100,58.86
14/03/2008,62.2,62.22,60.05,60.69,813700,60.69
13/03/2008,63.83,63.83,59.01,61.87,1471100,61.87
12/03/2008,66.15,67.94,66.15,66.28,208900,66.28
11/03/2008,66.97,67.66,65,66.31,507200,66.31
10/03/2008,66.53,66.53,64.77,65,318900,65
7/03/2008,65.72,67.52,65.31,66.42,392100,66.42
6/03/2008,66.83,68.5,66.3,66.3,349600,66.3
5/03/2008,65.25,67.87,64.95,67.07,494100,67.07
4/03/2008,65.25,65.4,63.42,64.62,258600,64.62
3/03/2008,65.25,66.11,63.34,66.06,465600,66.06
29/02/2008,67.1,67.95,65.22,65.39,364700,65.39
28/02/2008,68.89,68.99,67.14,67.77,233400,67.77
27/02/2008,68.93,70.46,68.32,69.18,393800,69.18
26/02/2008,69.68,70.81,68.97,69.46,268000,69.46
25/02/2008,68.8,70.33,67.75,70.1,405200,70.1
22/02/2008,68.79,69.23,67.24,69.05,311900,69.05
21/02/2008,69.9,70.3,68.23,68.64,442200,68.64
20/02/2008,67.6,69.91,66.88,69.55,250700,69.55
