Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,23.07,24.04,23.04,23.92,2306400,23.92
11/09/2008,23.72,24,22.9,23.59,3035700,23.59
10/09/2008,24.21,24.23,23.66,23.84,1604400,23.84
9/09/2008,24.58,24.9,23.9,24.12,2670600,24.12
8/09/2008,25.33,25.33,24.19,24.64,2450000,24.64
5/09/2008,24.05,25.08,23.83,24.95,1857400,24.95
4/09/2008,24.51,24.63,23.93,24.22,1793700,24.22
3/09/2008,24.39,24.95,24.18,24.76,1570300,24.76
2/09/2008,24.03,25.17,24.03,24.39,2799200,24.39
29/08/2008,25.54,25.64,25.11,25.17,888400,25.17
28/08/2008,25.35,25.7,24.89,25.65,1021200,25.65
27/08/2008,24.96,25.33,24.94,25.16,877500,25.16
26/08/2008,25,25.44,24.87,24.98,1051900,24.98
25/08/2008,24.91,25.62,24.84,24.99,2239800,24.99
22/08/2008,24.75,25.44,24.39,25.01,2050700,25.01
21/08/2008,24.43,25.32,24.11,24.55,2377500,24.55
20/08/2008,24.54,25.09,24.35,25.03,2212500,25.03
19/08/2008,24.5,24.75,24.32,24.53,1076100,24.53
18/08/2008,24.85,25.89,24.58,24.73,1512900,24.73
15/08/2008,24.51,24.99,24.31,24.83,1393100,24.83
14/08/2008,23.97,24.75,23.95,24.41,1025200,24.41
13/08/2008,24.58,24.8,24.17,24.25,1706700,24.25
12/08/2008,24.56,24.94,24.5,24.78,1214900,24.78
11/08/2008,24.07,24.82,23.43,24.74,2382400,24.74
8/08/2008,21.98,24.32,21.98,24.28,4683200,24.28
7/08/2008,21.8,22.32,21.41,22.12,2342200,22.12
6/08/2008,20.24,22.75,20.16,22.02,4517700,22.02
5/08/2008,21.57,23.64,21.57,23.34,5139800,23.34
4/08/2008,20.87,21.84,20.64,21.58,2221900,21.58
1/08/2008,21.42,21.52,20.7,20.95,1757400,20.95
31/07/2008,21.51,21.55,21,21.3,1395200,21.3
30/07/2008,21.55,21.55,20.59,21.35,1226700,21.35
29/07/2008,21.05,21.55,20.94,21.41,1107600,21.41
28/07/2008,21.09,21.53,21.02,21.13,940700,21.13
25/07/2008,21.55,21.82,21.4,21.41,2351000,21.41
24/07/2008,21.7,22.06,21.33,21.36,2720700,21.36
23/07/2008,20.41,21.79,20.41,21.66,2576900,21.66
22/07/2008,19.84,20.41,19.67,20.41,1532000,20.41
21/07/2008,19.81,20.03,19.73,19.84,1011400,19.84
18/07/2008,19.6,20.5,19.43,19.88,2222500,19.88
17/07/2008,19.03,19.61,18.87,19.54,1435300,19.54
16/07/2008,18.34,19.15,18.28,19.07,1854200,19.07
15/07/2008,18.5,18.81,18.24,18.46,2451500,18.46
14/07/2008,18.44,19.45,18.44,18.45,3033800,18.45
11/07/2008,17.84,18.34,17.54,17.99,2084100,17.99
10/07/2008,18.07,18.34,17.8,17.98,1857500,17.98
9/07/2008,18.59,18.59,17.91,17.95,1885200,17.95
8/07/2008,18.44,18.53,17.92,18.49,2385700,18.49
7/07/2008,18.81,18.88,18.05,18.27,2218800,18.27
3/07/2008,19.26,19.44,18.58,18.66,1124100,18.66
2/07/2008,19.33,19.43,19,19.15,2025400,19.15
1/07/2008,19.45,19.52,19.08,19.26,1633200,19.26
30/06/2008,19.68,19.88,19.5,19.62,1839500,19.62
27/06/2008,19.84,20.18,19.5,19.65,2973400,19.65
26/06/2008,20.26,20.26,19.78,19.95,2862900,19.95
25/06/2008,20.2,20.99,19.93,20.12,8596900,20.12
24/06/2008,18.33,18.59,18.21,18.39,2479700,18.39
23/06/2008,18.83,18.83,18.29,18.36,3790800,18.36
20/06/2008,18.63,18.81,18.44,18.75,2848100,18.75
19/06/2008,18.35,18.72,18.35,18.68,5102900,18.68
18/06/2008,19.79,19.82,18.15,18.5,4699000,18.5
17/06/2008,20.12,20.13,19.85,19.87,880100,19.87
16/06/2008,20.1,20.36,19.93,20,1048600,20
13/06/2008,20.27,20.28,19.97,20.27,1526100,20.27
12/06/2008,19.96,20.35,19.78,20.06,1903700,20.06
11/06/2008,20.31,20.5,19.81,19.81,1417900,19.81
10/06/2008,20.18,20.46,20.04,20.41,2240800,20.41
9/06/2008,20.64,20.9,20.14,20.28,1775100,20.28
6/06/2008,20.74,20.81,20.58,20.68,2027900,20.68
5/06/2008,20.92,21.12,20.84,20.95,1780700,20.95
4/06/2008,20.91,21.13,20.84,20.99,1418500,20.99
3/06/2008,21.15,21.28,20.94,21,2749500,21
2/06/2008,21.61,21.75,21.02,21.06,2284800,21.06
30/05/2008,21.9,21.98,21.6,21.75,1688100,21.75
29/05/2008,21.82,22.22,21.74,21.85,1507900,21.85
28/05/2008,21.95,22.09,21.8,21.9,1491200,21.9
27/05/2008,22.26,22.29,21.6,21.97,1546200,21.97
23/05/2008,22.72,22.74,22.17,22.22,1365700,22.22
22/05/2008,22.75,23,22.56,22.78,1191900,22.78
21/05/2008,23.25,23.28,22.53,22.75,1569300,22.75
20/05/2008,23.21,23.24,22.91,23.15,1273600,23.15
19/05/2008,23.21,23.57,23.21,23.36,1461800,23.36
16/05/2008,23.68,23.7,23.18,23.3,1868600,23.3
15/05/2008,23.06,23.67,23.06,23.49,2859300,23.49
14/05/2008,22.67,23.18,22.47,22.95,2427800,22.95
13/05/2008,22.84,22.9,22.07,22.47,2001200,22.47
12/05/2008,23.22,23.26,22.8,22.89,1478600,22.89
9/05/2008,23.16,23.17,22.96,23.09,768600,23.09
8/05/2008,23.13,23.48,23.13,23.27,1037000,23.27
7/05/2008,23.5,23.65,23.08,23.16,1519500,23.16
6/05/2008,23.58,23.6,23.21,23.5,922500,23.5
5/05/2008,23.6,23.73,23.45,23.65,1337100,23.65
2/05/2008,23.87,23.87,23.48,23.55,2386700,23.55
1/05/2008,23.24,23.8,23.22,23.53,2509400,23.53
30/04/2008,22.99,23.79,22.99,23.24,5569200,23.24
29/04/2008,22.39,22.63,22.27,22.52,1224300,22.52
28/04/2008,22.44,22.46,22.1,22.33,1080100,22.33
25/04/2008,21.78,22.4,21.52,22.25,2415300,22.25
24/04/2008,22.36,22.41,21.55,21.72,1559200,21.72
23/04/2008,22.15,22.48,21.76,22.28,1947800,22.28
22/04/2008,22.31,22.31,21.73,21.9,1692300,21.9
21/04/2008,22.03,22.47,22.01,22.36,2293100,22.36
18/04/2008,21.93,22.29,21.44,22.19,2399800,22.19
17/04/2008,21.3,21.47,21.06,21.18,1138500,21.18
16/04/2008,20.89,21.28,20.84,21.28,1987500,21.28
15/04/2008,20.61,20.9,20.61,20.85,1319800,20.85
