Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,4.95,5.05,4.95,5.02,10500,5.02
11/09/2008,4.98,4.98,4.75,4.91,2500,4.91
10/09/2008,5.05,5.09,5.02,5.02,29400,5.02
9/09/2008,5,5.05,4.77,4.98,13400,4.98
8/09/2008,4.99,5.02,4.99,5.01,10900,5.01
5/09/2008,5.02,5.06,4.97,5,21400,5
4/09/2008,5.05,5.06,4.92,4.95,16400,4.95
3/09/2008,5,5.03,4.96,5.02,93200,5.02
2/09/2008,4.92,5.04,4.92,5.01,6700,5.01
29/08/2008,5.11,5.19,5,5,5200,5
28/08/2008,5.01,5.08,5.01,5.07,35200,5.07
27/08/2008,5.06,5.06,5.02,5.04,64100,5.04
26/08/2008,4.92,5.06,4.92,5.02,89300,5.02
25/08/2008,5.09,5.09,4.95,5.04,13100,5.04
22/08/2008,5.02,5.03,4.78,4.94,50800,4.94
21/08/2008,5.24,5.24,5.01,5.05,62100,5.05
20/08/2008,5.03,5.14,5.01,5.02,47300,5.02
19/08/2008,5.2,5.2,5.03,5.08,9400,5.08
18/08/2008,5.15,5.18,5.05,5.09,10900,5.09
15/08/2008,5.49,5.5,5.35,5.35,10500,5.35
14/08/2008,5.34,5.47,5.34,5.39,17900,5.39
13/08/2008,5.36,5.36,5.24,5.25,17000,5.25
12/08/2008,5.3,5.48,5.29,5.3,7100,5.3
11/08/2008,5.48,5.52,5.22,5.27,15800,5.27
8/08/2008,5.59,5.59,5.09,5.27,26000,5.27
7/08/2008,5.51,5.59,5.48,5.52,19200,5.52
6/08/2008,5.14,5.71,5.1,5.4,59900,5.4
5/08/2008,5.25,5.34,5.23,5.23,7000,5.23
4/08/2008,5.38,5.42,5.37,5.37,7400,5.37
1/08/2008,5.2,5.25,5.2,5.23,2600,5.23
31/07/2008,5.19,5.22,5.14,5.14,11300,5.14
30/07/2008,5.04,5.2,5.02,5.14,11200,5.14
29/07/2008,5.41,5.41,5.2,5.2,22300,5.2
28/07/2008,5.49,5.59,5.25,5.25,12300,5.25
25/07/2008,5.38,5.85,5.12,5.2,13800,5.2
24/07/2008,5.34,5.42,5.34,5.35,17600,5.35
23/07/2008,5.41,5.44,5.26,5.27,28000,5.27
22/07/2008,5.43,5.54,5.32,5.38,26600,5.38
21/07/2008,5.74,5.78,5.54,5.55,32100,5.55
18/07/2008,5.66,5.67,5.5,5.5,12300,5.5
17/07/2008,5.7,5.75,5.61,5.61,14000,5.61
16/07/2008,5.73,5.76,5.7,5.7,32600,5.7
15/07/2008,6,6,5.66,5.71,19000,5.71
14/07/2008,6.26,6.26,5.95,5.95,6900,5.95
11/07/2008,6.09,6.32,6.09,6.26,4100,6.26
10/07/2008,6.25,6.25,6.08,6.08,6700,6.08
9/07/2008,6.23,6.24,6.14,6.15,5700,6.15
8/07/2008,6.17,6.3,6.17,6.25,9400,6.25
7/07/2008,6.31,6.31,6.17,6.24,9100,6.24
3/07/2008,6.42,6.44,6.17,6.21,5800,6.21
2/07/2008,6.1,6.22,6.1,6.11,9000,6.11
1/07/2008,6.22,6.25,6.09,6.15,16500,6.15
30/06/2008,6.47,6.5,6.22,6.35,18300,6.35
27/06/2008,6.48,6.54,6.36,6.54,24000,6.54
26/06/2008,6.22,6.48,6.17,6.48,10700,6.48
25/06/2008,6.33,6.37,6.09,6.09,13000,6.09
24/06/2008,6.07,6.29,6.02,6.23,8200,6.23
23/06/2008,6.19,6.38,6.07,6.12,10400,6.12
20/06/2008,6.12,6.12,6.02,6.09,21100,6.09
19/06/2008,5.22,6.37,5,6.09,66100,6.09
18/06/2008,5.69,5.83,5.67,5.8,10800,5.8
17/06/2008,5.63,5.72,5.56,5.71,21100,5.71
16/06/2008,5.57,5.63,5.57,5.6,29500,5.6
13/06/2008,5.55,5.6,5.48,5.55,10800,5.55
12/06/2008,5.59,5.62,5.55,5.58,19100,5.58
11/06/2008,5.62,5.67,5.55,5.55,15300,5.55
10/06/2008,5.65,5.71,5.55,5.56,13500,5.56
9/06/2008,5.56,5.83,5.55,5.77,39400,5.77
6/06/2008,5.53,5.59,5.3,5.47,9500,5.47
5/06/2008,5.48,5.78,5.44,5.54,17400,5.54
4/06/2008,5.18,5.53,5.17,5.47,5700,5.47
3/06/2008,5.51,5.56,5.51,5.51,3800,5.51
2/06/2008,5.52,5.6,5.44,5.47,19200,5.47
30/05/2008,5.35,5.62,5.35,5.57,26100,5.57
29/05/2008,5.12,5.69,5.12,5.57,29500,5.57
28/05/2008,5.43,5.67,5.12,5.26,36800,5.26
27/05/2008,5.35,5.57,5.35,5.44,19500,5.44
23/05/2008,5.28,5.42,5.28,5.32,64200,5.32
22/05/2008,5.5,5.51,5.31,5.35,43700,5.35
21/05/2008,5.71,5.81,5.43,5.43,22300,5.43
20/05/2008,5.68,5.68,5.49,5.49,20500,5.49
19/05/2008,5.71,5.71,5.44,5.48,90200,5.48
16/05/2008,5.63,5.7,5.25,5.65,44400,5.65
15/05/2008,5.84,6.03,5.54,5.7,51600,5.7
14/05/2008,5.61,5.84,5.61,5.8,40800,5.8
13/05/2008,5.15,5.72,5.13,5.61,56200,5.61
12/05/2008,5.13,5.13,5,5.09,34300,5.09
9/05/2008,4.96,5.13,4.91,5.07,34700,5.07
8/05/2008,4.83,5.03,4.74,5.03,108100,5.03
7/05/2008,4.7,4.77,4.69,4.74,84100,4.74
6/05/2008,4.75,4.77,4.65,4.72,81600,4.72
5/05/2008,4.77,4.78,4.7,4.75,58300,4.75
2/05/2008,4.78,4.8,4.72,4.75,50600,4.75
1/05/2008,4.96,5.08,4.57,4.81,76900,4.81
30/04/2008,5.24,5.24,4.99,5.04,9000,5.04
29/04/2008,5.3,5.33,5.04,5.15,4200,5.15
28/04/2008,5.15,5.32,4.88,5.31,21900,5.31
25/04/2008,5.52,5.52,5.09,5.3,14000,5.3
24/04/2008,5.35,5.38,5.11,5.34,37400,5.34
23/04/2008,5.26,5.28,5.21,5.25,9500,5.25
22/04/2008,5.08,5.25,5.06,5.25,27600,5.25
21/04/2008,5.22,5.32,5.07,5.07,11600,5.07
18/04/2008,5.49,5.49,5.05,5.23,11600,5.23
17/04/2008,5.1,5.34,4.89,5.19,28200,5.19
16/04/2008,5.22,5.47,4.86,5.18,77200,5.18
15/04/2008,6.11,6.36,5.14,5.3,16400,5.3
14/04/2008,5.6,5.66,5.25,5.57,1303200,5.57
11/04/2008,5.81,5.81,5.59,5.59,5200,5.59
10/04/2008,6.04,6.04,5.8,5.87,20800,5.87
9/04/2008,6.34,6.34,5.83,5.83,44500,5.83
8/04/2008,6.32,6.39,5.98,6.1,13400,6.1
7/04/2008,6.25,6.72,5.6,6.63,36700,6.63
4/04/2008,6.51,6.51,6.37,6.37,8700,6.37
3/04/2008,6.42,6.6,6.14,6.38,17600,6.38
2/04/2008,6.52,6.52,6.07,6.17,17900,6.17
1/04/2008,5.98,6.3,5.98,6.28,37500,6.28
31/03/2008,6.72,6.74,5.91,6.08,164500,6.08
28/03/2008,6.42,6.75,6.24,6.75,55900,6.75
27/03/2008,6.25,6.43,6.14,6.3,31100,6.3
26/03/2008,6.31,6.34,6.28,6.28,63500,6.28
25/03/2008,6.3,6.4,6.23,6.23,42700,6.23
24/03/2008,6.13,6.27,6.11,6.24,39700,6.24
20/03/2008,6.03,6.21,5.75,6.2,58400,6.2
19/03/2008,6.02,6.16,5.91,6.1,39400,6.1
18/03/2008,6.1,6.11,6,6.01,28700,6.01
17/03/2008,5.86,5.97,5.42,5.76,69900,5.76
14/03/2008,6.04,6.04,5.5,5.92,32700,5.92
13/03/2008,6,6.11,5.63,5.98,38900,5.98
12/03/2008,6.5,6.5,6.01,6.11,20100,6.11
11/03/2008,5.8,6.68,5.51,6.52,54000,6.52
10/03/2008,5.59,6.08,5.53,5.7,23500,5.7
7/03/2008,5.64,5.97,5.27,5.56,12200,5.56
6/03/2008,6.06,6.12,5.58,5.63,51200,5.63
5/03/2008,5.95,6.1,5.9,6.09,27800,6.09
4/03/2008,6.28,6.28,6.08,6.14,22300,6.14
3/03/2008,6.2,6.29,6.2,6.25,7000,6.25
29/02/2008,6.42,6.42,6.1,6.1,5800,6.1
28/02/2008,6.19,6.49,6.06,6.41,11800,6.41
27/02/2008,6.64,6.65,6.08,6.16,15300,6.16
26/02/2008,6.78,6.97,6.34,6.61,51100,6.61
25/02/2008,6.89,6.89,6.26,6.41,48700,6.41
22/02/2008,6.98,7.78,6.72,6.85,27000,6.85
21/02/2008,7.12,7.18,6.67,6.73,16000,6.73
20/02/2008,7.12,7.34,6.83,7.06,6400,7.06
19/02/2008,7.06,7.19,7.06,7.11,5900,7.11
15/02/2008,7.59,7.59,7.16,7.19,10000,7.19
14/02/2008,7.4,7.59,7.35,7.58,25900,7.58
13/02/2008,7.41,7.58,7.4,7.41,4500,7.41
12/02/2008,7.44,7.44,7.3,7.41,13700,7.41
11/02/2008,7.37,7.61,7.35,7.37,28800,7.37
8/02/2008,7.42,7.51,7.29,7.31,4000,7.31
7/02/2008,7.5,7.51,7.37,7.41,3900,7.41
6/02/2008,7.67,7.68,7.37,7.61,7600,7.61
5/02/2008,7.7,7.8,7.64,7.69,13600,7.69
4/02/2008,7.56,7.95,7.31,7.75,23900,7.75
1/02/2008,7.58,7.73,6.72,7.7,58300,7.7
31/01/2008,6.93,7.73,6.93,7.5,23400,7.5
30/01/2008,6.82,7.27,6.82,7.23,12100,7.23
29/01/2008,6.95,7.23,6.81,6.85,20300,6.85
28/01/2008,7.12,7.24,6.72,6.74,45100,6.74
25/01/2008,7.2,7.27,6.99,7.25,30100,7.25
24/01/2008,7.27,7.34,7,7.19,34500,7.19
23/01/2008,6.74,7.19,6.73,7.19,15100,7.19
22/01/2008,6.61,6.83,6.55,6.65,38600,6.65
18/01/2008,6.65,6.78,6.63,6.78,9300,6.78
17/01/2008,6.49,6.75,6.46,6.71,26700,6.71
16/01/2008,6.01,6.77,5.99,6.63,34000,6.63
15/01/2008,6.2,6.32,6.14,6.14,27800,6.14
14/01/2008,6.25,6.37,6.21,6.21,26100,6.21
11/01/2008,6.82,6.83,6.23,6.24,39200,6.24
10/01/2008,6.14,6.8,6.14,6.76,16500,6.76
9/01/2008,6.36,6.36,6.13,6.14,27700,6.14
8/01/2008,6.23,6.45,6.01,6.43,23500,6.43
7/01/2008,6.45,6.45,6.16,6.31,17000,6.31
4/01/2008,6.39,6.55,6.19,6.22,22800,6.22
3/01/2008,6.34,6.63,6.28,6.63,23400,6.63
2/01/2008,6.34,6.41,6.28,6.36,13100,6.36
31/12/2007,6.32,6.56,6.26,6.46,8900,6.46
28/12/2007,6.48,6.51,5.93,6.32,140800,6.32
27/12/2007,6.09,6.77,6.09,6.43,29600,6.43
26/12/2007,6.15,6.33,6.01,6.07,24500,6.07
24/12/2007,6.28,6.43,6.13,6.14,15300,6.14
21/12/2007,6.04,6.28,6.04,6.16,14600,6.16
20/12/2007,6,6.29,6,6.01,36900,6.01
19/12/2007,6.3,6.51,5.9,5.97,122400,5.97
18/12/2007,6.26,6.35,6.05,6.34,18200,6.34
17/12/2007,6.63,6.66,6.2,6.46,16300,6.46
14/12/2007,7.07,7.08,6.62,6.62,19100,6.62
13/12/2007,7.07,7.07,6.79,6.84,23900,6.84
12/12/2007,7.36,7.36,6.88,7.11,18500,7.11
11/12/2007,7.36,7.37,7.11,7.21,15400,7.21
10/12/2007,7.32,7.51,7.31,7.37,35800,7.37
7/12/2007,7.4,7.44,7.35,7.37,42400,7.37
6/12/2007,7.56,7.56,7.33,7.4,32300,7.4
5/12/2007,7.56,7.68,7.4,7.46,55000,7.46
4/12/2007,7.28,7.37,7.12,7.37,25400,7.37
3/12/2007,7.6,7.6,7.22,7.29,46200,7.29
30/11/2007,7.65,7.75,7.49,7.63,30200,7.63
29/11/2007,7.55,7.57,7.42,7.57,38800,7.57
28/11/2007,7.2,7.68,7.06,7.57,161200,7.57
27/11/2007,5.62,7.4,5.58,7.12,258900,7.12
26/11/2007,5.94,5.95,5.6,5.67,41600,5.67
23/11/2007,5.95,6.04,5.81,5.94,16900,5.94
21/11/2007,5.96,6.09,5.85,5.94,43200,5.94
20/11/2007,5.95,6.21,5.85,5.95,51700,5.95
19/11/2007,6.16,6.21,6,6,44000,6
16/11/2007,6.08,6.25,6.07,6.12,94900,6.12
15/11/2007,6.31,6.45,6.1,6.1,718400,6.1
14/11/2007,6.38,6.69,6.36,6.36,19100,6.36
13/11/2007,6.42,6.57,6.29,6.4,40100,6.4
12/11/2007,6.47,6.66,6.32,6.4,348000,6.4
9/11/2007,6.74,6.8,6.36,6.47,1087700,6.47
8/11/2007,6.99,7,6.76,6.76,47600,6.76
7/11/2007,6.93,7.01,6.93,7,22500,7
6/11/2007,6.83,7.08,6.83,6.98,46300,6.98
5/11/2007,6.8,6.86,6.75,6.86,75500,6.86
2/11/2007,6.9,7.03,6.87,6.87,57600,6.87
1/11/2007,7.01,7.14,6.93,6.99,56900,6.99
31/10/2007,6.99,7.09,6.95,6.99,47400,6.99
30/10/2007,6.95,7.04,6.95,7,27800,7
29/10/2007,6.95,7.02,6.95,6.99,42100,6.99
26/10/2007,7.05,7.2,7,7.01,118600,7.01
25/10/2007,6.95,7.05,6.9,7,39600,7
24/10/2007,7.12,7.13,6.98,7,161200,7
23/10/2007,7.05,7.1,6.95,7,150800,7
22/10/2007,7.11,7.11,6.96,7,91800,7
19/10/2007,7.04,7.16,6.98,7.07,152800,7.07
18/10/2007,7.12,7.18,7.01,7.05,51500,7.05
