Date,Open,High,Low,Close,Volume,Adj Close
12/09/2008,34.16,35.57,33.66,35.07,767400,35.07
11/09/2008,33.38,34.31,32.48,34.31,602800,34.31
10/09/2008,33.42,34.65,33.23,33.7,834500,33.7
9/09/2008,34.65,35.38,33.43,33.48,807000,33.48
8/09/2008,35.18,35.76,33.52,34.5,1012200,34.5
5/09/2008,34.2,34.44,32.95,34.35,974500,34.35
4/09/2008,35.32,35.8,34.37,34.79,624300,34.62
3/09/2008,36.72,37.64,35.23,35.78,893100,35.61
2/09/2008,36.34,37.6,36.13,36.71,551900,36.53
29/08/2008,35.93,36.27,35.49,35.64,253600,35.47
28/08/2008,35.61,36.58,35.53,36.15,347300,35.97
27/08/2008,34.98,35.88,34.58,35.34,387600,35.17
26/08/2008,34.98,35.52,34.6,35.03,311900,34.86
25/08/2008,35.81,35.81,34.43,34.98,297000,34.81
22/08/2008,34.95,36.19,34.86,35.97,315100,35.79
21/08/2008,35.89,35.97,34.23,34.67,793300,34.5
20/08/2008,36.85,36.96,35.63,36.28,575900,36.1
19/08/2008,37.38,37.38,36.4,36.71,278300,36.53
18/08/2008,38.34,38.8,37.29,37.91,372400,37.72
15/08/2008,39.25,39.25,37.55,38.23,412800,38.04
14/08/2008,37.37,38.53,37.17,38.35,347100,38.16
13/08/2008,37.31,38.28,36.8,37.71,801400,37.53
12/08/2008,37.95,37.95,36.88,37.34,519000,37.16
11/08/2008,36.04,38.28,35.8,37.82,796400,37.64
8/08/2008,34.26,36.57,33.82,36.12,762900,35.94
7/08/2008,33.81,34.75,33.49,33.76,544000,33.6
6/08/2008,33.22,34.41,33.05,34.12,456800,33.95
5/08/2008,32.89,33.76,32.79,33.25,820600,33.09
4/08/2008,33.62,33.91,32.32,32.54,785200,32.38
1/08/2008,34.2,34.77,33.4,33.71,856400,33.55
31/07/2008,34.67,35.18,34,34.05,799800,33.88
30/07/2008,35.07,35.3,34.46,35.13,701700,34.96
29/07/2008,34.67,35.31,34.42,34.8,778100,34.63
28/07/2008,34.74,35.12,34.1,34.38,760600,34.21
25/07/2008,38.53,38.53,33.08,34.93,1946800,34.76
24/07/2008,39.64,39.64,35.99,36.9,2963600,36.72
23/07/2008,38.15,39.9,38.07,39.4,1290900,39.21
22/07/2008,37.5,38.37,37.28,38.15,953300,37.96
21/07/2008,37.96,38.09,37.39,38.02,546700,37.83
18/07/2008,36.7,38.1,36.66,37.65,710000,37.47
17/07/2008,35.36,36.71,35.13,36.57,717100,36.39
16/07/2008,33.46,35.41,33.4,35.28,473700,35.11
15/07/2008,33.04,34,31.5,33.67,762100,33.51
14/07/2008,33.94,34.36,32.88,33.35,316800,33.19
11/07/2008,33.74,34.47,33.15,33.67,770800,33.51
10/07/2008,33.06,34.25,33.06,34.12,554500,33.95
9/07/2008,33.66,34.49,32.81,33.05,712600,32.89
8/07/2008,33,33.76,32.37,33.72,660900,33.56
7/07/2008,33.75,33.83,32.43,33.06,552200,32.9
3/07/2008,32.95,33.62,32.3,33.4,314600,33.24
2/07/2008,33.6,34,32.81,32.93,890100,32.77
1/07/2008,35.73,35.73,33.46,33.69,1024100,33.53
30/06/2008,36.23,36.23,34.98,34.98,874500,34.81
27/06/2008,35.76,36.11,35,35.38,1952700,35.21
26/06/2008,38.38,38.39,34.58,35.91,1621700,35.73
25/06/2008,37.9,38.99,37.63,38.98,831600,38.79
24/06/2008,38.06,38.61,37.69,37.71,604000,37.53
23/06/2008,38.8,39.46,38,38.11,408800,37.92
